provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-SAMLIB	1000	0	task_0(UnicodeString ServerName, HexInt32 DesiredAccess, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1001	0	task_01001(HexInt32 Status, Pointer ServerHandle)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1002	0	task_01002(Pointer SamHandle, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1003	0	task_01003(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1004	0	task_01004(Pointer ObjectHandle, UInt32 SecurityInformation, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1005	0	task_01005(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1006	0	task_01006(Pointer ObjectHandle, UInt32 SecurityInformation, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1007	0	task_01007(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1008	0	task_01008(Pointer ServerHandle, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1009	0	task_01009(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1010	0	task_01010(Pointer ServerHandle, UnicodeString Name, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1011	0	task_01011(HexInt32 Status, SID DomainId)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1012	0	task_01012(Pointer ServerHandle, UInt32 PreferredMaximumLength, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1013	0	task_01013(HexInt32 Status, UInt32 CountReturned)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1014	0	task_01014(Pointer ServerHandle, UInt32 DesiredAccess, SID DomainId, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1015	0	task_01015(HexInt32 Status, Pointer DomainHandle)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1016	0	task_01016(Pointer DomainHandle, UInt32 DomainInformationClass, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1017	0	task_01017(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1018	0	task_01018(Pointer DomainHandle, UInt32 DomainInformationClass, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1019	0	task_01019(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1020	0	task_01020(Pointer DomainHandle, UnicodeString AccountName, UInt32 DesiredAccess, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1021	0	task_01021(HexInt32 Status, Pointer GroupHandle, UInt32 RelativeId)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1022	0	task_01022(Pointer DomainHandle, UInt32 PreferredMaximumLength, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1023	0	task_01023(HexInt32 Status, UInt32 CountReturned)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1024	0	task_01024(Pointer DomainHandle, UnicodeString AccountName, UInt32 DesiredAccess, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1025	0	task_01025(HexInt32 Status, Pointer UserHandle, UInt32 RelativeId)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1026	0	task_01026(Pointer DomainHandle, UnicodeString AccountName, UInt32 AccountType, UInt32 DesiredAccess, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1027	0	task_01027(HexInt32 Status, Pointer UserHandle, UInt32 GrantedAccess, UInt32 RelativeId)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1028	0	task_01028(Pointer DomainHandle, UInt32 UserAccountControl, UInt32 PreferredMaximumLength, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1029	0	task_01029(HexInt32 Status, UInt32 CountReturned)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1030	0	task_01030(Pointer DomainHandle, UInt32 UserAccountControl, UInt32 Filter, UInt32 PreferredMaximumLength, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1031	0	task_01031(HexInt32 Status, UInt32 CountReturned)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1032	0	task_01032(Pointer DomainHandle, UnicodeString AccountName, UInt32 DesiredAccess, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1033	0	task_01033(HexInt32 Status, Pointer AliasHandle, UInt32 RelativeId)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1034	0	task_01034(Pointer DomainHandle, UInt32 PreferredMaximumLength, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1035	0	task_01035(HexInt32 Status, UInt32 CountReturned)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1036	0	task_01036(Pointer DomainHandle, SID MemberId, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1037	0	task_01037(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1038	0	task_01038(Pointer DomainHandle, UInt32 PassedCount, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1039	0	task_01039(HexInt32 Status, UInt32 MembershipCount)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1040	0	task_01040(Pointer DomainHandle, UInt32 Count, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1041	0	task_01041(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1042	0	task_01042(Pointer DomainHandle, UInt32 Count, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1043	0	task_01043(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1044	0	task_01044(Pointer DomainHandle, UInt32 Count, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1045	0	task_01045(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1046	0	task_01046(Pointer DomainHandle, UInt32 DesiredAccess, UInt32 GroupId, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1047	0	task_01047(HexInt32 Status, Pointer GroupHandle)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1048	0	task_01048(Pointer GroupHandle, UInt32 GroupInformationClass, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1049	0	task_01049(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1050	0	task_01050(Pointer GroupHandle, UInt32 GroupInformationClass, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1051	0	task_01051(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1052	0	task_01052(Pointer GroupHandle, UInt32 MemberId, UInt32 Attributes, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1053	0	task_01053(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1054	0	task_01054(Pointer GroupHandle, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1055	0	task_01055(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1056	0	task_01056(Pointer GroupHandle, UInt32 MemberId, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1057	0	task_01057(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1058	0	task_01058(Pointer GroupHandle, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1059	0	task_01059(HexInt32 Status, UInt32 MemberCount)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1060	0	task_01060(Pointer GroupHandle, UInt32 MemberId, UInt32 Attributes, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1061	0	task_01061(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1062	0	task_01062(Pointer DomainHandle, UInt32 DesiredAccess, UInt32 AliasId, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1063	0	task_01063(HexInt32 Status, Pointer AliasHandle)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1064	0	task_01064(Pointer AliasHandle, UInt32 AliasInformationClass, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1065	0	task_01065(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1066	0	task_01066(Pointer AliasHandle, UInt32 AliasInformationClass, UnicodeString CallingProcess)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1067	0	task_01067(HexInt32 Status)		api	task_0	Informational		
Microsoft-Windows-SAMLIB	1068	0	task_01068(Pointer AliasHandle, UnicodeString CallingProcess)		api	task_0	Informational		
