provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-SMBServer	1	2	Smb2RequestNegotiate1_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt16 SecurityMode, UInt32 Capabilities, UInt16 DialectCount, UInt16 Dialects, GUID ClientGuid, GUID ConnectionGUID)		Request	Smb2RequestNegotiate	Informational		
Microsoft-Windows-SMBServer	2	2	Smb2RequestSessionSetup_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt8 VcNumber, UInt8 SecurityMode, UInt32 Capabilities, UInt32 Channel, UInt64 PreviousSessionId, GUID ConnectionGUID, GUID SessionGUID)		Request	Smb2RequestSessionSetup	Informational		
Microsoft-Windows-SMBServer	3	2	Smb2RequestLogoff_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, GUID ConnectionGUID, GUID SessionGUID)		Request	Smb2RequestLogoff	Informational		
Microsoft-Windows-SMBServer	4	2	Smb2RequestTreeConnect_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt16 PathLength, UnicodeString Path, GUID ConnectionGUID, GUID SessionGUID)		Request	Smb2RequestTreeConnect	Informational		
Microsoft-Windows-SMBServer	5	2	Smb2RequestTreeDisconnect_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID)		Request	Smb2RequestTreeDisconnect	Informational		
Microsoft-Windows-SMBServer	6	2	Smb2RequestEcho_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, GUID ConnectionGUID)		Request	Smb2RequestEcho	Informational		
Microsoft-Windows-SMBServer	7	2	Smb2RequestCancel_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, GUID ConnectionGUID)		Request	Smb2RequestCancel	Informational		
Microsoft-Windows-SMBServer	8	2	Smb2RequestCreate_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt8 SecurityFlags, UInt8 RequestedOplockLevel, UInt32 ImpersonationLevel, UInt64 CreateFlags, UInt64 RootDirectoryFid, Int32 DesiredAccess, Int32 FileAttributes, Int32 ShareAccess, Int32 CreateDisposition, Int32 CreateOptions, UInt16 NameLength, UnicodeString FileName, UInt32 CreateContextsCount, GUID LeaseKey, UInt32 LeaseLevel, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID)		Request	Smb2RequestCreate	Informational		
Microsoft-Windows-SMBServer	9	2	Smb2RequestClose_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt16 CloseFlags, UInt64 FileId, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestClose	Informational		
Microsoft-Windows-SMBServer	10	2	Smb2RequestFlush_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt64 FileId, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestFlush	Informational		
Microsoft-Windows-SMBServer	11	2	Smb2RequestRead_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt32 Length, UInt64 Offset, UInt64 FileId, UInt32 MinimumCount, UInt32 Channel, UInt32 RemainingBytes, UInt16 ReadChannelInfoOffset, UInt16 ReadChannelInfoLength, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestRead	Informational		
Microsoft-Windows-SMBServer	12	2	Smb2RequestWrite_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt32 Length, UInt64 Offset, UInt64 FileId, UInt32 Channel, UInt32 RemainingBytes, UInt16 WriteChannelInfoOffset, UInt16 WriteChannelInfoLength, UInt32 WriteFlags, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestWrite	Informational		
Microsoft-Windows-SMBServer	13	2	Smb2RequestBreakOplock_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt8 OplockLevel, UInt64 FileId, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestBreakOplock	Informational		
Microsoft-Windows-SMBServer	14	2	Smb2RequestNotifyBreakLease_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt32 LeaseFlags, UInt32 CurrentLeaseState, UInt32 NewLeaseState, UInt32 BreakReason, UInt32 AccessMaskHint, UInt32 ShareMaskHint, GUID LeaseKey, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestNotifyBreakLease	Informational		
Microsoft-Windows-SMBServer	15	2	Smb2RequestAcknowledgeBreakLease_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt32 LeaseFlags, UInt32 LeaseState, Int64 LeaseDuration, GUID LeaseKey, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestAcknowledgeBreakLease	Informational		
Microsoft-Windows-SMBServer	16	2	Smb2RequestLock_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt64 FileId, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID, UInt16 LockCount, GUID Locks)		Request	Smb2RequestLock	Informational		
Microsoft-Windows-SMBServer	17	2	Smb2RequestIoctl_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt64 FileId, UInt32 ControlCode, UInt32 IoctlFlags, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestIoctl	Informational		
Microsoft-Windows-SMBServer	18	2	Smb2RequestQueryDirectory_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt8 FileInformationClass, UInt8 QueryDirectoryFlags, UInt32 FileIndex, UInt64 FileId, UInt32 OutputBufferLength, UInt16 NameLength, UnicodeString FileName, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestQueryDirectory	Informational		
Microsoft-Windows-SMBServer	19	2	Smb2RequestChangeNotify_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt16 ChangeNotifyFlags, UInt64 FileId, UInt32 OutputBufferLength, UInt32 CompletionFilter, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestChangeNotify	Informational		
Microsoft-Windows-SMBServer	20	2	Smb2RequestQueryInfo_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt8 InfoType, UInt8 InfoClass, UInt32 OutputBufferLength, UInt32 SecurityInformation, UInt32 QueryInfoFlags, UInt64 FileId, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestQueryInfo	Informational		
Microsoft-Windows-SMBServer	21	2	Smb2RequestSetInfo_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsRequested, UInt32 Flags, UInt8 InfoType, UInt8 InfoClass, UInt32 SecurityInformation, UInt64 FileId, UInt32 OutputBufferLength, Binary OutputBuffer, GUID ConnectionGUID, GUID SessionGUID, GUID TreeConnectGUID, GUID FileGUID)		Request	Smb2RequestSetInfo	Informational		
Microsoft-Windows-SMBServer	101	2	Smb2ResponseNegotiate_V2(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt32 Srv2Instance, UInt32 ProcessingHits, UInt64 ProcessingTime, UInt32 QueueHits, UInt64 QueueTime, UInt32 FileSystemFastHits, UInt64 FileSystemFastTime, UInt32 FileSystemSlowHits, UInt64 FileSystemSlowTime, UInt32 TransportFastHits, UInt64 TransportFastTime, UInt32 TransportSlowHits, UInt64 TransportSlowTime, UInt32 SecurityHits, UInt64 SecurityTime, UInt64 TotalTime, UInt16 SecurityMode, UInt16 DialectRevision, UInt32 Capabilities, UInt32 MaxTransactSize, UInt32 MaxReadSize, UInt32 MaxWriteSize, UInt64 SystemTime, GUID ConnectionGUID)		Response	Smb2ResponseNegotiate	Informational		
