provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Search-ProtocolHandlers	28	0	MapiEmailItemStart()	Start	MAPIPH	MapiEmailItem	Informational		
Microsoft-Windows-Search-ProtocolHandlers	29	0	MapiEmailItemStop()	Stop	MAPIPH	MapiEmailItem	Informational		
Microsoft-Windows-Search-ProtocolHandlers	30	0	CSCDocumentStart()	Start	Performance IndexingItem CSCPH	CSCDocument	Informational		
Microsoft-Windows-Search-ProtocolHandlers	31	0	CSCDocumentStop()	Stop	Performance IndexingItem CSCPH	CSCDocument	Informational		
Microsoft-Windows-Search-ProtocolHandlers	34	0	MapiOpenMessageStart()	Start	Performance IndexingItem MAPIPH	MapiOpenMessage	Informational		
Microsoft-Windows-Search-ProtocolHandlers	35	0	MapiOpenMessageStop()	Stop	Performance IndexingItem MAPIPH	MapiOpenMessage	Informational		
Microsoft-Windows-Search-ProtocolHandlers	36	0	MapiGetAttachmentFromMessageStart()	Start	Performance IndexingItem MAPIPH	MapiGetAttachmentFromMessage	Informational		
Microsoft-Windows-Search-ProtocolHandlers	37	0	MapiGetAttachmentFromMessageStop()	Stop	Performance IndexingItem MAPIPH	MapiGetAttachmentFromMessage	Informational		
Microsoft-Windows-Search-ProtocolHandlers	38	0	MapiEnumerateAttachmentsStart()	Start	Performance IndexingItem MAPIPH	MapiEnumerateAttachments	Informational		
Microsoft-Windows-Search-ProtocolHandlers	39	0	MapiEnumerateAttachmentsStop()	Stop	Performance IndexingItem MAPIPH	MapiEnumerateAttachments	Informational		
Microsoft-Windows-Search-ProtocolHandlers	40	0	MapiGetMapiFpsPropValsStart()	Start	Performance IndexingItem MAPIPH	MapiGetMapiFpsPropVals	Informational		
Microsoft-Windows-Search-ProtocolHandlers	41	0	MapiGetMapiFpsPropValsStop()	Stop	Performance IndexingItem MAPIPH	MapiGetMapiFpsPropVals	Informational		
Microsoft-Windows-Search-ProtocolHandlers	58	0	FilterOplockBreak(UnicodeString Description)		IndexingItem FilePH	FilterOplockBreak	Informational		
Microsoft-Windows-Search-ProtocolHandlers	62	0	FilterOplockFail(UnicodeString Description)		IndexingItem FilePH	FilterOplockFail	Error		
