provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Security-Audit-Configuration-Client	100	0	task_0Start()	Start		task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	101	0	task_0Stop(UInt32 ErrorCode)	Stop		task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	102	0	task_0(UnicodeString GPOList)			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	103	0	task_0Start103()	Start		task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	104	0	task_0104(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	105	0	task_0105(UnicodeString GPOName, UnicodeString GPOID, UnicodeString SysvolPath)			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	106	0	task_0106(UnicodeString RemoteFile, UnicodeString LocalFile, UnicodeString GPOName)			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	107	0	task_0107(UnicodeString RemoteFile, UnicodeString LocalFile, UnicodeString GPOName, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	108	0	task_0108()			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	109	0	task_0109(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	110	0	task_0110()			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	111	0	task_0111(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	112	0	task_0Stop112()	Stop		task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	113	0	task_0Stop113(UInt32 ErrorCode)	Stop		task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	114	0	task_0114()			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	115	0	task_0115(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	200	0	task_0Start200()	Start		task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	201	0	task_0Stop201(UInt32 ErrorCode)	Stop		task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	202	0	task_0202(UnicodeString GPOList)			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	203	0	task_0Start203()	Start		task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	204	0	task_0204(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	205	0	task_0205(UnicodeString GPOName, UnicodeString GPOID, UnicodeString SysvolPath)			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	206	0	task_0206(UnicodeString RemoteFile, UnicodeString LocalFile, UnicodeString GPOName)			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	207	0	task_0207(UnicodeString RemoteFile, UnicodeString LocalFile, UnicodeString GPOName, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	208	0	task_0208()			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	209	0	task_0209(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	210	0	task_0210()			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	211	0	task_0211(UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	212	0	task_0Stop212()	Stop		task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	213	0	task_0Stop213(UInt32 ErrorCode)	Stop		task_0	Error		
Microsoft-Windows-Security-Audit-Configuration-Client	214	0	task_0214()			task_0	Informational		
Microsoft-Windows-Security-Audit-Configuration-Client	215	0	task_0215(UInt32 ErrorCode)			task_0	Error		
