provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Security-IdentityListener	0	0	task_0(UInt32 Number)			task_0	Informational		
Microsoft-Windows-Security-IdentityListener	1	0	task_01(UInt32 LastError)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	2	0	task_02(SID Sid)			task_0	Informational		
Microsoft-Windows-Security-IdentityListener	3	0	task_03(SID Sid)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	4	0	task_04(SID Sid)			task_0	Informational		
Microsoft-Windows-Security-IdentityListener	5	0	task_05(SID Sid)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	6	0	task_06(UnicodeString psz)			task_0	Informational		
Microsoft-Windows-Security-IdentityListener	7	0	task_07(UInt32 LastError)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	8	0	task_08(UnicodeString psz)			task_0	Informational		
Microsoft-Windows-Security-IdentityListener	9	0	task_09(UnicodeString RemoteMachineName, UInt32 Errorcode)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	10	0	task_010(GUID ProviderGUID, UnicodeString IdentityUID, UnicodeString IdentityDisplayName)			task_0	Informational		
Microsoft-Windows-Security-IdentityListener	11	0	task_011(UInt32 LastError)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	12	0	task_012()			task_0	Informational		
Microsoft-Windows-Security-IdentityListener	13	0	task_013(UInt32 LastError)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	14	0	task_014(UnicodeString psz)			task_0	Error		
Microsoft-Windows-Security-IdentityListener	15	0	task_015(UnicodeString RemoteMachineName, UInt32 Errorcode)			task_0	Error		
