provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Security-IdentityStore	1	0	CreateConnectedUserStart()	Start		CreateConnectedUser	Informational		
Microsoft-Windows-Security-IdentityStore	2	0	CreateConnectedUserStart2()	Start		CreateConnectedUser	Informational		
Microsoft-Windows-Security-IdentityStore	3	0	CreateConnectedUserStop()	Stop		CreateConnectedUser	Informational		
Microsoft-Windows-Security-IdentityStore	4	0	ConnectDisconnectUserStart()	Start		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	5	0	ConnectDisconnectUserStop()	Stop		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	6	0	ConnectDisconnectUserStart6()	Start		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	7	0	ConnectDisconnectUserStop7()	Stop		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	8	0	ConnectDisconnectUserStart8()	Start		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	9	0	ConnectDisconnectUserStop9()	Stop		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	10	0	ConnectDisconnectUserStart10()	Start		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	11	0	ConnectDisconnectUserStop11()	Stop		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	12	0	IdentityQueryStart()	Start		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	13	0	IdentityQueryStop()	Stop		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	14	0	IdentityQueryStart14()	Start		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	15	0	IdentityQueryStop15()	Stop		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	16	0	IdentityQueryStart16()	Start		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	17	0	IdentityQueryStop17()	Stop		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	18	0	IdentityQueryStart18()	Start		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	19	0	IdentityQueryStop19()	Stop		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	20	0	IdentityQueryStart20()	Start		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	21	0	IdentityQueryStop21()	Stop		IdentityQuery	Informational		
Microsoft-Windows-Security-IdentityStore	22	0	CreateConnectedUserStart22()	Start		CreateConnectedUser	Informational		
Microsoft-Windows-Security-IdentityStore	23	0	CreateConnectedUserStop23()	Stop		CreateConnectedUser	Informational		
Microsoft-Windows-Security-IdentityStore	24	0	CreateConnectedUserStart24()	Start		CreateConnectedUser	Informational		
Microsoft-Windows-Security-IdentityStore	25	0	CreateConnectedUserStop25()	Stop		CreateConnectedUser	Informational		
Microsoft-Windows-Security-IdentityStore	26	0	ConnectDisconnectUserStart26()	Start		ConnectDisconnectUser	Informational		
Microsoft-Windows-Security-IdentityStore	27	0	ConnectDisconnectUserStop27()	Stop		ConnectDisconnectUser	Informational		
