provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Sensors-Core-Performance	1001	0	SensorsIoctlTaskStart(UInt32 IoctlType, Pointer SensorObj)	Start		SensorsIoctlTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1002	0	SensorsIoctlTaskStop(UInt32 IoctlType, Pointer SensorObj)	Stop		SensorsIoctlTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1003	0	CollectionListSerializationTaskStart(UInt32 PayloadSize)	Start		CollectionListSerializationTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1004	0	CollectionListSerializationTaskStop(UInt32 PayloadSize)	Stop		CollectionListSerializationTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1005	0	CollectionListAllocateAndSerializationTaskStart(UInt32 PayloadSize)	Start		CollectionListAllocateAndSerializationTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1006	0	CollectionListAllocateAndSerializationTaskStop(UInt32 PayloadSize)	Stop		CollectionListAllocateAndSerializationTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1007	0	CollectionListDeserializationTaskStart(UInt32 PayloadSize)	Start		CollectionListDeserializationTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1008	0	CollectionListDeserializationTaskStop(UInt32 PayloadSize)	Stop		CollectionListDeserializationTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1009	0	SensorsNativeIoctlTaskStart(UInt32 IoctlType)	Start		SensorsNativeIoctlTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1010	0	SensorsNativeIoctlTaskStop(UInt32 IoctlType)	Stop		SensorsNativeIoctlTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1011	0	NativeToCxIoctlTransferTaskStart(UInt32 IoctlType)	Start		NativeToCxIoctlTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1012	0	NativeToCxIoctlTransferTaskStop(UInt32 IoctlType, Pointer SensorObj)	Stop		NativeToCxIoctlTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1013	0	CxToNativeIoctlTransferTaskStart(UInt32 IoctlType, Pointer SensorObj)	Start		CxToNativeIoctlTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1014	0	CxToNativeIoctlTransferTaskStop(UInt32 IoctlType)	Stop		CxToNativeIoctlTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1015	0	SensorsCxReadTaskStart(Pointer SensorObj, Pointer CollectionListPtr)	Start		SensorsCxReadTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1016	0	SensorsCxReadTaskStop(Pointer SensorObj, Pointer CollectionListPtr)	Stop		SensorsCxReadTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1017	0	NativeToCxReadTransferTaskStart()	Start		NativeToCxReadTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1018	0	NativeToCxReadTransferTaskStop(Pointer SensorObj, Pointer CollectionListPtr)	Stop		NativeToCxReadTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1019	0	CxToNativeReadTransferTaskStart(Pointer SensorObj, Pointer CollectionListPtr)	Start		CxToNativeReadTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1020	0	CxToNativeReadTransferTaskStop()	Stop		CxToNativeReadTransferTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1021	0	SensorSubscription(Pointer Driver, Pointer Sensor, UInt32 ClientPID, GUID Type, UInt32 Interval)			SensorSubscription	Always		
Microsoft-Windows-Sensors-Core-Performance	1022	0	SensorsCxReadTask(Pointer Sensor, Pointer DriverCollectionList)			SensorsCxReadTask	Always		
Microsoft-Windows-Sensors-Core-Performance	1023	0	SensorsCxReadTask1023(Pointer Sensor, Pointer DriverCollectionList, Pointer BufferCollectionList)			SensorsCxReadTask	Always		
