provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-SettingSync-Desktop	5001	0	task_0(UnicodeString CollectionId, UInt32 Operation, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	5002	0	task_05002(UnicodeString SettingUnitId, UnicodeString CollectionId, UnicodeString Operation, UInt32 HRESULT)			task_0	Warning		
Microsoft-Windows-SettingSync-Desktop	5003	0	task_05003(UnicodeString CollectionId, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	5004	0	task_05004(UnicodeString CollectionId, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	5005	0	task_05005(UnicodeString Message, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	5006	0	task_05006(UnicodeString Message, UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	5007	0	task_05007(UnicodeString Message)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	5008	0	task_05008(UnicodeString Message)			task_0	Warning		
Microsoft-Windows-SettingSync-Desktop	5009	0	task_05009(UnicodeString Message)			task_0	Informational		
Microsoft-Windows-SettingSync-Desktop	6001	0	task_06001(UnicodeString CollectionId)			task_0	Informational		
Microsoft-Windows-SettingSync-Desktop	6002	0	task_06002(UnicodeString CollectionId, UInt32 HRESULT)			task_0	Informational		
Microsoft-Windows-SettingSync-Desktop	6501	0	task_06501(UnicodeString Message, UInt32 HRESULT)			task_0	Warning		
Microsoft-Windows-SettingSync-Desktop	6502	0	task_06502(UInt32 HRESULT)			task_0	Verbose		
Microsoft-Windows-SettingSync-Desktop	6503	0	task_06503(UInt32 HRESULT)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	6504	0	task_06504()			task_0	Verbose		
Microsoft-Windows-SettingSync-Desktop	6505	0	task_06505()			task_0	Verbose		
Microsoft-Windows-SettingSync-Desktop	6506	0	task_06506()			task_0	Informational		
Microsoft-Windows-SettingSync-Desktop	6507	0	task_06507()			task_0	Informational		
Microsoft-Windows-SettingSync-Desktop	6508	0	task_06508()			task_0	Informational		
Microsoft-Windows-SettingSync-Desktop	6509	0	task_06509(UnicodeString Message)			task_0	Error		
Microsoft-Windows-SettingSync-Desktop	6510	0	task_06510(UnicodeString Message)			task_0	Warning		
Microsoft-Windows-SettingSync-Desktop	6511	0	task_06511(UnicodeString Message)			task_0	Verbose		
Microsoft-Windows-SettingSync-Desktop	6512	0	task_06512(UnicodeString Message)			task_0	Informational		
Microsoft-Windows-SettingSync-Desktop	7001	0	Perf_SettingProfileHandler_OnLoadStart()	Start	RoamingSettings	Perf_SettingProfileHandler_OnLoad	Informational		
Microsoft-Windows-SettingSync-Desktop	7002	0	Perf_SettingProfileHandler_OnLoadStop()	Stop	RoamingSettings	Perf_SettingProfileHandler_OnLoad	Informational		
Microsoft-Windows-SettingSync-Desktop	7003	0	Perf_MouseSettingHandler_GetUnitStart()	Start	RoamingSettings	Perf_MouseSettingHandler_GetUnit	Informational		
Microsoft-Windows-SettingSync-Desktop	7004	0	Perf_MouseSettingHandler_GetUnitStop()	Stop	RoamingSettings	Perf_MouseSettingHandler_GetUnit	Informational		
Microsoft-Windows-SettingSync-Desktop	7005	0	Perf_MouseSettingHandler_ApplyUnitStart()	Start	RoamingSettings	Perf_MouseSettingHandler_ApplyUnit	Informational		
Microsoft-Windows-SettingSync-Desktop	7006	0	Perf_MouseSettingHandler_ApplyUnitStop()	Stop	RoamingSettings	Perf_MouseSettingHandler_ApplyUnit	Informational		
Microsoft-Windows-SettingSync-Desktop	7007	0	Perf_SyncRequestedByLocalSystemStop(UnicodeString CollectionId)	Stop	RoamingSettings	Perf_SyncRequestedByLocalSystem	Informational		
Microsoft-Windows-SettingSync-Desktop	7008	0	Perf_MicroImageCompressionStart(UInt32 Quality)	Start	RoamingSettings	Perf_MicroImageCompression	Informational		
Microsoft-Windows-SettingSync-Desktop	7009	0	Perf_MicroImageCompressionStop()	Stop	RoamingSettings	Perf_MicroImageCompression	Informational		
Microsoft-Windows-SettingSync-Desktop	7010	0	Perf_MicroImageScaleStart(UInt32 OrigSizeX, UInt32 OrigSizeY)	Start	RoamingSettings	Perf_MicroImageScale	Informational		
Microsoft-Windows-SettingSync-Desktop	7011	0	Perf_MicroImageCompressionStop7011()	Stop	RoamingSettings	Perf_MicroImageCompression	Informational		
Microsoft-Windows-SettingSync-Desktop	7012	0	Perf_BackupRequestedByLocalSystemStop(UnicodeString CollectionId)	Stop	RoamingSettings	Perf_BackupRequestedByLocalSystem	Informational		
