provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Shell-AppWizCpl	1	0	AppWizCpl_SoftwareExplorer_InstalledProgramsChangeNotify()			AppWizCpl_SoftwareExplorer_InstalledProgramsChangeNotify	Informational		
Microsoft-Windows-Shell-AppWizCpl	2	0	AppWizCpl_SoftwareExplorer_RemoveApplicationLaunchStart()	Start		AppWizCpl_SoftwareExplorer_RemoveApplicationLaunch	Informational		
Microsoft-Windows-Shell-AppWizCpl	3	0	AppWizCpl_SoftwareExplorer_RemoveApplicationLaunchStop()	Stop		AppWizCpl_SoftwareExplorer_RemoveApplicationLaunch	Informational		
Microsoft-Windows-Shell-AppWizCpl	4	0	AppWizCpl_SoftwareExplorer_OpenStart()	Start		AppWizCpl_SoftwareExplorer_Open	Informational		
Microsoft-Windows-Shell-AppWizCpl	5	0	AppWizCpl_SoftwareExplorer_OpenStop()	Stop		AppWizCpl_SoftwareExplorer_Open	Informational		
Microsoft-Windows-Shell-AppWizCpl	6	0	AppWizCpl_SoftwareExplorer_InstalledProgramsViewStart()	Start		AppWizCpl_SoftwareExplorer_InstalledProgramsView	Informational		
Microsoft-Windows-Shell-AppWizCpl	7	0	AppWizCpl_SoftwareExplorer_InstalledProgramsViewStop()	Stop		AppWizCpl_SoftwareExplorer_InstalledProgramsView	Informational		
Microsoft-Windows-Shell-AppWizCpl	8	0	AppWizCpl_SoftwareExplorer_NewProgramsViewStart()	Start		AppWizCpl_SoftwareExplorer_NewProgramsView	Informational		
Microsoft-Windows-Shell-AppWizCpl	9	0	AppWizCpl_SoftwareExplorer_NewProgramsViewStop()	Stop		AppWizCpl_SoftwareExplorer_NewProgramsView	Informational		
Microsoft-Windows-Shell-AppWizCpl	10	0	AppWizCpl_SoftwareExplorer_InstallApplicationLaunchStart()	Start		AppWizCpl_SoftwareExplorer_InstallApplicationLaunch	Informational		
Microsoft-Windows-Shell-AppWizCpl	11	0	AppWizCpl_SoftwareExplorer_InstallApplicationLaunchStop()	Stop		AppWizCpl_SoftwareExplorer_InstallApplicationLaunch	Informational		
