provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ShellCommon-StartLayoutPopulation	1	0	StartLayout_LayoutInitializationStartedStart(UnicodeString collectionName, UInt32 initializationReason)	Start		StartLayout_LayoutInitializationStarted	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	2	0	StartLayout_LayoutResetStartedStart(UnicodeString value)	Start		StartLayout_LayoutResetStarted	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	3	0	StartLayout_LayoutSelectionDataUsedStart(UnicodeString layoutSelectionSerializedString)	Start		StartLayout_LayoutSelectionDataUsed	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	4	0	LogonTask_FirstLogonInitializationStart()	Start		LogonTask_FirstLogonInitialization	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	5	0	LogonTask_FirstLogonInitializationStop(UInt32 TaskHResultValue)	Stop		LogonTask_FirstLogonInitialization	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	6	0	DefaultLayoutManager_FindMatchingLayoutStart()	Start		DefaultLayoutManager_FindMatchingLayout	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	7	0	DefaultLayoutManager_FindMatchingLayoutStop(UnicodeString layoutProviderName)	Stop		DefaultLayoutManager_FindMatchingLayout	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	8	0	DefaultLayoutManager_FindMatchingLayoutStop8(UnicodeString layoutProviderName)	Stop		DefaultLayoutManager_FindMatchingLayout	Informational		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	9	0	DefaultLayoutManager_FindMatchingLayoutStop9()	Stop		DefaultLayoutManager_FindMatchingLayout	Error		
Microsoft-Windows-ShellCommon-StartLayoutPopulation	10	0	DefaultLayoutManager_PostProcessSelectedLayoutStart()	Start		DefaultLayoutManager_PostProcessSelectedLayout	Informational		
