provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-StartupRepair	1001	0	task_0(FILETIME StartTime, FILETIME EndTime, UInt16 NumAttempts, UInt16 NumRootCauses, UnicodeString LaunchType)			task_0	Informational		
Microsoft-Windows-StartupRepair	1002	0	task_01002(FILETIME StartTime, FILETIME EndTime, UInt16 NumAttempts, UInt16 NumRootCauses, UnicodeString LaunchType)			task_0	Informational		
Microsoft-Windows-StartupRepair	1101	0	task_01101(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1102	0	task_01102(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1103	0	task_01103(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1104	0	task_01104(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1105	0	task_01105(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1106	0	task_01106(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1107	0	task_01107(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1108	0	task_01108(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1109	0	task_01109(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1110	0	task_01110(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1112	0	task_01112(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1113	0	task_01113(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1114	0	task_01114(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1115	0	task_01115(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1116	0	task_01116(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1117	0	task_01117(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1118	0	task_01118(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1119	0	task_01119(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1120	0	task_01120(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1121	0	task_01121(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1122	0	task_01122(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1123	0	task_01123(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1124	0	task_01124(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1125	0	task_01125(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1126	0	task_01126(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1127	0	task_01127(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1128	0	task_01128(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1129	0	task_01129(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1130	0	task_01130(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1131	0	task_01131(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1132	0	task_01132(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1133	0	task_01133(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1134	0	task_01134(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1135	0	task_01135(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1136	0	task_01136(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1137	0	task_01137(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1138	0	task_01138(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1139	0	task_01139(UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1201	0	task_01201(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1202	0	task_01202(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1203	0	task_01203(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1204	0	task_01204(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1205	0	task_01205(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1206	0	task_01206(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1207	0	task_01207(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1208	0	task_01208(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1209	0	task_01209(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1210	0	task_01210(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1211	0	task_01211(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1212	0	task_01212(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1213	0	task_01213(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1214	0	task_01214(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
Microsoft-Windows-StartupRepair	1215	0	task_01215(UInt32 RepairStatus, UnicodeString Info)			task_0	Informational		
