provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-StickyNotes	1	0	task_0(UInt32 HResult)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	2	0	task_02(UInt32 HResult)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	3	0	task_03(UInt32 HResult)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	4	0	task_04(UInt32 HResult)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	5	0	task_05(UInt32 HResult, UnicodeString NoteID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	6	0	task_06(UInt32 HResult, UnicodeString NoteID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	7	0	task_07()		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	8	0	task_08()		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	9	0	task_09(UInt32 HResult, UnicodeString NoteID, UnicodeString StreamID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	10	0	task_010(UInt32 HResult, UnicodeString NoteID, UnicodeString StreamID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	11	0	task_011(UInt32 HResult)		StickyNotes	task_0	Warning		
Microsoft-Windows-StickyNotes	12	0	task_012(UInt32 HResult, UnicodeString NoteID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	13	0	task_013(UInt32 HResult, UnicodeString NoteID, UnicodeString StreamID)		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	14	0	task_014(UInt32 HResult, UnicodeString NoteID, UnicodeString StreamID)		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	15	0	task_015(UInt32 HResult, UnicodeString NoteID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	16	0	task_016()		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	17	0	task_017(UInt32 HResult)		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	18	0	task_018(UInt32 HResult)		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	19	0	task_019(UInt32 HResult)		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	20	0	task_020(UInt32 HResult)		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	21	0	task_021(UInt32 HResult, UnicodeString NoteID, UnicodeString StreamID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	22	0	task_022(UInt32 HResult, UnicodeString NoteID, UnicodeString StreamID)		StickyNotes	task_0	Informational		
Microsoft-Windows-StickyNotes	23	0	task_023(UInt32 HResult)		StickyNotes	task_0	Error		
Microsoft-Windows-StickyNotes	24	0	task_024(UInt32 HResult)		StickyNotes	task_0	Error		
