provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-StorageManagement-WSP-Spaces	2000	0	task_0(UnicodeString SubsystemID, UnicodeString SubsystemURI, UnicodeString Username, UInt32 ErrorCode, UnicodeString ErrorString)			task_0	Error		
Microsoft-Windows-StorageManagement-WSP-Spaces	2001	0	task_02001()			task_0	Warning		
Microsoft-Windows-StorageManagement-WSP-Spaces	2002	0	task_02002()			task_0	Informational		
Microsoft-Windows-StorageManagement-WSP-Spaces	2003	0	task_02003(UnicodeString ClassName, UnicodeString MethodName, UnicodeString ObjectId, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-StorageManagement-WSP-Spaces	2004	0	task_02004(UnicodeString Message)			task_0	Warning		
Microsoft-Windows-StorageManagement-WSP-Spaces	2005	0	task_02005(UnicodeString JobName, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-StorageManagement-WSP-Spaces	2006	0	task_02006(UnicodeString ClassName, UnicodeString ObjectId, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-StorageManagement-WSP-Spaces	2007	0	task_02007(UnicodeString ClassName, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-StorageManagement-WSP-Spaces	2008	0	task_02008(UnicodeString ClassName, UnicodeString MethodName, UnicodeString ObjectId, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-StorageManagement-WSP-Spaces	2009	0	task_02009(UnicodeString ComputerName, UInt32 ErrorCode, UInt32 SecondaryErrorCode)			task_0	Error		
