provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-StorageSpaces-Api	1	1	task_0_V1(UnicodeString Module, AnsiString Function, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	3	1	task_03_V1(UnicodeString Module, AnsiString Function, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	100	1	task_0100_V1(UnicodeString Module, AnsiString Function, GUID PoolId, UnicodeString Name, UInt32 CompatibleVersion, UnicodeString DriveIds, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	101	1	task_0101_V1(UnicodeString Module, AnsiString Function, GUID PoolId, UnicodeString Name, UInt32 CompatibleVersion, UnicodeString DriveIds, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	102	1	task_0102_V1(UnicodeString Module, AnsiString Function, GUID Id, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	103	1	task_0103_V1(UnicodeString Module, AnsiString Function, GUID Id, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	105	1	task_0105_V1(UnicodeString Module, AnsiString Function, GUID Id, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	200	1	task_0200_V1(UnicodeString Module, AnsiString Function, GUID DriveId, Boolean Persist, Boolean RelinquishOwnership, UInt64 Attributes, UInt64 AttributesMask, GUID Owner, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	201	1	task_0201_V1(UnicodeString Module, AnsiString Function, GUID DriveId, Boolean Persist, Boolean RelinquishOwnership, UInt64 Attributes, UInt64 AttributesMask, GUID Owner, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	202	1	task_0202_V1(UnicodeString Module, AnsiString Function, GUID PoolId, Boolean Enable, UInt32 TimeoutInSeconds, UnicodeString DriveIds, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	203	1	task_0203_V1(UnicodeString Module, AnsiString Function, GUID PoolId, Boolean Enable, UInt32 TimeoutInSeconds, UnicodeString DriveIds, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	204	1	task_0204_V1(UnicodeString Module, AnsiString Function, GUID PoolId, Boolean Enable, UInt32 TimeoutInSeconds, GUID DriveId, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	205	1	task_0205_V1(UnicodeString Module, AnsiString Function, GUID PoolId, Boolean Enable, UInt32 TimeoutInSeconds, GUID DriveId, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	206	1	task_0206_V1(UnicodeString Module, AnsiString Function, GUID PoolId, UnicodeString DriveIds, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	207	1	task_0207_V1(UnicodeString Module, AnsiString Function, GUID PoolId, UnicodeString DriveIds, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	208	1	task_0208_V1(UnicodeString Module, AnsiString Function, GUID PoolId, UnicodeString DriveIds, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	209	1	task_0209_V1(UnicodeString Module, AnsiString Function, GUID PoolId, UnicodeString DriveIds, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	211	1	task_0211_V1(UnicodeString Module, AnsiString Function, GUID Id, AnsiString Callee, UInt32 Error)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	212	1	task_0212_V1(UnicodeString Module, AnsiString Function, GUID Id, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	213	1	task_0213_V1(UnicodeString Module, AnsiString Function, GUID Id, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	214	1	task_0214_V1(UnicodeString Module, AnsiString Function, GUID Id, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	215	1	task_0215_V1(UnicodeString Module, AnsiString Function, GUID Id, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	216	1	task_0216_V1(UnicodeString Module, AnsiString Function, GUID Id, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	217	1	task_0217_V1(UnicodeString Module, AnsiString Function, GUID Id, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	300	1	task_0300_V1(UnicodeString Module, AnsiString Function, GUID PoolId, GUID SpaceId, UnicodeString Name, UInt32 Usage, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	301	1	task_0301_V1(UnicodeString Module, AnsiString Function, GUID PoolId, GUID SpaceId, UnicodeString Name, UInt32 Usage, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	302	1	task_0302_V1(UnicodeString Module, AnsiString Function, GUID Id, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	303	1	task_0303_V1(UnicodeString Module, AnsiString Function, GUID Id, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	304	1	task_0304_V1(UnicodeString Module, AnsiString Function, GUID SpaceId, GUID Owner, Boolean Hidden, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	305	1	task_0305_V1(UnicodeString Module, AnsiString Function, GUID SpaceId, GUID Owner, Boolean Hidden, AnsiString Callee, UInt32 Error)			task_0	Error		
Microsoft-Windows-StorageSpaces-Api	306	1	task_0306_V1(UnicodeString Module, AnsiString Function, GUID SpaceId, GUID Owner, Boolean Hidden, UInt64 DurationInUs)			task_0	Informational		
Microsoft-Windows-StorageSpaces-Api	307	1	task_0307_V1(UnicodeString Module, AnsiString Function, GUID SpaceId, GUID Owner, Boolean Hidden, AnsiString Callee, UInt32 Error)			task_0	Error		
