provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Sysprep	1001	0	RunRegistryDllsStart(UnicodeString BasePath, UnicodeString Phase)	Start	keyPerformance keySysprep	RunRegistryDlls	Informational		
Microsoft-Windows-Sysprep	1002	0	RunRegistryDllsStop(UInt32 ErrorCode)	Stop	keyPerformance keySysprep	RunRegistryDlls	Informational		
Microsoft-Windows-Sysprep	2001	0	CallExternalProviderFunctionStart(UnicodeString DllName, AnsiString FunctionName, UInt32 ErrorCode)	Start	keyPerformance keySysprep keyword_400000000000	CallExternalProviderFunction	Informational		
Microsoft-Windows-Sysprep	2002	0	CallExternalProviderFunctionStop(UnicodeString DllName, AnsiString FunctionName, UInt32 ErrorCode)	Stop	keyPerformance keySysprep keyword_400000000000	CallExternalProviderFunction	Informational		
Microsoft-Windows-Sysprep	3001	0	Loadactionmeta_datafileStart(UnicodeString ActionFilePath)	Start	keyPerformance keySysprep	Loadactionmeta_datafile	Informational		
Microsoft-Windows-Sysprep	3002	0	Loadactionmeta_datafileStop(UnicodeString ActionFilePath)	Stop	keyPerformance keySysprep	Loadactionmeta_datafile	Informational		
Microsoft-Windows-Sysprep	4001	0	CreatelistofactionsforacomponentStart(UnicodeString ComponentName)	Start	keyPerformance keySysprep	Createlistofactionsforacomponent	Informational		
Microsoft-Windows-Sysprep	4002	0	CreatelistofactionsforacomponentStop(UnicodeString ComponentName)	Stop	keyPerformance keySysprep	Createlistofactionsforacomponent	Informational		
Microsoft-Windows-Sysprep	5001	0	Deletingfile(s)ofapatternStart(UnicodeString DirectoryPath, UnicodeString FilePattern)	Start	keyPerformance keySysprep	Deletingfile(s)ofapattern	Informational		
Microsoft-Windows-Sysprep	5002	0	Deletingfile(s)ofapatternStop(UnicodeString DirectoryPath, UnicodeString FilePattern, UInt32 ErrorCode)	Stop	keyPerformance keySysprep	Deletingfile(s)ofapattern	Informational		
Microsoft-Windows-Sysprep	6001	0	DeleteadirectoryStart(UnicodeString DirectoryPath)	Start	keyPerformance keySysprep	Deleteadirectory	Informational		
Microsoft-Windows-Sysprep	6002	0	DeleteadirectoryStop(UnicodeString DirectoryPath, UInt32 ErrorCode)	Stop	keyPerformance keySysprep	Deleteadirectory	Informational		
Microsoft-Windows-Sysprep	7001	0	ExecuteanentirephaseStart(UnicodeString Phase)	Start	keyPerformance keySysprep	Executeanentirephase	Informational		
Microsoft-Windows-Sysprep	7002	0	ExecuteanentirephaseStop(UInt32 ErrorCode)	Stop	keyPerformance keySysprep	Executeanentirephase	Informational		
