provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-TabletPC-InputPersonalization	1	0	IPS_LAD_CreateStart()	Start		IPS_LAD_Create	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	2	0	IPS_LAD_CreateStop()	Stop		IPS_LAD_Create	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	3	0	IPS_LAD_AddTextStart()	Start		IPS_LAD_AddText	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	4	0	IPS_LAD_AddTextStop()	Stop		IPS_LAD_AddText	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	5	0	IPS_LAD_DetectLanguageStart()	Start		IPS_LAD_DetectLanguage	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	6	0	IPS_LAD_DetectLanguageStop()	Stop		IPS_LAD_DetectLanguage	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	7	0	IPS_PLUGINCLIENT_ProcessMessageStart()	Start		IPS_PLUGINCLIENT_ProcessMessage	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	8	0	IPS_PLUGINCLIENT_ProcessMessageStop()	Stop		IPS_PLUGINCLIENT_ProcessMessage	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	9	0	IPS_RECOPLUGIN_FilterWordSinkAddPropertyStart()	Start		IPS_RECOPLUGIN_FilterWordSinkAddProperty	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	10	0	IPS_RECOPLUGIN_FilterWordSinkAddPropertyStop()	Stop		IPS_RECOPLUGIN_FilterWordSinkAddProperty	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	11	0	IPS_RECOPLUGIN_FilterWordSinkAddTextStart()	Start		IPS_RECOPLUGIN_FilterWordSinkAddText	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	12	0	IPS_RECOPLUGIN_FilterWordSinkAddTextStop()	Stop		IPS_RECOPLUGIN_FilterWordSinkAddText	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	13	0	IPS_RECOPLUGIN_FilterWordSinkTextIsCompletedStart()	Start		IPS_RECOPLUGIN_FilterWordSinkTextIsCompleted	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	14	0	IPS_RECOPLUGIN_FilterWordSinkTextIsCompletedStop()	Stop		IPS_RECOPLUGIN_FilterWordSinkTextIsCompleted	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	15	0	IPS_RECOPLUGIN_FilterWordSinkAddCompletedStart()	Start		IPS_RECOPLUGIN_FilterWordSinkAddCompleted	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	16	0	IPS_RECOPLUGIN_FilterWordSinkAddCompletedStop()	Stop		IPS_RECOPLUGIN_FilterWordSinkAddCompleted	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	17	0	IPS_RECOPLUGIN_GathererDataSinkCleanupStart()	Start		IPS_RECOPLUGIN_GathererDataSinkCleanup	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	18	0	IPS_RECOPLUGIN_GathererDataSinkCleanupStop()	Stop		IPS_RECOPLUGIN_GathererDataSinkCleanup	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	19	0	IPS_RECOPLUGIN_GathererDataSinkShutdownStart()	Start		IPS_RECOPLUGIN_GathererDataSinkShutdown	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	20	0	IPS_RECOPLUGIN_GathererDataSinkShutdownStop()	Stop		IPS_RECOPLUGIN_GathererDataSinkShutdown	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	21	0	IPS_RECOPLUGIN_GathererDataSinkAdviseStatusStart()	Start		IPS_RECOPLUGIN_GathererDataSinkAdviseStatus	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	22	0	IPS_RECOPLUGIN_GathererDataSinkAdviseStatusStop()	Stop		IPS_RECOPLUGIN_GathererDataSinkAdviseStatus	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	23	0	IPS_RECOPLUGIN_GathererDataSinkOnDataChangeStart()	Start		IPS_RECOPLUGIN_GathererDataSinkOnDataChange	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	24	0	IPS_RECOPLUGIN_GathererDataSinkOnDataChangeStop()	Stop		IPS_RECOPLUGIN_GathererDataSinkOnDataChange	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	25	0	IPS_SHAPECOLLECTOR_LaunchStart()	Start		IPS_SHAPECOLLECTOR_Launch	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	26	0	IPS_SHAPECOLLECTOR_LaunchStop()	Stop		IPS_SHAPECOLLECTOR_Launch	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	27	0	IPS_SHAPECOLLECTOR_NextStart()	Start		IPS_SHAPECOLLECTOR_Next	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	28	0	IPS_SHAPECOLLECTOR_NextStop()	Stop		IPS_SHAPECOLLECTOR_Next	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	29	0	IPS_SHAPECOLLECTOR_SaveStart()	Start		IPS_SHAPECOLLECTOR_Save	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	30	0	IPS_SHAPECOLLECTOR_SaveStop()	Stop		IPS_SHAPECOLLECTOR_Save	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	31	0	IPS_SHAPECOLLECTOR_CloseStart()	Start		IPS_SHAPECOLLECTOR_Close	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	32	0	IPS_SHAPECOLLECTOR_CloseStop()	Stop		IPS_SHAPECOLLECTOR_Close	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	33	0	IPS_SHAPECOLLECTOR_SendInkToWatsonStart()	Start		IPS_SHAPECOLLECTOR_SendInkToWatson	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	34	0	IPS_SHAPECOLLECTOR_SendInkToWatsonStop()	Stop		IPS_SHAPECOLLECTOR_SendInkToWatson	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	35	0	IPS_TIPTEXTCONTRIBUTOR_HarvestTextStart()	Start		IPS_TIPTEXTCONTRIBUTOR_HarvestText	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	36	0	IPS_TIPTEXTCONTRIBUTOR_HarvestTextStop()	Stop		IPS_TIPTEXTCONTRIBUTOR_HarvestText	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	37	0	IPS_TIPTEXTCONTRIBUTOR_HarvestTextForTypeStart()	Start		IPS_TIPTEXTCONTRIBUTOR_HarvestTextForType	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	38	0	IPS_TIPTEXTCONTRIBUTOR_HarvestTextForTypeStop()	Stop		IPS_TIPTEXTCONTRIBUTOR_HarvestTextForType	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	39	0	IPS_TIPTEXTCONTRIBUTOR_ProcessMessagesStart()	Start		IPS_TIPTEXTCONTRIBUTOR_ProcessMessages	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	40	0	IPS_TIPTEXTCONTRIBUTOR_ProcessMessagesStop()	Stop		IPS_TIPTEXTCONTRIBUTOR_ProcessMessages	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	41	0	IPS_INKSTORE_AddTipInkStart()	Start		IPS_INKSTORE_AddTipInk	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	42	0	IPS_INKSTORE_AddTipInkStop()	Stop		IPS_INKSTORE_AddTipInk	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	43	0	IPS_MainStart()	Start		IPS_Main	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	44	0	IPS_MainStop()	Stop		IPS_Main	Informational		
Microsoft-Windows-TabletPC-InputPersonalization	45	0	IPS_InkStore_InitializeStart()	Start		IPS_InkStore_Initialize	Informational		
