provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-TabletPC-MathRecognizer	1	0	RecognitionStart()	Start		Recognition	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	2	0	RecognitionStop()	Stop		Recognition	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	3	0	RecognitionStrokes(UInt32 intvalue)			RecognitionStrokes	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	4	0	RecognitionRegions(UInt32 intvalue)			RecognitionRegions	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	5	0	RecognitionPartitions(UInt32 intvalue)			RecognitionPartitions	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	6	0	ResetRecognitionContext()			ResetRecognitionContext	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	7	0	HintApplication()			HintApplication	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	8	0	ResetLastConstraint()			ResetLastConstraint	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	9	0	RecognitionFailed()			RecognitionFailed	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	10	0	RecognitionAlternatesStart()	Start		RecognitionAlternates	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	11	0	RecognitionAlternatesStop()	Stop		RecognitionAlternates	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	12	0	RecognitionTest(UInt32 intvalue)			RecognitionTest	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	13	0	RecognitionSymbolRecoStart()	Start		RecognitionSymbolReco	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	14	0	RecognitionSymbolRecoStop()	Stop		RecognitionSymbolReco	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	15	0	RecognitionStructureRecoStart()	Start		RecognitionStructureReco	Verbose		
Microsoft-Windows-TabletPC-MathRecognizer	16	0	RecognitionStructureRecoStop()	Stop		RecognitionStructureReco	Verbose		
Microsoft-Windows-TabletPC-MathRecognizer	17	0	ProcessWorkingSetRecognitionBegin(UInt32 intvalue)			ProcessWorkingSetRecognitionBegin	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	18	0	ProcessWorkingSetRecognitionEnd(UInt32 intvalue)			ProcessWorkingSetRecognitionEnd	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	19	0	QuickSymbolCorrection()			QuickSymbolCorrection	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	20	0	CreateMathRecognizerStart()	Start		CreateMathRecognizer	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	21	0	CreateMathRecognizerStop()	Stop		CreateMathRecognizer	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	22	0	PostProcessingRecoResultStart()	Start		PostProcessingRecoResult	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	23	0	PostProcessingRecoResultStop()	Stop		PostProcessingRecoResult	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	24	0	CreateMathRecognizerContextStart()	Start		CreateMathRecognizerContext	Informational		
Microsoft-Windows-TabletPC-MathRecognizer	25	0	CreateMathRecognizerContextStop()	Stop		CreateMathRecognizerContext	Informational		
