provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-TenantRestrictions	1001	0	NetworkingPlugin(AnsiString NetworkingStack, UnicodeString ImageName, UnicodeString ModuleName, Int32 ErrorCode)		TrPlugin	NetworkingPlugin	Error		
Microsoft-Windows-TenantRestrictions	1002	0	NetworkingPlugin1002(UnicodeString ImageName, UnicodeString ModuleName, Int32 ErrorCode)		TrPlugin	NetworkingPlugin	Warning		
Microsoft-Windows-TenantRestrictions	1003	0	NetworkingPlugin1003(UnicodeString ExistingHeader, UnicodeString ConfiguredHeader, UnicodeString ImageName)		TrPlugin	NetworkingPlugin	Warning		
Microsoft-Windows-TenantRestrictions	1004	0	SyncService()		CloudIdSvc	SyncService	Informational		
Microsoft-Windows-TenantRestrictions	1005	0	SyncService1005()		CloudIdSvc	SyncService	Informational		
Microsoft-Windows-TenantRestrictions	1006	0	NetworkingPlugin1006(AnsiString NetworkingStack, UnicodeString ImageName, UnicodeString ModuleName, Int32 ErrorCode)		TrPlugin	NetworkingPlugin	Error		
Microsoft-Windows-TenantRestrictions	1007	0	SyncService1007(UnicodeString LastSuccessfulSync, Int32 TimeInHours, Int32 ErrorCode)		CloudIdSvc	SyncService	Warning		
Microsoft-Windows-TenantRestrictions	1008	0	NetworkingPlugin1008(UnicodeString ImageName, UnicodeString ModuleName, Int32 ErrorCode)		TrPlugin	NetworkingPlugin	Error		
Microsoft-Windows-TenantRestrictions	1009	0	NetworkingPlugin1009(UnicodeString ImageName, UnicodeString ModuleName, Int32 ErrorCode)		TrPlugin	NetworkingPlugin	Error		
Microsoft-Windows-TenantRestrictions	1010	0	NetworkingPlugin1010(UnicodeString ImageName, UnicodeString ModuleName, Int32 ErrorCode)		TrPlugin	NetworkingPlugin	Error		
Microsoft-Windows-TenantRestrictions	1011	0	SyncService1011(UnicodeString InvalidGuid)		CloudIdSvc	SyncService	Error		
Microsoft-Windows-TenantRestrictions	1012	0	SyncService1012()		CloudIdSvc	SyncService	Error		
Microsoft-Windows-TenantRestrictions	1013	0	SyncService1013(UnicodeString RequestPath, Int32 HttpErrorCode, UnicodeString ResponseHeaders, Int32 NetworkingErrorCode)		CloudIdSvc	SyncService	Error		
