provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-TerminalServices-RdpSoundDriver	1000	0	SettingsCheck(UInt32 UInt32_1, UInt32 UInt32_2, UInt32 SessionID)			SettingsCheck	Informational		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1001	0	StreamSetup(UInt16 UINT16_FORMAT_TAG, UInt16 UINT16_NUM_CHANNELS, UInt32 UINT32_SAMPLES_PER_SECOND, UInt32 UINT32_AVERAGE_BYTES_PER_SECOND, UInt16 UINT16_BLOCK_ALIGN, UInt16 UINT16_BITS_PER_SAMPLE, UInt16 UINT16_STRUCTURE_SIZE, UInt32 SessionID)			StreamSetup	Informational		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1002	0	SettingsChange(UInt16 UINT16_FORMAT_TAG, UInt16 UINT16_NUM_CHANNELS, UInt32 UINT32_SAMPLES_PER_SECOND, UInt32 UINT32_AVERAGE_BYTES_PER_SECOND, UInt16 UINT16_BLOCK_ALIGN, UInt16 UINT16_BITS_PER_SAMPLE, UInt16 UINT16_STRUCTURE_SIZE, UInt32 SessionID)			SettingsChange	Informational		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1003	0	SettingsCheck1003(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Informational		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1004	0	SettingsCheck1004(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1005	0	SettingsCheck1005(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1006	0	SettingsCheck1006(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1007	0	SettingsCheck1007(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1008	0	SettingsCheck1008(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	1009	0	SettingsCheck1009(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Informational		
Microsoft-Windows-TerminalServices-RdpSoundDriver	2003	0	SettingsCheck2003(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Informational		
Microsoft-Windows-TerminalServices-RdpSoundDriver	2004	0	SettingsCheck2004(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	2005	0	SettingsCheck2005(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	2006	0	SettingsCheck2006(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	2007	0	SettingsCheck2007(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	2008	0	SettingsCheck2008(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
Microsoft-Windows-TerminalServices-RdpSoundDriver	2009	0	SettingsCheck2009(UnicodeString StringParameter, UInt32 UInt32Parameter, UInt32 SessionID)			SettingsCheck	Error		
