provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-TerminalServices-RemoteConnectionManager	2	0	task_0(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	3	0	task_03(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	4	0	task_04(AnsiString message)			task_0	Warning		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	5	0	task_05(AnsiString message)			task_0	Error		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	6	0	task_06(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	7	0	task_07(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	8	0	task_08(AnsiString message)			task_0	Error		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	9	0	task_09(AnsiString message)			task_0	Error		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	256	0	RCMStartStopStart()	Start	PerfInstrumentation	RCMStartStop	Informational		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	257	0	task_0Stop(Boolean isSuccess)	Stop	PerfInstrumentation	task_0	Informational		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	258	0	task_0258(UnicodeString listenerName)			task_0	Informational		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	259	0	task_0259(UnicodeString listenerName)			task_0	Informational		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	260	0	task_0260(UnicodeString listenerName, Pointer errorCode)			task_0	Warning		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	261	0	task_0261(UnicodeString listenerName)			task_0	Informational		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	262	0	task_0262(UnicodeString listenerName)			task_0	Informational		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1003	0	task_01003()			task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1004	0	task_01004()			task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1006	0	task_01006()			task_0	Error		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1011	0	task_01011()			task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1012	0	task_0PCODE_64pcode_64()	opcode_64		task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1022	0	task_0PCODE_192pcode_192()	opcode_192		task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1024	0	task_0PCODE_192pcode_1921024()	opcode_192		task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1028	0	task_0PCODE_192pcode_1921028()	opcode_192		task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1035	0	task_0PCODE_192pcode_1921035()	opcode_192		task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1036	0	task_0PCODE_192pcode_1921036()	opcode_192		task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1041	0	task_0PCODE_192pcode_1921041()	opcode_192		task_0	Always		
Microsoft-Windows-TerminalServices-RemoteConnectionManager	1043	0	task_0PCODE_192pcode_1921043()	opcode_192		task_0	Always		
