provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-TerminalServices-ServerUSBDevices	2	0	task_0(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-ServerUSBDevices	3	0	task_03(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-ServerUSBDevices	4	0	task_04(AnsiString message)			task_0	Warning		
Microsoft-Windows-TerminalServices-ServerUSBDevices	5	0	task_05(AnsiString message)			task_0	Error		
Microsoft-Windows-TerminalServices-ServerUSBDevices	6	0	task_06(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-ServerUSBDevices	7	0	task_07(AnsiString message)			task_0	Verbose		
Microsoft-Windows-TerminalServices-ServerUSBDevices	8	0	task_08(AnsiString message)			task_0	Error		
Microsoft-Windows-TerminalServices-ServerUSBDevices	9	0	task_09(AnsiString message)			task_0	Error		
Microsoft-Windows-TerminalServices-ServerUSBDevices	32	0	task_032(Pointer objectPointer)			task_0	Error		
Microsoft-Windows-TerminalServices-ServerUSBDevices	34	0	task_034(Pointer objectPointer)			task_0	Error		
Microsoft-Windows-TerminalServices-ServerUSBDevices	35	0	task_035(UnicodeString deviceName)			task_0	Warning		
Microsoft-Windows-TerminalServices-ServerUSBDevices	36	0	task_036()			task_0	Warning		
Microsoft-Windows-TerminalServices-ServerUSBDevices	37	0	task_037(UnicodeString deviceName)			task_0	Informational		
Microsoft-Windows-TerminalServices-ServerUSBDevices	38	0	task_038(Pointer objectPointer, HexInt32 ntStatus)			task_0	Informational		
Microsoft-Windows-TerminalServices-ServerUSBDevices	39	0	task_039(Pointer objectPointer, HexInt32 ntStatus)			task_0	Informational		
Microsoft-Windows-TerminalServices-ServerUSBDevices	40	0	task_040(Pointer objectPointer, HexInt32 ntStatus)			task_0	Informational		
Microsoft-Windows-TerminalServices-ServerUSBDevices	41	0	task_041(Pointer objectPointer, HexInt32 ntStatus)			task_0	Informational		
Microsoft-Windows-TerminalServices-ServerUSBDevices	42	0	task_042(Pointer objectPointer, UnicodeString nameString)			task_0	Informational		
Microsoft-Windows-TerminalServices-ServerUSBDevices	43	0	task_043(Pointer objectPointer, HexInt32 ntStatus)			task_0	Informational		
Microsoft-Windows-TerminalServices-ServerUSBDevices	44	0	task_044(Pointer objectPointer, HexInt32 ntStatus)			task_0	Informational		
