provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Threat-Intelligence	1	1	KERNEL_THREATINT_TASK_ALLOCVM_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, UInt32 OriginalProcessId, FILETIME OriginalProcessCreateTime, UInt64 OriginalProcessStartKey, UInt8 OriginalProcessSignatureLevel, UInt8 OriginalProcessSectionSignatureLevel, UInt8 OriginalProcessProtection, Pointer BaseAddress, Pointer RegionSize, UInt32 AllocationType, UInt32 ProtectionMask)		KERNEL_THREATINT_KEYWORD_ALLOCVM_REMOTE	KERNEL_THREATINT_TASK_ALLOCVM	Informational		
Microsoft-Windows-Threat-Intelligence	2	1	KERNEL_THREATINT_TASK_PROTECTVM_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, UInt32 OriginalProcessId, FILETIME OriginalProcessCreateTime, UInt64 OriginalProcessStartKey, UInt8 OriginalProcessSignatureLevel, UInt8 OriginalProcessSectionSignatureLevel, UInt8 OriginalProcessProtection, Pointer BaseAddress, Pointer RegionSize, UInt32 ProtectionMask, UInt32 LastProtectionMask)		KERNEL_THREATINT_KEYWORD_PROTECTVM_REMOTE	KERNEL_THREATINT_TASK_PROTECTVM	Informational		
Microsoft-Windows-Threat-Intelligence	3	1	KERNEL_THREATINT_TASK_MAPVIEW_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, Pointer BaseAddress, Pointer ViewSize, UInt32 AllocationType, UInt32 ProtectionMask)		KERNEL_THREATINT_KEYWORD_MAPVIEW_REMOTE	KERNEL_THREATINT_TASK_MAPVIEW	Informational		
Microsoft-Windows-Threat-Intelligence	4	1	KERNEL_THREATINT_TASK_QUEUEUSERAPC_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, UInt32 TargetThreadId, FILETIME TargetThreadCreateTime, UInt32 OriginalProcessId, FILETIME OriginalProcessCreateTime, UInt64 OriginalProcessStartKey, UInt8 OriginalProcessSignatureLevel, UInt8 OriginalProcessSectionSignatureLevel, UInt8 OriginalProcessProtection, UInt8 TargetThreadAlertable, Pointer ApcRoutine, Pointer ApcArgument1, Pointer ApcArgument2, Pointer ApcArgument3, FILETIME RealEventTime, UInt32 ApcRoutineVadQueryResult, Pointer ApcRoutineVadAllocationBase, UInt32 ApcRoutineVadAllocationProtect, UInt32 ApcRoutineVadRegionType, Pointer ApcRoutineVadRegionSize, Pointer ApcRoutineVadCommitSize, UnicodeString ApcRoutineVadMmfName, UInt32 ApcArgument1VadQueryResult, Pointer ApcArgument1VadAllocationBase, UInt32 ApcArgument1VadAllocationProtect, UInt32 ApcArgument1VadRegionType, Pointer ApcArgument1VadRegionSize, Pointer ApcArgument1VadCommitSize, UnicodeString ApcArgument1VadMmfName)		KERNEL_THREATINT_KEYWORD_QUEUEUSERAPC_REMOTE	KERNEL_THREATINT_TASK_QUEUEUSERAPC	Informational		
Microsoft-Windows-Threat-Intelligence	5	1	KERNEL_THREATINT_TASK_SETTHREADCONTEXT_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, UInt32 TargetThreadId, FILETIME TargetThreadCreateTime, UInt32 ContextFlags, UInt16 ContextMask, Pointer Pc, Pointer Sp, Pointer Lr, Pointer Fp, Pointer Reg0, Pointer Reg1, Pointer Reg2, Pointer Reg3, Pointer Reg4, Pointer Reg5, Pointer Reg6, Pointer Reg7, FILETIME RealEventTime, UInt32 PcVadQueryResult, Pointer PcVadAllocationBase, UInt32 PcVadAllocationProtect, UInt32 PcVadRegionType, Pointer PcVadRegionSize, Pointer PcVadCommitSize, UnicodeString PcVadMmfName)		KERNEL_THREATINT_KEYWORD_SETTHREADCONTEXT_REMOTE	KERNEL_THREATINT_TASK_SETTHREADCONTEXT	Informational		
Microsoft-Windows-Threat-Intelligence	6	1	KERNEL_THREATINT_TASK_ALLOCVM6_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, UInt32 OriginalProcessId, FILETIME OriginalProcessCreateTime, UInt64 OriginalProcessStartKey, UInt8 OriginalProcessSignatureLevel, UInt8 OriginalProcessSectionSignatureLevel, UInt8 OriginalProcessProtection, Pointer BaseAddress, Pointer RegionSize, UInt32 AllocationType, UInt32 ProtectionMask)		KERNEL_THREATINT_KEYWORD_ALLOCVM_LOCAL	KERNEL_THREATINT_TASK_ALLOCVM	Informational		
Microsoft-Windows-Threat-Intelligence	7	1	KERNEL_THREATINT_TASK_PROTECTVM7_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, UInt32 OriginalProcessId, FILETIME OriginalProcessCreateTime, UInt64 OriginalProcessStartKey, UInt8 OriginalProcessSignatureLevel, UInt8 OriginalProcessSectionSignatureLevel, UInt8 OriginalProcessProtection, Pointer BaseAddress, Pointer RegionSize, UInt32 ProtectionMask, UInt32 LastProtectionMask)		KERNEL_THREATINT_KEYWORD_PROTECTVM_LOCAL	KERNEL_THREATINT_TASK_PROTECTVM	Informational		
Microsoft-Windows-Threat-Intelligence	8	1	KERNEL_THREATINT_TASK_MAPVIEW8_V1(UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, Pointer BaseAddress, Pointer ViewSize, UInt32 AllocationType, UInt32 ProtectionMask)		KERNEL_THREATINT_KEYWORD_MAPVIEW_LOCAL	KERNEL_THREATINT_TASK_MAPVIEW	Informational		
Microsoft-Windows-Threat-Intelligence	11	1	KERNEL_THREATINT_TASK_READVM_V1(UInt32 OperationStatus, UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, Pointer BaseAddress, Pointer BytesCopied)		KERNEL_THREATINT_KEYWORD_READVM_LOCAL	KERNEL_THREATINT_TASK_READVM	Informational		
Microsoft-Windows-Threat-Intelligence	12	1	KERNEL_THREATINT_TASK_WRITEVM_V1(UInt32 OperationStatus, UInt32 CallingProcessId, FILETIME CallingProcessCreateTime, UInt64 CallingProcessStartKey, UInt8 CallingProcessSignatureLevel, UInt8 CallingProcessSectionSignatureLevel, UInt8 CallingProcessProtection, UInt32 CallingThreadId, FILETIME CallingThreadCreateTime, UInt32 TargetProcessId, FILETIME TargetProcessCreateTime, UInt64 TargetProcessStartKey, UInt8 TargetProcessSignatureLevel, UInt8 TargetProcessSectionSignatureLevel, UInt8 TargetProcessProtection, Pointer BaseAddress, Pointer BytesCopied)		KERNEL_THREATINT_KEYWORD_WRITEVM_LOCAL	KERNEL_THREATINT_TASK_WRITEVM	Informational		
