provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Time-Service-PTP-Provider	512	0	task_0(UnicodeString Name, UnicodeString Address, UnicodeString MasterClockId, UInt32 MasterPortNum, UInt32 DomainNumber, UInt32 UTCValid, UInt32 CurrentUTCOffset, UnicodeString Flags, UnicodeString GrandMasterClockId, UInt32 StepsRemovedFromGrandMaster, UnicodeString TimeSourceCode, Int32 LogAnnounceInterval, UInt32 ActiveMasterCount, UInt64 TickCount, UInt32 LocalIfIndex)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	513	0	task_0513(UnicodeString BestMasterName, UnicodeString MasterAddress, UnicodeString MasterClockId, UInt32 MasterPortNum, UInt32 DomainNumber, UInt32 UTCValid, UInt32 CurrentUTCOffset, UnicodeString Flags, UnicodeString GrandMasterClockId, UInt32 StepsRemovedFromGrandMaster, UnicodeString TimeSourceCode, Int32 LogAnnounceInterval, UInt64 TickCount, UInt32 LocalIfIndex)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	514	0	task_0514(UnicodeString Name, UnicodeString Address, UInt32 AnnounceTimeoutMsec, UnicodeString MasterClockId, UInt32 MasterPortNum, Int32 LogAnnounceInterval, UInt32 ActiveMasterCount, UInt64 TickCount, UInt32 DomainNumber)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	515	0	task_0515(UnicodeString AllowedMastersList, UInt32 AnnounceIntervalMsec, UInt32 DelayPollIntervalMsec, UInt32 IfTstmp, UnicodeString BestMasterName, UnicodeString BMAddress, UnicodeString BMClockId, UInt32 BMPortNum, UInt64 BMLastTimeSampleTickCount, UInt32 ActiveMasterCount, UInt32 MulticastRxEnabled, UInt64 TickCount, UInt32 E2ECorrectionEnabled, UInt32 HWTstmpingIfIndex, UInt32 MulticastOnlyTxEnabled, UInt32 MulticastIfIndex, UInt32 AllowAnyMaster, UInt32 LocalDomainNumber, UInt32 MasterDomainNumber)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	516	0	task_0516(UnicodeString Address, UnicodeString MasterClockId, UInt32 MasterPortNum, UInt32 DomainNumber, UInt32 UTCValid, UInt32 CurrentUTCOffset, UnicodeString Flags, UnicodeString GrandMasterClockId, UInt32 StepsRemovedFromGrandMaster, UnicodeString TimeSourceCode, Int32 LogAnnounceInterval, UInt32 ActiveMasterCount, UInt64 TickCount)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	517	0	task_0517(UnicodeString IfIndexList, UnicodeString SWTSIfIndexList, UnicodeString AmbiguousTSIfIndexList, UnicodeString NoTSIfIndexList, UInt64 TickCount)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	518	0	task_0518(UInt64 IfIndex, UInt64 TickCount)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	519	0	task_0519(UInt64 IfIndex, UInt64 TickCount)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	520	0	task_0520(UInt32 ActiveMasterCount, UInt64 TickCount)			task_0	Warning		
Microsoft-Windows-Time-Service-PTP-Provider	521	0	task_0521(UInt64 TickCount)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	522	0	task_0522(UInt64 TickCount)			task_0	Informational		
Microsoft-Windows-Time-Service-PTP-Provider	523	0	task_0523(UInt64 TickCount)			task_0	Warning		
