provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UI-Input-Inking	1	0	Inking_IStrokeBuilder_BeginStrokeStart()	Start	InkStrokeBuilding	Inking_IStrokeBuilder_BeginStroke	Informational		
Microsoft-Windows-UI-Input-Inking	2	0	Inking_IStrokeBuilder_BeginStrokeStop()	Stop	InkStrokeBuilding	Inking_IStrokeBuilder_BeginStroke	Informational		
Microsoft-Windows-UI-Input-Inking	3	0	Inking_IStrokeBuilder_AppendStrokeStart()	Start	InkStrokeBuilding	Inking_IStrokeBuilder_AppendStroke	Informational		
Microsoft-Windows-UI-Input-Inking	4	0	Inking_IStrokeBuilder_AppendStrokeStop()	Stop	InkStrokeBuilding	Inking_IStrokeBuilder_AppendStroke	Informational		
Microsoft-Windows-UI-Input-Inking	5	0	Inking_IStrokeBuilder_EndStrokeStart()	Start	InkStrokeBuilding	Inking_IStrokeBuilder_EndStroke	Informational		
Microsoft-Windows-UI-Input-Inking	6	0	Inking_IStrokeBuilder_EndStrokeStop()	Stop	InkStrokeBuilding	Inking_IStrokeBuilder_EndStroke	Informational		
Microsoft-Windows-UI-Input-Inking	7	0	Inking_IStrokeCollection_AddStrokeStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_AddStroke	Informational		
Microsoft-Windows-UI-Input-Inking	8	0	Inking_IStrokeCollection_AddStrokeStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_AddStroke	Informational		
Microsoft-Windows-UI-Input-Inking	9	0	Inking_IStrokeCollection_DeleteStrokeStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_DeleteStroke	Informational		
Microsoft-Windows-UI-Input-Inking	10	0	Inking_IStrokeCollection_DeleteStrokeStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_DeleteStroke	Informational		
Microsoft-Windows-UI-Input-Inking	11	0	Inking_IStrokeCollection_SelectWithPolyLineStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_SelectWithPolyLine	Informational		
Microsoft-Windows-UI-Input-Inking	12	0	Inking_IStrokeCollection_SelectWithPolyLineStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_SelectWithPolyLine	Informational		
Microsoft-Windows-UI-Input-Inking	13	0	Inking_IStrokeCollection_SelectWithLineStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_SelectWithLine	Informational		
Microsoft-Windows-UI-Input-Inking	14	0	Inking_IStrokeCollection_SelectWithLineStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_SelectWithLine	Informational		
Microsoft-Windows-UI-Input-Inking	15	0	Inking_IStrokeCollection_CopyStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_Copy	Informational		
Microsoft-Windows-UI-Input-Inking	16	0	Inking_IStrokeCollection_CopyStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_Copy	Informational		
Microsoft-Windows-UI-Input-Inking	17	0	Inking_IStrokeCollection_PasteStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_Paste	Informational		
Microsoft-Windows-UI-Input-Inking	18	0	Inking_IStrokeCollection_PasteStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_Paste	Informational		
Microsoft-Windows-UI-Input-Inking	19	0	Inking_IStrokeCollection_SerializeStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_Serialize	Informational		
Microsoft-Windows-UI-Input-Inking	20	0	Inking_IStrokeCollection_SerializeStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_Serialize	Informational		
Microsoft-Windows-UI-Input-Inking	21	0	Inking_IStrokeCollection_DeserializeStart()	Start	InkStrokeManipulation	Inking_IStrokeCollection_Deserialize	Informational		
Microsoft-Windows-UI-Input-Inking	22	0	Inking_IStrokeCollection_DeserializeStop()	Stop	InkStrokeManipulation	Inking_IStrokeCollection_Deserialize	Informational		
Microsoft-Windows-UI-Input-Inking	23	0	Inking_IRecognizerCollection_SetDefaultRecognizerStart()	Start	InkStrokeManipulation	Inking_IRecognizerCollection_SetDefaultRecognizer	Informational		
Microsoft-Windows-UI-Input-Inking	24	0	Inking_IRecognizerCollection_SetDefaultRecognizerStop()	Stop	InkStrokeManipulation	Inking_IRecognizerCollection_SetDefaultRecognizer	Informational		
Microsoft-Windows-UI-Input-Inking	25	0	Inking_IRecognizerCollection_RecognizeStart()	Start	InkStrokeManipulation	Inking_IRecognizerCollection_Recognize	Informational		
Microsoft-Windows-UI-Input-Inking	26	0	Inking_IRecognizerCollection_RecognizeStop()	Stop	InkStrokeManipulation	Inking_IRecognizerCollection_Recognize	Informational		
Microsoft-Windows-UI-Input-Inking	27	0	Inking_IRecognizerCollection_GetRecognizerViewStart()	Start	InkStrokeManipulation	Inking_IRecognizerCollection_GetRecognizerView	Informational		
Microsoft-Windows-UI-Input-Inking	28	0	Inking_IRecognizerCollection_GetRecognizerViewStop()	Stop	InkStrokeManipulation	Inking_IRecognizerCollection_GetRecognizerView	Informational		
Microsoft-Windows-UI-Input-Inking	29	0	Inking_IInkManager_OnPointerDownStart()	Start	InkStrokeBuilding	Inking_IInkManager_OnPointerDown	Informational		
Microsoft-Windows-UI-Input-Inking	30	0	Inking_IInkManager_OnPointerDownStop()	Stop	InkStrokeBuilding	Inking_IInkManager_OnPointerDown	Informational		
Microsoft-Windows-UI-Input-Inking	31	0	Inking_IInkManager_OnPointerUpdateStart()	Start	InkStrokeBuilding	Inking_IInkManager_OnPointerUpdate	Informational		
Microsoft-Windows-UI-Input-Inking	32	0	Inking_IInkManager_OnPointerUpdateStop()	Stop	InkStrokeBuilding	Inking_IInkManager_OnPointerUpdate	Informational		
