provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UI-Search	101	0	XamlViewStartupStart(UInt32 XAMLView)	Start		XamlViewStartup	Informational		
Microsoft-Windows-UI-Search	102	0	XamlViewStartupStop(UInt32 XAMLView, UInt32 Result)	Stop		XamlViewStartup	Informational		
Microsoft-Windows-UI-Search	103	0	Perftrack_SearchPaneViewSetupStart()	Start		Perftrack_SearchPaneViewSetup	Informational		
Microsoft-Windows-UI-Search	104	0	Perftrack_SearchPaneViewSetupStop()	Stop		Perftrack_SearchPaneViewSetup	Informational		
Microsoft-Windows-UI-Search	105	0	Perftrack_SearchResultsViewSetupStart()	Start		Perftrack_SearchResultsViewSetup	Informational		
Microsoft-Windows-UI-Search	106	0	Perftrack_SearchResultsViewSetupStop()	Stop		Perftrack_SearchResultsViewSetup	Informational		
Microsoft-Windows-UI-Search	107	0	Perftrack_StartMenuViewSetupStart()	Start		Perftrack_StartMenuViewSetup	Informational		
Microsoft-Windows-UI-Search	108	0	Perftrack_StartMenuViewSetupStop()	Stop		Perftrack_StartMenuViewSetup	Informational		
Microsoft-Windows-UI-Search	201	0	ASTAThreadStart(UInt32 ThreadID, UInt32 XAMLView)	Start		ASTAThread	Informational		
Microsoft-Windows-UI-Search	202	0	ASTAThreadStop(UInt32 ThreadID, UInt32 XAMLView)	Stop		ASTAThread	Informational		
Microsoft-Windows-UI-Search	301	0	ResourceManagerStart()	Start		ResourceManager	Informational		
Microsoft-Windows-UI-Search	302	0	ResourceManagerStop(UInt32 Result)	Stop		ResourceManager	Informational		
Microsoft-Windows-UI-Search	401	0	XAMLContentStart()	Start		XAMLContent	Informational		
Microsoft-Windows-UI-Search	402	0	XAMLContentStop(UInt32 Result)	Stop		XAMLContent	Informational		
Microsoft-Windows-UI-Search	501	0	ViewServiceInitStart(UInt32 ServiceIndex)	Start		ViewServiceInit	Informational		
Microsoft-Windows-UI-Search	502	0	ViewServiceInitStop(UInt32 ServiceIndex, UInt32 Result)	Stop		ViewServiceInit	Informational		
Microsoft-Windows-UI-Search	503	0	ViewServiceSubscribeStart(UInt32 ServiceIndex)	Start		ViewServiceSubscribe	Informational		
Microsoft-Windows-UI-Search	504	0	ViewServiceSubscribeStop(UInt32 ServiceIndex, UInt32 Result)	Stop		ViewServiceSubscribe	Informational		
Microsoft-Windows-UI-Search	601	0	XamlViewShutdownStart(UInt32 XAMLView)	Start		XamlViewShutdown	Informational		
Microsoft-Windows-UI-Search	602	0	XamlViewShutdownStop(UInt32 XAMLView, UInt32 Result)	Stop		XamlViewShutdown	Informational		
Microsoft-Windows-UI-Search	701	0	GlobalSuggestionsCollection_SuggestionsCleared()			GlobalSuggestionsCollection_SuggestionsCleared	Informational		
Microsoft-Windows-UI-Search	702	0	GlobalSuggestionsCollection_QuerySubmitted(UnicodeString QueryString)			GlobalSuggestionsCollection_QuerySubmitted	Informational		
Microsoft-Windows-UI-Search	703	0	GlobalSuggestionsCollection_AllProvidersLoaded()			GlobalSuggestionsCollection_AllProvidersLoaded	Informational		
Microsoft-Windows-UI-Search	704	0	SearchPane_QuerySubmitted(UnicodeString QueryString)			SearchPane_QuerySubmitted	Informational		
Microsoft-Windows-UI-Search	705	0	ContactsCollection_VectorChange()			ContactsCollection_VectorChange	Informational		
Microsoft-Windows-UI-Search	706	0	LocalResults_VectorChange()			LocalResults_VectorChange	Informational		
Microsoft-Windows-UI-Search	707	0	HierarchicalCollection_VectorChange()			HierarchicalCollection_VectorChange	Informational		
Microsoft-Windows-UI-Search	708	0	GlobalSuggestionsCollection_VectorChange()			GlobalSuggestionsCollection_VectorChange	Informational		
Microsoft-Windows-UI-Search	709	0	XamlHostCreateWindowStart()	Start		XamlHostCreateWindow	Informational		
Microsoft-Windows-UI-Search	710	0	XamlHostCreateWindowStop(UInt32 Result)	Stop		XamlHostCreateWindow	Informational		
Microsoft-Windows-UI-Search	711	0	SearchPane_QueryChanged(UnicodeString QueryString)			SearchPane_QueryChanged	Informational		
Microsoft-Windows-UI-Search	712	0	SearchPane_SuggestionInvoked()			SearchPane_SuggestionInvoked	Informational		
Microsoft-Windows-UI-Search	901	0	TemplateLoadStart(UnicodeString TemplateID)	Start		TemplateLoad	Informational		
Microsoft-Windows-UI-Search	902	0	TemplateLoadStop(UInt32 Result, UnicodeString TemplateID)	Stop		TemplateLoad	Informational		
Microsoft-Windows-UI-Search	903	0	TemplateResolved(UInt32 Result, UnicodeString existingTemplates, UnicodeString resolvedTemplates, UnicodeString unresolvedTemplates, UnicodeString invalidXAMLTemplates)			TemplateResolved	Informational		
Microsoft-Windows-UI-Search	904	0	TemplateManager_NullOrEmptyToVisibilityConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_NullOrEmptyToVisibilityConverter	Informational		
Microsoft-Windows-UI-Search	905	0	TemplateManager_StringToResourceConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_StringToResourceConverter	Informational		
Microsoft-Windows-UI-Search	906	0	TemplateManager_DownloadResourceStart(UnicodeString TemplateID)	Start		TemplateManager_DownloadResource	Informational		
Microsoft-Windows-UI-Search	907	0	TemplateManager_DownloadResourceStop(UInt32 Result, UnicodeString TemplateID)	Stop		TemplateManager_DownloadResource	Informational		
Microsoft-Windows-UI-Search	910	0	TemplateManager_XAMLCallbackException(UInt32 Result, UnicodeString Message)			TemplateManager_XAMLCallbackException	Informational		
Microsoft-Windows-UI-Search	911	0	TemplateManager_StringPropertyConcatenatorConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_StringPropertyConcatenatorConverter	Informational		
Microsoft-Windows-UI-Search	912	0	TemplateManager_DataContextBindingError(UnicodeString Property)			TemplateManager_DataContextBindingError	Informational		
Microsoft-Windows-UI-Search	913	0	TemplateManager_TemplateLookupError(UnicodeString TemplateId, UInt32 ErrorCode)			TemplateManager_TemplateLookupError	Error		
Microsoft-Windows-UI-Search	914	0	TemplateManager_TemplateFallbackSuccess(UnicodeString Property)			TemplateManager_TemplateFallbackSuccess	Informational		
Microsoft-Windows-UI-Search	915	0	TemplateManager_SwitchCaseConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_SwitchCaseConverter	Informational		
Microsoft-Windows-UI-Search	916	0	TemplateManager_OfflineAvailabilityToVisibilityConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_OfflineAvailabilityToVisibilityConverter	Informational		
Microsoft-Windows-UI-Search	917	0	TemplateManager_VideoKindToVisibilityConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_VideoKindToVisibilityConverter	Informational		
Microsoft-Windows-UI-Search	918	0	TemplateManager_BoolToVisibilityConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_BoolToVisibilityConverter	Informational		
Microsoft-Windows-UI-Search	919	0	TemplateManager_NegatedBoolToVisibilityConverter(UnicodeString Input, UnicodeString Parameter, UnicodeString Output)			TemplateManager_NegatedBoolToVisibilityConverter	Informational		
Microsoft-Windows-UI-Search	920	0	TemplateManager_AccentColorSet(UnicodeString ColorString, UInt32 AccentIndex)			TemplateManager_AccentColorSet	Informational		
Microsoft-Windows-UI-Search	1001	0	XamlHostWindow_VisibilityChanged(UInt32 Visibility, UInt32 XAMLView)			XamlHostWindow_VisibilityChanged	Informational		
Microsoft-Windows-UI-Search	1101	0	SearchResultsRunQueryStart(UnicodeString QueryString)	Start		SearchResultsRunQuery	Informational		
Microsoft-Windows-UI-Search	1102	0	SearchResultsRunQueryStop(UnicodeString QueryString)	Stop		SearchResultsRunQuery	Informational		
Microsoft-Windows-UI-Search	1103	0	SearchResultsGroupsRealized(UnicodeString QueryString)			SearchResultsGroupsRealized	Informational		
Microsoft-Windows-UI-Search	1104	0	SearchResultsSwitchToView(UnicodeString QueryString, UnicodeString AppId)			SearchResultsSwitchToView	Informational		
Microsoft-Windows-UI-Search	1105	0	SearchResultsResultsReady(UnicodeString QueryString)			SearchResultsResultsReady	Informational		
Microsoft-Windows-UI-Search	1200	0	SanitizeImageStart(UnicodeString Url, UInt32 Size)	Start		SanitizeImage	Informational		
Microsoft-Windows-UI-Search	1201	0	SanitizeImageStop(UInt32 Result, UnicodeString Url)	Stop		SanitizeImage	Informational		
Microsoft-Windows-UI-Search	1300	0	DownloadImageStart(UnicodeString Url)	Start		DownloadImage	Informational		
Microsoft-Windows-UI-Search	1301	0	DownloadImageStop(UInt32 Result, UnicodeString Url)	Stop		DownloadImage	Informational		
Microsoft-Windows-UI-Search	1400	0	PathSuggestionProvider_Loaded()			PathSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1405	0	ProtocolSuggestionProvider_Loaded()			ProtocolSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1410	0	HistorySuggestionProvider_Loaded()			HistorySuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1420	0	AppsSuggestionProvider_Loaded()			AppsSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1430	0	MusicSuggestionProvider_Loaded()			MusicSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1440	0	SettingsSuggestionProvider_Loaded()			SettingsSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1450	0	FilesSuggestionProvider_Loaded()			FilesSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1480	0	ContactsSuggestionProvider_Loaded()			ContactsSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1490	0	ConnnectedSearchSuggestionProvider_Loaded()			ConnnectedSearchSuggestionProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1495	0	ConnnectedSearchZeroInputProvider_Loaded()			ConnnectedSearchZeroInputProvider_Loaded	Informational		
Microsoft-Windows-UI-Search	1501	0	LocalResults_RunQueryStart(UInt32 GroupId)	Start		LocalResults_RunQuery	Informational		
Microsoft-Windows-UI-Search	1502	0	LocalResults_RunQueryStop(UInt32 GroupId)	Stop		LocalResults_RunQuery	Informational		
Microsoft-Windows-UI-Search	1503	0	LocalResults_TemplateSelected(UnicodeString ItemName, UnicodeString TemplateType)			LocalResults_TemplateSelected	Informational		
Microsoft-Windows-UI-Search	1504	0	LocalResults_ColumnsWrappedAt(Int32 ColumnsWrappedAt)			LocalResults_ColumnsWrappedAt	Informational		
Microsoft-Windows-UI-Search	1600	0	Perftrack_FirstLocalSuggestionStart()	Start		Perftrack_FirstLocalSuggestion	Informational		
Microsoft-Windows-UI-Search	1601	0	Perftrack_FirstLocalSuggestionStop()	Stop		Perftrack_FirstLocalSuggestion	Informational		
Microsoft-Windows-UI-Search	1602	0	FirstWebSuggestion()			FirstWebSuggestion	Informational		
Microsoft-Windows-UI-Search	1603	0	Perftrack_AllSuggestionsStart()	Start		Perftrack_AllSuggestions	Informational		
