provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-USB-UCX	1	0	UCXDriverRundownStart()	Start	Default Rundown	UCXDriverRundown	Informational		
Microsoft-Windows-USB-UCX	2	0	UCXDriverRundownStop()	Stop	Default Rundown	UCXDriverRundown	Informational		
Microsoft-Windows-USB-UCX	3	0	UCXControlerRundownInformation(Pointer fid_UcxController, UInt32 fid_ParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UnicodeString fid_DeviceInterfacePath)	Information	Default Rundown	UCXControlerRundown	Informational		
Microsoft-Windows-USB-UCX	4	0	UCXRootHubRundownInformation(Pointer fid_UcxController, Pointer fid_UsbDevice, UnicodeString fid_DeviceInterfacePath)	Information	Default Rundown	UCXRootHubRundown	Informational		
Microsoft-Windows-USB-UCX	5	0	UCXDeviceRundownInformation(Pointer fid_UcxController, Pointer fid_HubDevice, Pointer fid_UsbDevice, UInt32 DeviceSpeed, UInt32 PortPathDepth, UInt32 PortPath)	Information	Default Rundown	UCXDeviceRundown	Informational		
Microsoft-Windows-USB-UCX	6	0	UCXEndpointRundownInformation(Pointer fid_UsbDevice, Pointer fid_Endpoint, Pointer fid_PipeHandle, UInt8 fid_UCX_Endpoint_Descriptor)	Information	Default Rundown	UCXEndpointRundown	Informational		
Microsoft-Windows-USB-UCX	7	0	UCXStaticStreamRundownInformation(Pointer fid_UsbDevice, Pointer fid_EndpointPipeHandle, UInt32 fid_StreamID, Pointer fid_StreamPipeHandle)	Information	Default Rundown	UCXStaticStreamRundown	Informational		
Microsoft-Windows-USB-UCX	8	0	UCXControllerCreateInformation(Pointer fid_UcxController, UInt32 fid_ParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UnicodeString fid_DeviceInterfacePath)	Information	Default	UCXControllerCreate	Informational		
Microsoft-Windows-USB-UCX	9	0	UCXControllerDeleteInformation(Pointer fid_UcxController, UInt32 fid_ParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UnicodeString fid_DeviceInterfacePath)	Information	Default	UCXControllerDelete	Informational		
Microsoft-Windows-USB-UCX	10	0	UCXRootHubCreateInformation(Pointer fid_UcxController, Pointer fid_UsbDevice, UnicodeString fid_DeviceInterfacePath)	Information	Default	UCXRootHubCreate	Informational		
Microsoft-Windows-USB-UCX	11	0	UCXRootHubDeleteInformation(Pointer fid_UcxController, Pointer fid_UsbDevice, UnicodeString fid_DeviceInterfacePath)	Information	Default	UCXRootHubDelete	Informational		
Microsoft-Windows-USB-UCX	12	0	UCXRootHubPrepareHardwareInformation(Pointer fid_UcxController, Pointer fid_UsbDevice, UnicodeString fid_DeviceInterfacePath)	Information	Default	UCXRootHubPrepareHardware	Informational		
Microsoft-Windows-USB-UCX	13	0	UCXRootHubReleaseHardwareInformation(Pointer fid_UcxController, Pointer fid_UsbDevice, UnicodeString fid_DeviceInterfacePath)	Information	Default	UCXRootHubReleaseHardware	Informational		
Microsoft-Windows-USB-UCX	14	0	UCXDeviceCreateInformation(Pointer fid_UcxController, Pointer fid_HubDevice, Pointer fid_UsbDevice, UInt32 DeviceSpeed, UInt32 PortPathDepth, UInt32 PortPath)	Information	Default	UCXDeviceCreate	Informational		
Microsoft-Windows-USB-UCX	15	0	UCXDeviceDeleteInformation(Pointer fid_UcxController, Pointer fid_HubDevice, Pointer fid_UsbDevice, UInt32 DeviceSpeed, UInt32 PortPathDepth, UInt32 PortPath)	Information	Default	UCXDeviceDelete	Informational		
Microsoft-Windows-USB-UCX	16	0	UCXEndpointCreateInformation(Pointer fid_UsbDevice, Pointer fid_Endpoint, Pointer fid_PipeHandle, UInt8 fid_UCX_Endpoint_Descriptor)	Information	Default	UCXEndpointCreate	Informational		
Microsoft-Windows-USB-UCX	17	0	UCXEndpointDeleteInformation(Pointer fid_UsbDevice, Pointer fid_Endpoint, Pointer fid_PipeHandle, UInt8 fid_UCX_Endpoint_Descriptor)	Information	Default	UCXEndpointDelete	Informational		
Microsoft-Windows-USB-UCX	18	0	UCXStaticStreamCreateInformation(Pointer fid_UsbDevice, Pointer fid_EndpointPipeHandle, UInt32 fid_StreamID, Pointer fid_StreamPipeHandle)	Information	Default	UCXStaticStreamCreate	Informational		
Microsoft-Windows-USB-UCX	19	0	UCXStaticStreamDeleteInformation(Pointer fid_UsbDevice, Pointer fid_EndpointPipeHandle, UInt32 fid_StreamID, Pointer fid_StreamPipeHandle)	Information	Default	UCXStaticStreamDelete	Informational		
Microsoft-Windows-USB-UCX	20	0	URB_FUNCTION_CONTROL_TRANSFERStart(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, UInt16 fid_UCX_URB_CONTROL_TRANSFER)	Start	HeadersBusTrace PartialDataBusTrace FullDataBusTrace	URB_FUNCTION_CONTROL_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	21	0	URB_FUNCTION_CONTROL_TRANSFERStop(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, Int32 fid_UCX_URB_CONTROL_TRANSFER, UInt32 fid_IRP_NtStatus)	Stop	HeadersBusTrace	URB_FUNCTION_CONTROL_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	22	0	URB_FUNCTION_CONTROL_TRANSFERStop22(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, Int64 fid_UCX_URB_CONTROL_TRANSFER, UInt32 fid_IRP_NtStatus, UInt16 fid_URB_TransferDataLength, UInt8 fid_URB_TransferData)	Stop	PartialDataBusTrace FullDataBusTrace	URB_FUNCTION_CONTROL_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	23	0	URB_FUNCTION_CONTROL_TRANSFER_EXStart(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, UInt16 fid_UCX_URB_CONTROL_TRANSFER_EX)	Start	HeadersBusTrace PartialDataBusTrace FullDataBusTrace	URB_FUNCTION_CONTROL_TRANSFER_EX	Informational		
Microsoft-Windows-USB-UCX	24	0	URB_FUNCTION_CONTROL_TRANSFER_EXStop(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, Int32 fid_UCX_URB_CONTROL_TRANSFER_EX, UInt32 fid_IRP_NtStatus)	Stop	HeadersBusTrace	URB_FUNCTION_CONTROL_TRANSFER_EX	Informational		
Microsoft-Windows-USB-UCX	25	0	URB_FUNCTION_CONTROL_TRANSFER_EXStop25(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, Int64 fid_UCX_URB_CONTROL_TRANSFER_EX, UInt32 fid_IRP_NtStatus, UInt16 fid_URB_TransferDataLength, UInt8 fid_URB_TransferData)	Stop	PartialDataBusTrace FullDataBusTrace	URB_FUNCTION_CONTROL_TRANSFER_EX	Informational		
Microsoft-Windows-USB-UCX	26	0	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFERStart(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, UInt16 fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER)	Start	HeadersBusTrace PartialDataBusTrace FullDataBusTrace	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	27	0	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFERStop(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, Int32 fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER, UInt32 fid_IRP_NtStatus)	Stop	HeadersBusTrace	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	28	0	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFERStop28(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, Int64 fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER, UInt32 fid_IRP_NtStatus, UInt16 fid_URB_TransferDataLength, UInt8 fid_URB_TransferData)	Stop	PartialDataBusTrace	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	29	0	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFERStop29(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, Int64 fid_UCX_URB_BULK_OR_INTERRUPT_TRANSFER, UInt32 fid_IRP_NtStatus, UInt16 fid_URB_TransferDataLength, UInt8 fid_URB_TransferData)	Stop	FullDataBusTrace	URB_FUNCTION_BULK_OR_INTERRUPT_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	30	0	URB_FUNCTION_ISOCH_TRANSFERStart(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, UInt16 fid_UCX_URB_NumberOfPackets, UInt32 fid_UCX_URB_ISOCH_TRANSFER, CountedMbcsString fid_UCX_URB_ISO_PACKETS)	Start	HeadersBusTrace PartialDataBusTrace FullDataBusTrace	URB_FUNCTION_ISOCH_TRANSFER	Informational		
Microsoft-Windows-USB-UCX	31	0	URB_FUNCTION_ISOCH_TRANSFERStop(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_PipeHandle, Pointer fid_IRP_Ptr, Pointer fid_URB_Ptr, UInt16 fid_UCX_URB_NumberOfPackets, Int64 fid_UCX_URB_ISOCH_TRANSFER, Struct fid_UCX_URB_ISO_PACKETS, UInt32 fid_IRP_NtStatus)	Stop	HeadersBusTrace PartialDataBusTrace FullDataBusTrace	URB_FUNCTION_ISOCH_TRANSFER	Informational		
