provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-USB-USBHUB	1	0	USBHubAdd(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, Binary fid_USBHUB_Hub_State, Pointer fid_USB_HubDescriptor)	Add	Diagnostics keyword_400000000000	USBHub	Informational		
Microsoft-Windows-USB-USBHUB	2	0	USBHubRemove(AnsiString fid_USBHUB_HC, Int32 fid_USBHUB_Hub)	Remove	Diagnostics keyword_400000000000	USBHub	Informational		
Microsoft-Windows-USB-USBHUB	3	0	USBHubInformation(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, Binary fid_USBHUB_Hub_State, Pointer fid_USB_HubDescriptor)	Information	Diagnostics	USBHub	Informational		
Microsoft-Windows-USB-USBHUB	10	0	USBHubEnumerateStart(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Start	Diagnostics keyword_400000000000	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	11	0	USBHubEnumerateError(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	12	0	USBHubEnumerateError12(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	13	0	USBHubEnumerateError13(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	14	0	USBHubEnumerateError14(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	15	0	USBHubEnumerateInformation(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	16	0	USBHubEnumerateError16(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	17	0	USBHubEnumerateError17(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	18	0	USBHubEnumerateError18(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, Binary fid_USBHUB_CD_Error_Information)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	19	0	USBHubEnumerateError19(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, Binary fid_USBHUB_ID_Error_Information)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	20	0	USBHubEnumerateError20(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	21	0	USBHubEnumerateStart21(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Start	Diagnostics keyword_400000000000	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	22	0	USBHubEnumerateError22(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	23	0	USBHubEnumerateError23(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	24	0	USBHubEnumerateError24(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	25	0	USBHubEnumerateError25(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	26	0	USBHubEnumerateError26(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	27	0	USBHubEnumerateError27(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	28	0	USBHubEnumerateError28(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Error		
Microsoft-Windows-USB-USBHUB	29	0	USBHubEnumerateInformation29(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics keyword_400000000000	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	30	0	USBHubEnumerateError30(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Error	Diagnostics keyword_400000000000	USBHubEnumerate	Critical		
Microsoft-Windows-USB-USBHUB	31	0	USBHubEnumerateInformation31(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	32	0	USBHubEnumerateInformation32(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	33	0	USBHubEnumerateInformation33(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	34	0	USBHubEnumerateInformation34(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics keyword_400000000000	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	35	0	USBHubEnumerateInformation35(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	36	0	USBHubEnumerateInformation36(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics keyword_400000000000	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	37	0	USBHubEnumerateInformation37(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics keyword_400000000000	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	39	0	USBHubEnumerateComplete(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Complete	Diagnostics keyword_400000000000	USBHubEnumerate	Informational		
Microsoft-Windows-USB-USBHUB	40	0	USBHubResetRecoveryStart(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Start	Diagnostics	USBHubResetRecovery	Informational		
Microsoft-Windows-USB-USBHUB	41	0	USBHubResetRecoveryQueue(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Queue	Diagnostics	USBHubResetRecovery	Warning		
Microsoft-Windows-USB-USBHUB	49	0	USBHubResetRecoveryComplete(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Complete	Diagnostics	USBHubResetRecovery	Informational		
Microsoft-Windows-USB-USBHUB	50	0	USBHubSuspendStart(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Start	Diagnostics	USBHubSuspend	Informational		
Microsoft-Windows-USB-USBHUB	51	0	USBHubSuspendInformation(UInt8 fid_USBHUB_HC, Int64 fid_USBHUB_Hub, UInt32 fid_PortNumber, UInt32 fid_Status)	Information	Diagnostics	USBHubSuspend	Informational		
