provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-USB-USBHUB3	1	0	USB3.0HubDriverRundownStart()	Start	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	2	0	USB3.0HubDriverRundownStop()	Stop	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	3	0	USB3.0HubDriverRundownInformation(Pointer fid_UsbDevice, Int8 fid_USB30_HubDescriptor, UInt32 fid_CurrentWdfPowerDeviceState)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	4	0	USB3.0HubDriverRundownInformation4(Pointer fid_UsbDevice, Int8 fid_USB20_HubDescriptor, UInt32 fid_CurrentWdfPowerDeviceState)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	5	0	USB3.0HubDriverRundownInformation5(Pointer fid_UsbDevice, UInt32 fid_CurrentWdfPowerDeviceState)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	6	0	USB3.0HubDriverRundownInformation6(Pointer fid_HubDevice, Pointer fid_UsbDevice, UInt32 fid_PortNumber, UnicodeString fid_DeviceDescription, UnicodeString fid_DeviceInterfacePath, HexInt32 fid_DeviceDescriptor, UInt16 fid_ConfigurationDescriptorLength, UInt8 fid_ConfigurationDescriptor, UnicodeString fid_PdoName, UInt8 fid_Suspended, UInt32 fid_PortPathDepth, UInt32 fid_PortPath, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, UInt32 fid_CurrentWdfPowerDeviceState, UInt32 fid_Usb20LpmStatus)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	6	1	USB3.0HubDriverRundownInformation6_V1(Pointer fid_HubDevice, Pointer fid_UsbDevice, UInt32 fid_PortNumber, UnicodeString fid_DeviceDescription, UnicodeString fid_DeviceInterfacePath, 27 fid_DeviceDescriptor, UInt16 fid_ConfigurationDescriptorLength, UInt8 fid_ConfigurationDescriptor, UnicodeString fid_PdoName, UInt8 fid_Suspended, UInt32 fid_PortPathDepth, UInt32 fid_PortPath, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, UInt32 fid_CurrentWdfPowerDeviceState, UInt32 fid_Usb20LpmStatus, UInt32 fid_ControllerParentBusType, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UInt8 fid_PortFlagAcpiUpcValid, UInt8 fid_PortConnectorType, UInt64 fid_UcmConnectorId)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	6	2	USB3.0HubDriverRundownInformation6_V2(Pointer fid_HubDevice, Pointer fid_UsbDevice, UInt32 fid_PortNumber, UnicodeString fid_DeviceDescription, UnicodeString fid_DeviceInterfacePath, 31 fid_DeviceDescriptor, UInt16 fid_ConfigurationDescriptorLength, UInt8 fid_ConfigurationDescriptor, UnicodeString fid_PdoName, UInt8 fid_Suspended, UInt32 fid_PortPathDepth, UInt32 fid_PortPath, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, UInt32 fid_CurrentWdfPowerDeviceState, UInt32 fid_Usb20LpmStatus, UInt32 fid_ControllerParentBusType, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UInt8 fid_PortFlagAcpiUpcValid, UInt8 fid_PortConnectorType, UInt64 fid_UcmConnectorId, Boolean fid_GetFirmwareImageHashSupport, Boolean fid_DisallowFirmwareUpdateSupport, UInt32 fid_GetFirmwareHashNtStatus, UInt32 fid_GetFirmwareHashUsbdStatus)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	7	0	USB3.0HubDriverRundownInformation7(Pointer fid_UsbDevice, UInt32 fid_PortNumber)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	7	1	USB3.0HubDriverRundownInformation7_V1(Pointer fid_UsbDevice, UInt32 fid_PortNumber, UInt8 fid_PortFlagAcpiUpcValid, UInt8 fid_PortConnectorType, UInt64 fid_UcmConnectorId, UInt32 fid_ControllerParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	8	0	USB3.0HubDriverRundownInformation8(Pointer fid_UsbDevice, UInt32 fid_PortNumber)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	8	1	USB3.0HubDriverRundownInformation8_V1(Pointer fid_UsbDevice, UInt32 fid_PortNumber, UInt8 fid_PortFlagAcpiUpcValid, UInt8 fid_PortConnectorType, UInt64 fid_UcmConnectorId, UInt32 fid_ControllerParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	9	0	USB3.0HubDriverRundownInformation9(Pointer fid_UsbDevice, UInt32 fid_PortNumber, Int8 fid_USBHUB_Acpi_Upc_Package)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	10	0	USB3.0HubDriverRundownInformation10(Pointer fid_UsbDevice, UInt32 fid_PortNumber, Int8 fid_USBHUB_Acpi_Pld)	Information	Default Rundown	USB3.0HubDriverRundown	Informational		
Microsoft-Windows-USB-USBHUB3	20	0	PrepareHardwareStart(Pointer fid_UsbDevice)	Start	Default PnP	PrepareHardware	Informational		
Microsoft-Windows-USB-USBHUB3	21	0	PrepareHardwareStop(Pointer fid_UsbDevice, UInt32 fid_NtStatus)	Stop	Default PnP	PrepareHardware	Informational		
Microsoft-Windows-USB-USBHUB3	22	0	PrepareHardwareInformation(Pointer fid_UsbDevice, Int8 fid_USB30_HubDescriptor, UInt32 fid_CurrentWdfPowerDeviceState)	Information	Default PnP	PrepareHardware	Informational		
Microsoft-Windows-USB-USBHUB3	23	0	PrepareHardwareInformation23(Pointer fid_UsbDevice, Int8 fid_USB20_HubDescriptor, UInt32 fid_CurrentWdfPowerDeviceState)	Information	Default PnP	PrepareHardware	Informational		
Microsoft-Windows-USB-USBHUB3	24	0	PrepareHardwareInformation24(Pointer fid_UsbDevice, UInt32 fid_CurrentWdfPowerDeviceState)	Information	Default PnP	PrepareHardware	Informational		
