provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-USB-USBXHCI	1	0	USBXHCIDriverRundownStart()	Start	Default Rundown	USBXHCIDriverRundown	Informational		
Microsoft-Windows-USB-USBXHCI	2	0	USBXHCIDriverRundownStop()	Stop	Default Rundown	USBXHCIDriverRundown	Informational		
Microsoft-Windows-USB-USBXHCI	3	0	USBXHCIControlerRundownInformation(Pointer fid_UcxController, UInt32 fid_ParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UInt64 fid_FirmwareVersion, UInt32 fid_S0IdleStatus, UInt32 fid_WdfDevicePowerState, UInt32 fid_InstanceNumber, Boolean fid_WdfPowerReferenceForDebuggerAcquired)	Information	Default Rundown	USBXHCIControlerRundown	Informational		
Microsoft-Windows-USB-USBXHCI	4	0	USBXHCIDeviceRundownInformation(Pointer fid_UcxController, Pointer fid_UsbTtHubDevice, Pointer fid_UsbDevice, UInt32 DeviceSpeed, UInt32 PortPathDepth, UInt32 PortPath, UInt32 fid_SlotId, UInt32 fid_DeviceIsHub, UInt32 fid_NumberOfPorts, UInt32 fid_NumberOfTTs, Float fid_USB_Device_Descriptor)	Information	Default Rundown	USBXHCIDeviceRundown	Informational		
Microsoft-Windows-USB-USBXHCI	5	0	USBXHCIEndpointRundownInformation(Pointer fid_UcxController, Pointer fid_UsbDevice, Pointer fid_Endpoint, UInt16 fid_USB_Endpoint_Descriptor, Double fid_USB_SuperSpeed_Endpoint_Companion_Descriptor, FILETIME fid_USB_SuperSpeedPlus_Isoch_Endpoint_Companion_Descriptor)	Information	Default Rundown	USBXHCIEndpointRundown	Informational		
Microsoft-Windows-USB-USBXHCI	6	0	USBXHCIControllerCreateInformation(Pointer fid_UcxController, UInt32 fid_ParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UInt64 fid_FirmwareVersion, UInt32 fid_S0IdleStatus, UInt32 fid_WdfDevicePowerState, UInt32 fid_InstanceNumber, Boolean fid_WdfPowerReferenceForDebuggerAcquired)	Information	Default	USBXHCIControllerCreate	Informational		
Microsoft-Windows-USB-USBXHCI	7	0	USBXHCIControllerDeleteInformation(Pointer fid_UcxController, UInt32 fid_ParentBusType, UInt32 fid_PciBus, UInt32 fid_PciDevice, UInt32 fid_PciFunction, UInt32 fid_PciVendorId, UInt32 fid_PciDeviceId, UInt32 fid_PciRevisionId, AnsiString fid_AcpiVendorId, AnsiString fid_AcpiDeviceId, AnsiString fid_AcpiRevisionId, UInt64 fid_FirmwareVersion, UInt32 fid_S0IdleStatus, UInt32 fid_WdfDevicePowerState, UInt32 fid_InstanceNumber, Boolean fid_WdfPowerReferenceForDebuggerAcquired)	Information	Default	USBXHCIControllerDelete	Informational		
Microsoft-Windows-USB-USBXHCI	8	0	USBXHCIDeviceCreateInformation(Pointer fid_UcxController, Pointer fid_UsbTtHubDevice, Pointer fid_UsbDevice, UInt32 DeviceSpeed, UInt32 PortPathDepth, UInt32 PortPath, UInt32 fid_SlotId, UInt32 fid_DeviceIsHub, UInt32 fid_NumberOfPorts, UInt32 fid_NumberOfTTs, Float fid_USB_Device_Descriptor)	Information	Default	USBXHCIDeviceCreate	Informational		
Microsoft-Windows-USB-USBXHCI	9	0	USBXHCIDeviceUpdateInformation(Pointer fid_UcxController, Pointer fid_UsbTtHubDevice, Pointer fid_UsbDevice, UInt32 DeviceSpeed, UInt32 PortPathDepth, UInt32 PortPath, UInt32 fid_SlotId, UInt32 fid_DeviceIsHub, UInt32 fid_NumberOfPorts, UInt32 fid_NumberOfTTs, Float fid_USB_Device_Descriptor)	Information	Default	USBXHCIDeviceUpdate	Informational		
Microsoft-Windows-USB-USBXHCI	10	0	USBXHCIDeviceDeleteInformation(Pointer fid_UcxController, Pointer fid_UsbTtHubDevice, Pointer fid_UsbDevice, UInt32 DeviceSpeed, UInt32 PortPathDepth, UInt32 PortPath, UInt32 fid_SlotId, UInt32 fid_DeviceIsHub, UInt32 fid_NumberOfPorts, UInt32 fid_NumberOfTTs, Float fid_USB_Device_Descriptor)	Information	Default	USBXHCIDeviceDelete	Informational		
