provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UniversalTelemetryClient	1	0	Tenant_Register(UnicodeString IKey, UInt32 DiskSizeInMb, UInt32 DailyUploadQuotaInMb, UInt32 HRESULT)		Tenant	Tenant_Register	Informational		
Microsoft-Windows-UniversalTelemetryClient	2	0	Tenant_Unregister(UnicodeString IKey, UInt32 HRESULT)		Tenant	Tenant_Unregister	Informational		
Microsoft-Windows-UniversalTelemetryClient	3	0	Tenant_UpdateDailyUploadQuota(UnicodeString IKey, UInt32 DailyUploadQuotaInMb, UInt32 HRESULT)		Tenant	Tenant_UpdateDailyUploadQuota	Informational		
Microsoft-Windows-UniversalTelemetryClient	20	0	Upload_UrlChanged(UnicodeString Url)		Upload	Upload_UrlChanged	Informational		
Microsoft-Windows-UniversalTelemetryClient	21	0	Upload_ConnectionError(UInt32 HRESULT)		Upload	Upload_ConnectionError	Informational		
Microsoft-Windows-UniversalTelemetryClient	22	0	Upload_SevilleBandwidthMonitor_TierChange(UInt64 BytesUploadedSoFar, UInt64 BytesAllowed, UInt32 PercentageUsed, UInt32 NewTier, UInt32 OldTier)		Upload	Upload_SevilleBandwidthMonitor_TierChange	Informational		
Microsoft-Windows-UniversalTelemetryClient	23	0	Upload_SevilleEventStorage_TierChange(UInt32 PercentageFullInEachRingBuffer)		Upload	Upload_SevilleEventStorage_TierChange	Informational		
Microsoft-Windows-UniversalTelemetryClient	50	0	Service_ServiceStart(UInt32 Status)		Service	Service_ServiceStart	Informational		
Microsoft-Windows-UniversalTelemetryClient	55	0	Service_InternetAvailable(Boolean State)		Service	Service_InternetAvailable	Informational		
Microsoft-Windows-UniversalTelemetryClient	56	0	Service_FreeNetworkAvailable(Boolean State)		Service	Service_FreeNetworkAvailable	Informational		
Microsoft-Windows-UniversalTelemetryClient	60	0	Service_OnBatteryPower(Boolean State)		Service	Service_OnBatteryPower	Informational		
Microsoft-Windows-UniversalTelemetryClient	61	0	Service_OnBatterySaver(Boolean State)		Service	Service_OnBatterySaver	Informational		
Microsoft-Windows-UniversalTelemetryClient	62	0	Service_InConnectedStandby(Boolean State)		Service	Service_InConnectedStandby	Informational		
Microsoft-Windows-UniversalTelemetryClient	63	0	Service_PowerLimitExceeded(Boolean State)		Service	Service_PowerLimitExceeded	Informational		
