provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	3	0	Trace(Pointer Message)		debug	Trace	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1000	0	task_01000(AnsiString Prop_FUNC_AnsiString, UInt32 Prop_LINE_UInt32, Int32 Prop_Hr_Int32)		PimIndexMaintenance	task_0	Error		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1001	0	task_01001()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1002	0	task_01002()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1003	0	task_01003()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1004	0	task_01004()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1005	0	task_01005()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1006	0	task_01006()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1007	0	task_01007()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1008	0	task_01008()		PimIndexMaintenance	task_0	Verbose		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1009	0	task_01009(UInt32 PROP_UInt32_1, UInt32 PROP_UInt32_2)		PimIndexMaintenance	task_0	Informational		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1010	0	task_01010(Int32 Prop_Hr_UInt32)		PimIndexMaintenance	task_0	Error		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1011	0	task_01011()		PimIndexMaintenance	task_0	Informational		
Microsoft-Windows-UserDataAccess-PimIndexMaintenance	1012	0	task_01012(UInt32 PROP_UInt32, Int32 Prop_Hr_UInt32)		PimIndexMaintenance	task_0	Error		
