provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UserDataAccess-UserDataApis	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error keyword_400000000000	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataApis	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning keyword_400000000000	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataApis	10	0	task_010(UnicodeString Prop_UnicodeString)		Debug	task_0	Verbose		
Microsoft-Windows-UserDataAccess-UserDataApis	100	0	task_0100()		VoipCallCoordinator	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	101	0	task_0101()		VoipCallCoordinator	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	102	0	task_0102(UInt32 Prop_HexInt32)		VoipCallCoordinator	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	103	0	task_0103(UInt32 Prop_HexInt32)		VoipCallCoordinator	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	104	0	task_0104(UnicodeString Prop_UnicodeString_1, UnicodeString Prop_UnicodeString_2)		VoipCallCoordinator	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	105	0	task_0105(UInt32 Prop_HexInt32, GUID Prop_Guid)		VoipCallCoordinator	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	106	0	task_0106(UInt32 Prop_HexInt32)		VoipCallCoordinator	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	120	0	task_0120(UInt32 Prop_HexInt32)		VoipPhoneCall	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	121	0	task_0121(UInt32 Prop_HexInt32)		VoipPhoneCall	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	122	0	task_0122(UInt32 Prop_HexInt32)		VoipPhoneCall	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	123	0	task_0123(UInt32 Prop_HexInt32)		VoipPhoneCall	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataApis	124	0	task_0124(UInt32 Prop_HexInt32)		VoipPhoneCall	task_0	Informational		
