provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UserDataAccess-UserDataService	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error keyword_200000000000	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataService	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning keyword_400000000000	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataService	3	0	Trace(Pointer Message)		debug	Trace	Verbose		
Microsoft-Windows-UserDataAccess-UserDataService	101	0	task_0101(UnicodeString path, Pointer handle)		Warning	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataService	102	0	task_0102(Pointer handle)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	103	0	task_0103(Pointer handle)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	104	0	task_0104(GUID AppOwnershipId, GUID StoreAppOwnershipId)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	105	0	task_0105(Boolean Prop_Boolean_1)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	106	0	task_0106(UInt32 Prop_UInt_1, UInt32 Prop_UInt_2, UInt32 Prop_UInt_3, UInt32 Prop_UInt_4)		Warning keyword_400000000000	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataService	107	0	task_0107(Int32 P1_HResult)		Warning keyword_400000000000	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataService	108	0	task_0108(Int32 P1_HResult)		Warning keyword_400000000000	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataService	201	0	task_0201(Pointer handle, UInt32 maxnotify)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	202	0	task_0202(Pointer handle, UInt32 requested, UInt32 returned, UInt32 remaining, Boolean missed)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	203	0	task_0203(Pointer handle, UInt32 readyCount, Boolean lost)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	204	0	task_0204(Pointer handle, UInt32 type, UInt32 id)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	205	0	task_0205(UInt32 id, FILETIME starttime)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	206	0	task_0206(Pointer handle, UInt32 requested, UInt32 returned, UInt32 remaining, Boolean missed)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	301	0	task_0301(Pointer handle, UInt32 type, UInt32 id)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	302	0	task_0302(Pointer handle, UInt32 type, UInt32 id)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	303	0	task_0303(Pointer handle, UInt32 type, UInt32 id)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	304	0	task_0304(Pointer handle)		UserDataService StateTransition	task_0	Verbose		
Microsoft-Windows-UserDataAccess-UserDataService	305	0	task_0305(Pointer handle)		UserDataService StateTransition	task_0	Verbose		
Microsoft-Windows-UserDataAccess-UserDataService	308	0	task_0308(UInt32 Prop_UInt_1, UInt32 Prop_UInt_2, UInt32 Prop_UInt_3)		Error UserDataService	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataService	400	0	task_0400(Pointer handle)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	401	0	task_0401(Pointer handle)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	402	0	task_0402(UInt32 Prop_UInt_1, UInt32 Prop_UInt_2, UInt32 Prop_UInt_3, UInt32 Prop_UInt_4)		UserDataService CalendarSearch StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	403	0	task_0403(UInt64 Prop_ULong, UInt32 Prop_UInt)		UserDataService StateTransition	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataService	404	0	task_0404(UInt64 Prop_ULong)		UserDataService StateTransition keyword_400000000000	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	405	0	task_0405(UInt32 Prop_UInt_1, UInt32 Prop_UInt_2, UInt32 Prop_UInt_3)		UserDataService CalendarSearch	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	406	0	task_0406(UInt32 Prop_UInt_1, UInt32 Prop_UInt_2)		UserDataService CalendarSearch	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	407	0	task_0407(Boolean Prop_Boolean_1, Boolean Prop_Boolean_2)		UserDataService	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	501	0	task_0501(UInt32 Prop_UInt_1, UInt32 Prop_UInt_2, UInt32 Prop_UInt_3, UInt32 Prop_UInt_4)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	502	0	task_0502(UnicodeString remoteId)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	503	0	task_0503(UnicodeString remoteId, UInt32 operationId, UInt32 requestAmnt, UInt32 providedAmnt, UInt32 qualifyingAmnt)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	504	0	task_0504(UnicodeString deepLink)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	505	0	task_0505(UnicodeString deepLink)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	602	0	task_0602()		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	700	0	task_0700(Pointer handle)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	701	0	task_0701(Pointer handle)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	702	0	task_0702(UInt32 EventType, UInt32 ItemType)			task_0	Verbose		
Microsoft-Windows-UserDataAccess-UserDataService	705	0	task_0705(UInt32 ActivationStatus)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	706	0	task_0706(UInt32 ActivationStatus)		Error	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataService	707	0	task_0707(UnicodeString TelString)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	708	0	task_0708(UnicodeString TelString, UInt32 RcsCapabilityBits)		UserDataService StateTransition	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataService	711	0	task_0711(Pointer handle)		UserDataService StateTransition	task_0	Informational		
