provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UserDataAccess-UserDataUtils	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataUtils	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataUtils	3	0	Trace(Pointer Message)		debug	Trace	Verbose		
Microsoft-Windows-UserDataAccess-UserDataUtils	101	0	task_0101(UInt32 Prop_LINE_UInt32, UnicodeString Prop_Trace_UnicodeString)		Error	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataUtils	102	0	task_0102(UnicodeString Prop_Trace_UnicodeString)		ServiceBase keyword_400000000000	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataUtils	103	0	task_0103(UnicodeString Prop_Trace_UnicodeString)		ServiceBase	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataUtils	104	0	task_0104(UnicodeString Prop_Trace_UnicodeString)		ServiceBase keyword_400000000000	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataUtils	105	0	task_0105(UnicodeString P1_UnicodeString, UInt32 P1_UInt32)		ServiceBase	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataUtils	106	0	task_0106(UnicodeString P1_UnicodeString, UInt32 P1_UInt32)		Error ServiceBase keyword_400000000000	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataUtils	107	0	task_0107(UnicodeString P1_UnicodeString, UInt32 P1_UInt32)		Error ServiceBase keyword_400000000000	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataUtils	301	0	task_0301(Int32 P1_HexInt32, UInt32 Prop_Handle, UInt32 Prop_Handle2)		Error	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataUtils	401	0	task_0401(UnicodeString P1_UnicodeString)		Warning	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataUtils	402	0	task_0402(UnicodeString P1_UnicodeString)		Warning	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataUtils	403	0	task_0403()		Warning	task_0	Warning		
Microsoft-Windows-UserDataAccess-UserDataUtils	501	0	task_0501(Int32 P1_Int32)		Error keyword_400000000000	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataUtils	502	0	task_0502(Int32 P1_Int32)		Error keyword_400000000000	task_0	Error		
Microsoft-Windows-UserDataAccess-UserDataUtils	600	0	task_0600(Int32 P1_Int32)		UserDataAccessUtils	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataUtils	601	0	task_0601(UnicodeString P1_UnicodeString, UnicodeString P2_UnicodeString)		UserDataAccessUtils	task_0	Informational		
Microsoft-Windows-UserDataAccess-UserDataUtils	602	0	task_0602(Int32 P1_HexInt32, Int32 P2_HexInt32)		UserDataAccessUtils	task_0	Informational		
