provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-UserSettingsBackup-Orchestrator	1	0	task_0(UInt32 Type, UInt32 ErrorCode, UnicodeString Message, AnsiString File, UInt32 LineNumber)			task_0	Error		
Microsoft-Windows-UserSettingsBackup-Orchestrator	2	0	task_02(UnicodeString Message, AnsiString File, UInt32 LineNumber)			task_0	Warning		
Microsoft-Windows-UserSettingsBackup-Orchestrator	3	0	task_03(UnicodeString Message, AnsiString File, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	4	0	task_04(AnsiString Context, UnicodeString ManifestId, UnicodeString Scope, AnsiString Reason)			task_0	Warning		
Microsoft-Windows-UserSettingsBackup-Orchestrator	5	0	task_05(AnsiString Context, UnicodeString ManifestId, UnicodeString Scope)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	6	0	task_06(AnsiString Context, UnicodeString ManifestId, UnicodeString Scope, Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-UserSettingsBackup-Orchestrator	7	0	task_07()			task_0	Warning		
Microsoft-Windows-UserSettingsBackup-Orchestrator	8	0	task_08(AnsiString Context, UnicodeString ManifestId, UnicodeString Scope, Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-UserSettingsBackup-Orchestrator	9	0	task_09(UInt64 UnitCount)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	10	0	task_010(AnsiString OverallResult)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	11	0	task_011(AnsiString Context, UnicodeString ManifestId, UnicodeString Scope, AnsiString Reason)			task_0	Warning		
Microsoft-Windows-UserSettingsBackup-Orchestrator	12	0	task_012(AnsiString Context, UnicodeString ManifestId, UnicodeString Scope)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	13	0	task_013(AnsiString Context, UnicodeString ManifestId, UnicodeString Scope, Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-UserSettingsBackup-Orchestrator	14	0	task_014()			task_0	Warning		
Microsoft-Windows-UserSettingsBackup-Orchestrator	16	0	task_016(UInt64 UnitCount)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	17	0	task_017(AnsiString OverallResult)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	18	0	task_018(AnsiString ContextTag, Int32 ErrorCode)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	19	0	task_019(AnsiString ContextTag, Int32 ErrorCode)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	20	0	task_020(AnsiString ContextTag, Int32 ErrorCode)			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	21	0	task_021()			task_0	Informational		
Microsoft-Windows-UserSettingsBackup-Orchestrator	22	0	task_022(AnsiString OverallResult)			task_0	Informational		
