provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-VolumeSnapshot-Driver	0	0	vs:PrepareStart(UInt32 RealThreadID, GUID VolumeGuid)	Start		vs:Prepare	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	1	0	vs:PrepareStop(UInt32 RealThreadID, GUID SnapshotGuid)	Stop		vs:Prepare	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	2	0	vs:PreExposureStart(UInt32 RealThreadID, GUID VolumeGuid)	Start		vs:PreExposure	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	3	0	vs:PreExposureStop(UInt32 RealThreadID, GUID VolumeGuid)	Stop		vs:PreExposure	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	4	0	vs:AdjustBitmapStart(UInt32 RealThreadID, GUID SnapshotGuid)	Start		vs:AdjustBitmap	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	5	0	vs:AdjustBitmapStop(UInt32 RealThreadID, GUID SnapshotGuid)	Stop		vs:AdjustBitmap	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	6	0	vs:EndCommitStart(UInt32 RealThreadID, GUID VolumeGuid)	Start		vs:EndCommit	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	7	0	vs:EndCommitStop(UInt32 RealThreadID, GUID VolumeGuid)	Stop		vs:EndCommit	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	8	0	vs:ActivateStart(UInt32 RealThreadID, GUID VolumeGuid)	Start		vs:Activate	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	9	0	vs:ActivateStop(UInt32 RealThreadID, GUID VolumeGuid)	Stop		vs:Activate	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	10	0	vs:SetIgnorableStart(UInt32 RealThreadID, GUID SnapshotGuid)	Start		vs:SetIgnorable	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	11	0	vs:SetIgnorableStop(UInt32 RealThreadID, GUID SnapshotGuid)	Stop		vs:SetIgnorable	Informational		
Microsoft-Windows-VolumeSnapshot-Driver	12	0	vs:IgnorableProductStart(UInt32 RealThreadID, GUID SnapshotGuid)	Start		vs:IgnorableProduct	Informational		
