provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WABSyncProvider	3	0	InitializePropertyMapStart()	Start		InitializePropertyMap	Informational		
Microsoft-Windows-WABSyncProvider	4	0	InitializePropertyMapStop()	Stop		InitializePropertyMap	Informational		
Microsoft-Windows-WABSyncProvider	5	0	GetIdParameterStart()	Start		GetIdParameter	Informational		
Microsoft-Windows-WABSyncProvider	6	0	GetIdParameterStop()	Stop		GetIdParameter	Informational		
Microsoft-Windows-WABSyncProvider	7	0	BeginSessionStart()	Start		BeginSession	Informational		
Microsoft-Windows-WABSyncProvider	8	0	BeginSessionStop()	Stop		BeginSession	Informational		
Microsoft-Windows-WABSyncProvider	9	0	EndSessionStart()	Start		EndSession	Informational		
Microsoft-Windows-WABSyncProvider	10	0	EndSessionStop()	Stop		EndSession	Informational		
Microsoft-Windows-WABSyncProvider	11	0	GetMetadataStoreStart()	Start		GetMetadataStore	Informational		
Microsoft-Windows-WABSyncProvider	12	0	GetMetadataStoreStop()	Stop		GetMetadataStore	Informational		
Microsoft-Windows-WABSyncProvider	13	0	GetMetadataSchemaStart()	Start		GetMetadataSchema	Informational		
Microsoft-Windows-WABSyncProvider	14	0	GetMetadataSchemaStop()	Stop		GetMetadataSchema	Informational		
Microsoft-Windows-WABSyncProvider	15	0	EnumerateItemsStart()	Start		EnumerateItems	Informational		
Microsoft-Windows-WABSyncProvider	16	0	EnumerateItemsStop()	Stop		EnumerateItems	Informational		
Microsoft-Windows-WABSyncProvider	17	0	LoadChangeDataStart()	Start		LoadChangeData	Informational		
Microsoft-Windows-WABSyncProvider	18	0	LoadChangeDataStop()	Stop		LoadChangeData	Informational		
Microsoft-Windows-WABSyncProvider	19	0	InsertItemStart()	Start		InsertItem	Informational		
Microsoft-Windows-WABSyncProvider	20	0	InsertItemStop()	Stop		InsertItem	Informational		
Microsoft-Windows-WABSyncProvider	21	0	UpdateItemStart()	Start		UpdateItem	Informational		
Microsoft-Windows-WABSyncProvider	22	0	UpdateItemStop()	Stop		UpdateItem	Informational		
Microsoft-Windows-WABSyncProvider	23	0	DeleteItemStart()	Start		DeleteItem	Informational		
Microsoft-Windows-WABSyncProvider	24	0	DeleteItemStop()	Stop		DeleteItem	Informational		
