provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WCN-Config-Registrar	8000	0	task_0(GUID SessionGuid, GUID PeerUuid, UInt32 Trigger)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8001	0	task_08001(GUID SessionGuid)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8003	0	task_08003(GUID SessionGuid, GUID MessageGuid, UInt16 MessageBlobLength, Binary MessageBlob)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8004	0	task_08004(GUID SessionGuid, GUID MessageGuid, UInt16 MessageBlobLength, Binary MessageBlob)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8010	0	task_08010(GUID SessionGuid)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8011	0	task_08011(GUID SessionGuid, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-WCN-Config-Registrar	8020	0	task_08020(UnicodeString Transport, UnicodeString TransportSubType, GUID MessageGuid, UInt16 MessageBlobLength, Binary MessageBlob)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8021	0	task_08021(UnicodeString Transport, UnicodeString TransportSubType, GUID MessageGuid, UInt16 MessageBlobLength, Binary MessageBlob)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8030	0	task_08030(UnicodeString Transport, UInt16 MessageBlobLength, Binary MessageBlob)			task_0	Informational		
Microsoft-Windows-WCN-Config-Registrar	8031	0	task_08031(UnicodeString Transport, UInt16 MessageBlobLength, Binary MessageBlob)			task_0	Informational		
