provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WFP	1001	0	task_0(FILETIME Timestamp, UInt32 LocalAddressLength, Binary LocalAddress, UInt32 RemoteAddressLength, Binary RemoteAddress, UInt32 ScopeId, UnicodeString AppId, SID UserSID, UInt32 ReauthReason, UInt32 OriginalProfile, UInt32 CurrentProfile, UInt32 PacketDirection, Boolean Loopback, UInt64 FilterId, UInt16 LayerId)		ut:AOAC keyword_10000000000	task_0	Informational		
Microsoft-Windows-WFP	1001	1	task_0_V1(FILETIME Timestamp, UInt32 LocalAddressLength, Binary LocalAddress, UInt32 RemoteAddressLength, Binary RemoteAddress, UInt32 ScopeId, UnicodeString AppId, SID UserSID, UInt32 ReauthReason, UInt32 OriginalProfile, UInt32 CurrentProfile, UInt32 PacketDirection, Boolean Loopback, UInt64 FilterId, UInt16 LayerId, UnicodeString vSwitchId, UInt32 SourcevSwitchPort, UInt32 DestinationvSwitchPort)		ut:AOAC keyword_10000000000	task_0	Informational		
Microsoft-Windows-WFP	1003	0	task_01003(FILETIME Timestamp, UInt32 LocalAddressLength, Binary LocalAddress, UInt32 RemoteAddressLength, Binary RemoteAddress, UInt32 ScopeId, UnicodeString AppId, SID UserSID, UInt32 FailureStatus, UInt32 Direction, UInt32 SPI, UInt64 FilterId, UInt16 LayerId)		ut:AOAC keyword_10000000000	task_0	Informational		
Microsoft-Windows-WFP	1005	0	task_01005(FILETIME Timestamp, UInt32 LocalAddressLength, Binary LocalAddress, UInt32 RemoteAddressLength, Binary RemoteAddress, UInt32 ScopeId, UnicodeString AppId, SID UserSID, UnicodeString LocalSpn, UnicodeString PeerSpn, UInt32 LocalGroupSidCount, UInt32 LocalGroupSidLength, UnicodeString LocalGroupSids, UInt32 RemoteGroupSidCount, UInt32 RemoteGroupSidLength, UnicodeString RemoteGroupSids, UInt32 FailureErrorCode, UInt32 FailurePoint, UInt32 Flags, UInt32 KeyingModuleType, UInt32 MmState, UInt32 SaRole, UInt32 MMAuthMethod, Binary EndCertHash, UInt64 MMId, UInt64 MMFilterId)		ut:Authentication	task_0	Informational		
Microsoft-Windows-WFP	1007	0	task_01007(FILETIME Timestamp, UInt32 LocalAddressLength, Binary LocalAddress, UInt32 RemoteAddressLength, Binary RemoteAddress, UInt32 ScopeId, UnicodeString AppId, SID UserSID, UInt32 FailureErrorCode, UInt32 FailurePoint, UInt32 KeyingModuleType, UInt32 QMState, UInt32 SaRole, UInt32 SaTrafficType, UInt64 QMFilterId)			task_0	Informational		
Microsoft-Windows-WFP	1009	0	task_01009(FILETIME Timestamp, UInt32 LocalAddressLength, Binary LocalAddress, UInt32 RemoteAddressLength, Binary RemoteAddress, UInt32 ScopeId, UnicodeString AppId, SID UserSID, UnicodeString LocalSpn, UnicodeString PeerSpn, UInt32 LocalGroupSidCount, UInt32 LocalGroupSidLength, UnicodeString LocalGroupSids, UInt32 RemoteGroupSidCount, UInt32 RemoteGroupSidLength, UnicodeString RemoteGroupSids, UInt32 FailureErrorCode, UInt32 FailurePoint, UInt32 Flags, UInt32 EMState, UInt32 SaRole, UInt32 EMAuthMethod, Binary EndCertHash, UInt64 MMId, UInt64 QMFilterId)		ut:Authentication	task_0	Informational		
Microsoft-Windows-WFP	1011	0	task_01011(FILETIME Timestamp, UInt32 LocalAddressLength, Binary LocalAddress, UInt32 RemoteAddressLength, Binary RemoteAddress, UInt32 ScopeId, UnicodeString AppId, SID UserSID, UInt32 InternetHostAddress, UInt32 CorpnetHostAddress, UInt32 FailureStatus, UInt32 Direction)		keyword_10000000000	task_0	Informational		
Microsoft-Windows-WFP	1013	0	task_01013(UInt32 MainModeLocalAddressLength, Binary MainModeLocalAddress, UInt32 MainModePeerAddressLength, Binary MainModePeerAddress, UInt32 KeyingModule, UInt64 SaLuid)		ut:Authentication	task_0	Informational		
Microsoft-Windows-WFP	1014	0	task_01014(UnicodeString LocalSpn, UnicodeString PeerSpn, UInt32 MainModeLocalAddressLength, Binary MainModeLocalAddress, UInt32 MainModePeerAddressLength, Binary MainModePeerAddress, UInt32 KeyingModule, UInt32 AuthenticationMethodType, UInt32 EncryptionAlgorithm, UInt32 AuthenticationAlgorithm, UInt32 DiffieHellmanGroup, UInt32 LifetimeMinutes, UInt32 QMLimit, UInt32 Role, UInt32 Impersonation, UInt64 MMFilterId, UInt64 SaLuid)		ut:Authentication	task_0	Informational		
Microsoft-Windows-WFP	1015	0	task_01015(UnicodeString LocalCertDnSubject, UInt32 LocalCertShaThumbprintLength, Binary LocalCertShaThumbprint, UnicodeString LocalCertDnIssuer, UnicodeString LocalCertDnRoot, UnicodeString PeerCertDnSubject, UInt32 PeerCertShaThumbprintLength, Binary PeerCertShaThumbprint, UnicodeString PeerCertDnIssuer, UnicodeString PeerCertDnRoot, UInt32 MainModeLocalAddressLength, Binary MainModeLocalAddress, UInt32 MainModePeerAddressLength, Binary MainModePeerAddress, UInt32 KeyingModule, UInt32 AuthenticationMethodType, UInt32 EncryptionAlgorithm, UInt32 AuthenticationAlgorithm, UInt32 DiffieHellmanGroup, UInt32 LifetimeMinutes, UInt32 QMLimit, UInt32 Role, UInt32 Impersonation, UInt64 MMFilterId, UInt64 SaLuid)		ut:Authentication	task_0	Informational		
