provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WMI-Activity	1	0	task_0(UInt32 GroupOperationId, UInt32 OperationId, UnicodeString Operation, UnicodeString ClientMachine, UnicodeString User, UInt32 ClientProcessId, UnicodeString NamespaceName)			task_0	Informational		
Microsoft-Windows-WMI-Activity	2	0	task_02(UInt32 GroupOperationId, UnicodeString Operation, UnicodeString ProviderName, UnicodeString ProviderGuid, UnicodeString Path)			task_0	Informational		
Microsoft-Windows-WMI-Activity	3	0	task_03(UInt32 OperationId)			task_0	Informational		
Microsoft-Windows-WMI-Activity	11	0	task_011(UnicodeString CorrelationId, UInt32 GroupOperationId, UInt32 OperationId, UnicodeString Operation, UnicodeString ClientMachine, UnicodeString User, UInt32 ClientProcessId, UnicodeString NamespaceName)			task_0	Informational		
Microsoft-Windows-WMI-Activity	12	0	task_012(UInt32 GroupOperationId, UnicodeString Operation, UInt32 HostId, UnicodeString ProviderName, UnicodeString ProviderGuid, UnicodeString Path)			task_0	Informational		
Microsoft-Windows-WMI-Activity	13	0	task_013(UInt32 OperationId, HexInt32 ResultCode)			task_0	Informational		
Microsoft-Windows-WMI-Activity	14	0	task_014(UInt32 OperationId, UnicodeString Operation, UInt32 Channel, UnicodeString Message)			task_0	Informational		
Microsoft-Windows-WMI-Activity	15	0	task_015(UInt32 OperationId, UnicodeString Operation, UnicodeString ErrorId, UInt32 ErrorCategory, UnicodeString Message, UnicodeString TargetName)			task_0	Informational		
Microsoft-Windows-WMI-Activity	16	0	task_016(UInt32 OperationId, UnicodeString Operation, HexInt32 ErrorId, UnicodeString Message)			task_0	Informational		
Microsoft-Windows-WMI-Activity	17	0	task_017(UnicodeString CorrelationId, UInt32 ProcessId, UnicodeString Protocol, UnicodeString Operation, UnicodeString User, UnicodeString Namespace)			task_0	Informational		
Microsoft-Windows-WMI-Activity	18	0	task_018(UnicodeString ConsumerType, UnicodeString PossibleCause)			task_0	Informational		
Microsoft-Windows-WMI-Activity	19	0	task_019(UInt32 OperationID, UnicodeString Operation)			task_0	Informational		
Microsoft-Windows-WMI-Activity	20	0	task_020(UInt32 OperationID, UnicodeString Operation, UInt32 Flags)			task_0	Informational		
Microsoft-Windows-WMI-Activity	21	0	task_021(UnicodeString ConsumerType, UnicodeString PossibleCause)			task_0	Informational		
Microsoft-Windows-WMI-Activity	50	0	task_050()			task_0	Informational		
Microsoft-Windows-WMI-Activity	100	0	task_0100(UnicodeString ComponentName, UnicodeString MessageDetail, UnicodeString FileName)			task_0	Always		
Microsoft-Windows-WMI-Activity	101	0	task_0101(UnicodeString ComponentName, HexInt32 ErrorId, UnicodeString ErrorDetail, UnicodeString FileName)			task_0	Error		
Microsoft-Windows-WMI-Activity	5857	0	task_05857(UnicodeString ProviderName, HexInt32 Code, UnicodeString HostProcess, UInt32 ProcessID, UnicodeString ProviderPath)			task_0	Always		
Microsoft-Windows-WMI-Activity	5858	0	task_05858(UnicodeString Id, UnicodeString ClientMachine, UnicodeString User, UInt32 ClientProcessId, UnicodeString Component, UnicodeString Operation, HexInt32 ResultCode, UnicodeString PossibleCause)			task_0	Error		
Microsoft-Windows-WMI-Activity	5859	0	task_05859(UnicodeString NamespaceName, UnicodeString Query, UnicodeString User, UInt32 processid, UnicodeString providerName, UInt32 queryid, UnicodeString PossibleCause)			task_0	Always		
Microsoft-Windows-WMI-Activity	5860	0	task_05860(UnicodeString NamespaceName, UnicodeString Query, UnicodeString User, UInt32 processid, UnicodeString MachineName, UnicodeString PossibleCause)			task_0	Always		
