provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WMPNSS-PublicAPI	100	0	get_userHomeMediaSharingStateStart(Boolean Enable, UInt32 HResult)	Start		get_userHomeMediaSharingState	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	101	0	get_userHomeMediaSharingStateStop(Boolean Enable, UInt32 HResult)	Stop		get_userHomeMediaSharingState	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	102	0	put_userHomeMediaSharingStateStart(Boolean Enable, UInt32 HResult)	Start		put_userHomeMediaSharingState	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	103	0	put_userHomeMediaSharingStateStop(Boolean Enable, UInt32 HResult)	Stop		put_userHomeMediaSharingState	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	104	0	get_userHomeMediaSharingLibraryNameStart(UnicodeString LibraryName, UInt32 HResult)	Start		get_userHomeMediaSharingLibraryName	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	105	0	get_userHomeMediaSharingLibraryNameStop(UnicodeString LibraryName, UInt32 HResult)	Stop		get_userHomeMediaSharingLibraryName	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	106	0	put_userHomeMediaSharingLibraryNameStart(UnicodeString LibraryName, UInt32 HResult)	Start		put_userHomeMediaSharingLibraryName	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	107	0	put_userHomeMediaSharingLibraryNameStop(UnicodeString LibraryName, UInt32 HResult)	Stop		put_userHomeMediaSharingLibraryName	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	108	0	get_computerHomeMediaSharingAllowedStateStart(Boolean Enable, UInt32 HResult)	Start		get_computerHomeMediaSharingAllowedState	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	109	0	get_computerHomeMediaSharingAllowedStateStop(Boolean Enable, UInt32 HResult)	Stop		get_computerHomeMediaSharingAllowedState	Informational		
Microsoft-Windows-WMPNSS-PublicAPI	110	0	put_computerHomeMediaSharingAllowedStateStart(Boolean Enable, UInt32 HResult)	Start		put_computerHomeMediaSharingAllowedState	Informational		
