provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WMPNSS-Service	1001	0	CDS_On_Container_ChangedStart(UInt32 ChangeCount, UInt32 ErrorCode)	Start		CDS_On_Container_Changed	Informational		
Microsoft-Windows-WMPNSS-Service	1002	0	CDS_On_Container_ChangedStop(UInt32 ChangeCount, UInt32 ErrorCode)	Stop		CDS_On_Container_Changed	Informational		
Microsoft-Windows-WMPNSS-Service	1003	0	CDS_BrowseStart(UnicodeString ID, UnicodeString Criteria, UInt32 StartIndex, UInt32 RequestedCount, UnicodeString Filter, UnicodeString SortCriteria, UInt32 ReturnedCount, UInt32 TotalMatches, UInt32 ErrorCode)	Start		CDS_Browse	Informational		
Microsoft-Windows-WMPNSS-Service	1004	0	CDS_BrowseStop(UnicodeString ID, UnicodeString Criteria, UInt32 StartIndex, UInt32 RequestedCount, UnicodeString Filter, UnicodeString SortCriteria, UInt32 ReturnedCount, UInt32 TotalMatches, UInt32 ErrorCode)	Stop		CDS_Browse	Informational		
Microsoft-Windows-WMPNSS-Service	1005	0	Browse_Filter_EndpointStart()	Start		Browse_Filter_Endpoint	Informational		
Microsoft-Windows-WMPNSS-Service	1006	0	Browse_Filter_EndpointStop()	Stop		Browse_Filter_Endpoint	Informational		
Microsoft-Windows-WMPNSS-Service	1007	0	Browse_SetupStart(Boolean PublishAllAlbumArts, UInt32 FilterItemCount, UInt32 SortItemCount)	Start		Browse_Setup	Informational		
Microsoft-Windows-WMPNSS-Service	1008	0	Browse_SetupStop(Boolean PublishAllAlbumArts, UInt32 FilterItemCount, UInt32 SortItemCount)	Stop		Browse_Setup	Informational		
Microsoft-Windows-WMPNSS-Service	1009	0	Browse_Query_Content_ProviderStart()	Start		Browse_Query_Content_Provider	Informational		
Microsoft-Windows-WMPNSS-Service	1010	0	Browse_Query_Content_ProviderStop()	Stop		Browse_Query_Content_Provider	Informational		
Microsoft-Windows-WMPNSS-Service	1011	0	Browse_Write_ResultStart(UInt32 WrittenCount, UInt32 TotalResultLength)	Start		Browse_Write_Result	Informational		
Microsoft-Windows-WMPNSS-Service	1012	0	Browse_Write_ResultStop(UInt32 WrittenCount, UInt32 TotalResultLength)	Stop		Browse_Write_Result	Informational		
Microsoft-Windows-WMPNSS-Service	1013	0	Browse_Sort_Criteria()			Browse_Sort_Criteria	Informational		
Microsoft-Windows-WMPNSS-Service	1014	0	Browse_Filter_Fields()			Browse_Filter_Fields	Informational		
Microsoft-Windows-WMPNSS-Service	1015	0	CDS_SearchStart(UnicodeString ID, UnicodeString Criteria, UInt32 StartIndex, UInt32 RequestedCount, UnicodeString Filter, UnicodeString SortCriteria, UInt32 ReturnedCount, UInt32 TotalMatches, UInt32 ErrorCode)	Start		CDS_Search	Informational		
Microsoft-Windows-WMPNSS-Service	1016	0	CDS_SearchStop(UnicodeString ID, UnicodeString Criteria, UInt32 StartIndex, UInt32 RequestedCount, UnicodeString Filter, UnicodeString SortCriteria, UInt32 ReturnedCount, UInt32 TotalMatches, UInt32 ErrorCode)	Stop		CDS_Search	Informational		
Microsoft-Windows-WMPNSS-Service	1017	0	Search_Filter_EndpointStart()	Start		Search_Filter_Endpoint	Informational		
Microsoft-Windows-WMPNSS-Service	1018	0	Search_Filter_EndpointStop()	Stop		Search_Filter_Endpoint	Informational		
Microsoft-Windows-WMPNSS-Service	1019	0	Search_SetupStart(Boolean PublishAllAlbumArts, UInt32 FilterItemCount, UInt32 SortItemCount)	Start		Search_Setup	Informational		
Microsoft-Windows-WMPNSS-Service	1020	0	Search_SetupStop(Boolean PublishAllAlbumArts, UInt32 FilterItemCount, UInt32 SortItemCount)	Stop		Search_Setup	Informational		
Microsoft-Windows-WMPNSS-Service	1021	0	Search_Query_Content_ProviderStart()	Start		Search_Query_Content_Provider	Informational		
Microsoft-Windows-WMPNSS-Service	1022	0	Search_Query_Content_ProviderStop()	Stop		Search_Query_Content_Provider	Informational		
Microsoft-Windows-WMPNSS-Service	1023	0	Search_Write_ResultStart(UInt32 WrittenCount, UInt32 TotalResultLength)	Start		Search_Write_Result	Informational		
Microsoft-Windows-WMPNSS-Service	1024	0	Search_Write_ResultStop(UInt32 WrittenCount, UInt32 TotalResultLength)	Stop		Search_Write_Result	Informational		
Microsoft-Windows-WMPNSS-Service	1025	0	Search_Sort_Criteria()			Search_Sort_Criteria	Informational		
Microsoft-Windows-WMPNSS-Service	1026	0	Search_Filter_Fields()			Search_Filter_Fields	Informational		
Microsoft-Windows-WMPNSS-Service	1027	0	Objwriter_Write_ResultStart(Boolean PublishAllAlbumArts, UInt32 Count, UInt32 ErrorCode)	Start		Objwriter_Write_Result	Informational		
Microsoft-Windows-WMPNSS-Service	1028	0	Objwriter_Write_ResultStop(Boolean PublishAllAlbumArts, UInt32 Count, UInt32 ErrorCode)	Stop		Objwriter_Write_Result	Informational		
Microsoft-Windows-WMPNSS-Service	1029	0	Objwriter_Write_ObjectStart(UInt32 Element)	Start		Objwriter_Write_Object	Informational		
Microsoft-Windows-WMPNSS-Service	1030	0	Objwriter_Write_ObjectStop(UInt32 Element)	Stop		Objwriter_Write_Object	Informational		
Microsoft-Windows-WMPNSS-Service	1031	0	Objwriter_Act_Write_ElementStart(UInt32 ElementValue, UInt32 Index, Boolean ElementExists, UInt32 ErrorCode)	Start		Objwriter_Act_Write_Element	Verbose		
Microsoft-Windows-WMPNSS-Service	1032	0	Objwriter_Act_Write_ElementStop(UInt32 ElementValue, UInt32 Index, Boolean ElementExists, UInt32 ErrorCode)	Stop		Objwriter_Act_Write_Element	Verbose		
Microsoft-Windows-WMPNSS-Service	1033	0	Objwriter_Act_Write_Res_ElementStart(UInt32 CompatFlags, UInt32 ErrorCode)	Start		Objwriter_Act_Write_Res_Element	Informational		
Microsoft-Windows-WMPNSS-Service	1034	0	Objwriter_Act_Write_Res_ElementStop(UInt32 CompatFlags, UInt32 ErrorCode)	Stop		Objwriter_Act_Write_Res_Element	Informational		
Microsoft-Windows-WMPNSS-Service	1035	0	Objwriter_Act_Write_Album_Art_ElementStart(UInt32 CompatFlags, UInt32 ErrorCode)	Start		Objwriter_Act_Write_Album_Art_Element	Informational		
Microsoft-Windows-WMPNSS-Service	1036	0	Objwriter_Act_Write_Album_Art_ElementStop(UInt32 CompatFlags, UInt32 ErrorCode)	Stop		Objwriter_Act_Write_Album_Art_Element	Informational		
Microsoft-Windows-WMPNSS-Service	1037	0	Objwriter_Get_Res_ElementsStart(UInt32 Count, UInt32 ErrorCode)	Start		Objwriter_Get_Res_Elements	Informational		
Microsoft-Windows-WMPNSS-Service	1038	0	Objwriter_Get_Res_ElementsStop(UInt32 Count, UInt32 ErrorCode)	Stop		Objwriter_Get_Res_Elements	Informational		
Microsoft-Windows-WMPNSS-Service	1039	0	Objwriter_Write_Inner_AttribStart(UInt32 Value, UInt32 AttributesWritten, UInt32 ErrorCode)	Start		Objwriter_Write_Inner_Attrib	Verbose		
Microsoft-Windows-WMPNSS-Service	1040	0	Objwriter_Write_Object_AttribStop(UInt32 Value, UInt32 AttributesWritten, UInt32 ErrorCode)	Stop		Objwriter_Write_Object_Attrib	Verbose		
Microsoft-Windows-WMPNSS-Service	1041	0	Objwriter_Get_Element_ValueStart(UInt32 ElementValue, UInt32 Index, UInt32 ErrorCode)	Start		Objwriter_Get_Element_Value	Verbose		
Microsoft-Windows-WMPNSS-Service	1042	0	Objwriter_Get_Element_ValueStop(UInt32 ElementValue, UInt32 Index, UInt32 ErrorCode)	Stop		Objwriter_Get_Element_Value	Verbose		
Microsoft-Windows-WMPNSS-Service	1043	0	Objwriter_Get_Element_Attrib_ValueStart(UInt32 ElementValue, UInt32 Index, UInt32 AttributeValue, UInt32 ErrorCode)	Start		Objwriter_Get_Element_Attrib_Value	Verbose		
Microsoft-Windows-WMPNSS-Service	1044	0	Objwriter_Get_Element_Attrib_ValueStop(UInt32 ElementValue, UInt32 Index, UInt32 AttributeValue, UInt32 ErrorCode)	Stop		Objwriter_Get_Element_Attrib_Value	Verbose		
Microsoft-Windows-WMPNSS-Service	1045	0	Objwriter_Get_Element_Value_ExStart(UInt32 ElementValue, UInt32 Index, UInt32 ErrorCode)	Start		Objwriter_Get_Element_Value_Ex	Verbose		
Microsoft-Windows-WMPNSS-Service	1046	0	Objwriter_Get_Element_Value_ExStop(UInt32 ElementValue, UInt32 Index, UInt32 ErrorCode)	Stop		Objwriter_Get_Element_Value_Ex	Verbose		
Microsoft-Windows-WMPNSS-Service	1047	0	Objwriter_Write_ElementStart(UInt32 ElementValue, Boolean IsSelected, UInt32 ErrorCode)	Start		Objwriter_Write_Element	Verbose		
Microsoft-Windows-WMPNSS-Service	1048	0	Objwriter_Write_ElementStop(UInt32 ElementValue, Boolean IsSelected, UInt32 ErrorCode)	Stop		Objwriter_Write_Element	Verbose		
Microsoft-Windows-WMPNSS-Service	1049	0	Objwriter_Write_Object_AttribStart(UInt32 Value, UInt32 AttributesWritten, UInt32 ErrorCode)	Start		Objwriter_Write_Object_Attrib	Verbose		
Microsoft-Windows-WMPNSS-Service	1050	0	Objwriter_Write_Inner_AttribStop(UInt32 Value, UInt32 AttributesWritten, UInt32 ErrorCode)	Stop		Objwriter_Write_Inner_Attrib	Verbose		
Microsoft-Windows-WMPNSS-Service	1051	0	Objwriter_Get_Album_Art_DataStart(UInt32 ErrorCode)	Start		Objwriter_Get_Album_Art_Data	Informational		
Microsoft-Windows-WMPNSS-Service	1052	0	Objwriter_Get_Album_Art_DataStop(UInt32 ErrorCode)	Stop		Objwriter_Get_Album_Art_Data	Informational		
Microsoft-Windows-WMPNSS-Service	1053	0	UpdateObjectStart(UnicodeString ID, UnicodeString CurrentTagValue, UnicodeString NewTagValue)	Start		UpdateObject	Informational		
Microsoft-Windows-WMPNSS-Service	1054	0	UpdateObjectStop(UnicodeString ID, UInt32 ErrorCode)	Stop		UpdateObject	Informational		
Microsoft-Windows-WMPNSS-Service	2001	0	Svc_Is_AuthorizedStart(Boolean IsDeviceGiven, Boolean IsDeviceAuthorized, UInt32 ErrorCode)	Start		Svc_Is_Authorized	Informational		
Microsoft-Windows-WMPNSS-Service	2002	0	Svc_Is_AuthorizedStop(Boolean IsDeviceGiven, Boolean IsDeviceAuthorized, UInt32 ErrorCode)	Stop		Svc_Is_Authorized	Informational		
Microsoft-Windows-WMPNSS-Service	2003	0	Svc_Filter_EndpointStart()	Start		Svc_Filter_Endpoint	Informational		
