provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WPD-CompositeClassDriver	100	0	DriverPerformanceStart(UnicodeString TransportSymbolicLink)	Start		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	101	0	DriverPerformanceStop(UnicodeString TransportSymbolicLink)	Stop		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	102	0	DriverPerformanceStart102(UnicodeString TransportSymbolicLink)	Start		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	103	0	DriverPerformanceStop103(UnicodeString TransportSymbolicLink)	Stop		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	104	0	DriverPerformanceStart104(UnicodeString ReferenceString)	Start		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	105	0	DriverPerformanceStop105(UnicodeString ReferenceString)	Stop		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	106	0	DriverPerformanceStart106()	Start		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	107	0	DriverPerformanceStop107()	Stop		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	108	0	DriverPerformanceStart108()	Start		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	109	0	DriverPerformanceStop109()	Stop		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	110	0	DriverPerformanceStart110()	Start		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	111	0	DriverPerformanceStop111()	Stop		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	112	0	DriverPerformanceStart112()	Start		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	113	0	DriverPerformanceStop113()	Stop		DriverPerformance	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	200	0	TransportManagement(UnicodeString TransportSymbolicLink)			TransportManagement	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	201	0	TransportManagement201(UnicodeString TransportSymbolicLink)			TransportManagement	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	202	0	TransportManagement202(GUID InterfaceGUID, UnicodeString ReferenceString)			TransportManagement	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	203	0	TransportManagement203(GUID InterfaceGUID, UnicodeString ReferenceString)			TransportManagement	Informational		
Microsoft-Windows-WPD-CompositeClassDriver	300	0	DriverFailure()			DriverFailure	Critical		
Microsoft-Windows-WPD-CompositeClassDriver	301	0	DriverFailure301(UnicodeString TransportSymbolicLink)			DriverFailure	Critical		
Microsoft-Windows-WPD-CompositeClassDriver	302	0	DriverFailure302(UnicodeString TransportSymbolicLink)			DriverFailure	Critical		
Microsoft-Windows-WPD-CompositeClassDriver	303	0	TransportManagement303(UInt64 ExpectedSize, UInt64 ActualSize)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	304	0	TransportManagement304(UInt64 ExpectedSize, UInt64 ActualSize)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	305	0	TransportManagement305(UInt64 ExpectedSize, UInt64 ActualSize)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	306	0	TransportManagement306()			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	307	0	TransportManagement307()			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	308	0	TransportManagement308(UInt32 Value)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	309	0	TransportManagement309(UInt32 Value)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	310	0	TransportManagement310(UInt32 Value)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	311	0	TransportManagement311(UInt32 Value)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	312	0	TransportManagement312(UInt64 ExpectedSize, UInt64 ActualSize)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	313	0	TransportManagement313(UInt64 ExpectedSize, UInt64 ActualSize)			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	314	0	TransportManagement314()			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	315	0	TransportManagement315()			TransportManagement	Error		
Microsoft-Windows-WPD-CompositeClassDriver	316	0	TransportManagement316()			TransportManagement	Error		
