provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WPD-MTPClassDriver	1000	0	DriverInitialization()			DriverInitialization	Informational		
Microsoft-Windows-WPD-MTPClassDriver	1001	0	DriverInitialization1001(UInt32 Seconds)			DriverInitialization	Informational		
Microsoft-Windows-WPD-MTPClassDriver	1002	0	DriverOperation(UInt32 State, UInt32 hr)			DriverOperation	Informational		
Microsoft-Windows-WPD-MTPClassDriver	1003	0	DriverOperation1003(UInt32 State, UInt32 hr)			DriverOperation	Informational		
Microsoft-Windows-WPD-MTPClassDriver	1004	0	DriverOperation1004(UInt32 Code)			DriverOperation	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1005	0	DriverInitialization1005(UnicodeString Manufacturer, UnicodeString Model, UnicodeString Version, UInt32 HackModel)			DriverInitialization	Informational		
Microsoft-Windows-WPD-MTPClassDriver	1006	0	DriverInitialization1006(UInt32 hr)			DriverInitialization	Critical		
Microsoft-Windows-WPD-MTPClassDriver	1007	0	DriverOperation1007(UInt32 Code, UInt32 hr)			DriverOperation	Critical		
Microsoft-Windows-WPD-MTPClassDriver	1008	0	DriverOperation1008(UInt32 Code)			DriverOperation	Critical		
Microsoft-Windows-WPD-MTPClassDriver	1009	0	DriverOperation1009(UInt32 ExpectedValue, UInt32 ActualValue)			DriverOperation	Critical		
Microsoft-Windows-WPD-MTPClassDriver	1010	0	DriverOperation1010(UInt32 ExpectedValue, UInt32 ActualValue)			DriverOperation	Critical		
Microsoft-Windows-WPD-MTPClassDriver	1011	0	DeviceError(UInt32 Code, UInt32 Prop, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1012	0	DeviceError1012()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1013	0	DeviceError1013()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1014	0	DeviceError1014()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1015	0	DeviceError1015(UInt32 Code, UInt32 Prop, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1016	0	DeviceError1016(UInt32 Code, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1017	0	DeviceError1017(UInt32 Code, UInt32 Prop, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1018	0	DeviceError1018()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1019	0	DeviceError1019()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1020	0	DeviceError1020()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1021	0	DeviceError1021()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1022	0	DeviceError1022(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1023	0	DeviceError1023(UInt32 ID, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1024	0	DeviceError1024(UInt32 ID, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1025	0	DeviceError1025(UInt32 ID, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1026	0	DeviceError1026(UInt32 ID, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1027	0	DeviceError1027()			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1028	0	DeviceError1028(UInt32 Code)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1029	0	DeviceError1029(UInt32 Expected, UInt32 Actual)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1030	0	DeviceError1030(UInt32 Expected, UInt32 Actual)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1031	0	DeviceError1031(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1032	0	DeviceError1032(UInt32 Expected, UInt32 Actual)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1033	0	DeviceError1033(UInt32 Expected, UInt32 Actual)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1034	0	DeviceError1034(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1035	0	DeviceError1035(UInt32 Expected, UInt32 Actual)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1036	0	DeviceError1036(UInt32 Expected, UInt32 Actual)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1037	0	DeviceError1037(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1038	0	DeviceError1038(UInt32 Expected, UInt32 Actual)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1039	0	DeviceError1039(UInt32 Expected, UInt32 Actual)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1040	0	DeviceError1040(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1041	0	DeviceError1041(UnicodeString PKeyGuid, UInt32 PKeyId)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1042	0	DeviceError1042(UnicodeString Guid)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1043	0	DeviceError1043(UnicodeString Guid)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1044	0	DeviceError1044(UnicodeString Guid)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1045	0	DeviceError1045(UInt32 Code, UInt32 Prop)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1046	0	DeviceError1046(UnicodeString PKeyGuid, UInt32 PKeyId, UInt32 CurrentCode, UInt32 OriginalCode)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1047	0	DeviceError1047()			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1048	0	DeviceError1048()			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1049	0	DeviceError1049(UInt32 Code)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1050	0	DeviceError1050(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1051	0	DeviceError1051(UInt32 Code)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1052	0	DeviceError1052(UnicodeString PKeyGuid, UInt32 PKeyId, UInt32 ID)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1053	0	DeviceError1053(UnicodeString PKeyGuid, UInt32 ID)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1054	0	DeviceError1054(UnicodeString PKeyGuid, UInt32 ID)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1055	0	DeviceError1055(UnicodeString PKeyGuid, UInt32 ID)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1056	0	DeviceError1056(UInt32 Code)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1057	0	DeviceError1057(UnicodeString PKeyGuid, UInt32 ID)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1058	0	DeviceError1058(UnicodeString PKeyGuid, UInt32 ID)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1059	0	DeviceError1059(UInt32 ID, UInt32 Code)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1060	0	DeviceError1060(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1061	0	DeviceError1061()			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1062	0	DeviceError1062()			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1063	0	DeviceError1063(UnicodeString PKeyGuid, UInt32 ID)			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1064	0	DeviceError1064()			DeviceError	Warning		
Microsoft-Windows-WPD-MTPClassDriver	1065	0	DeviceError1065(UInt32 Code, UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1066	0	DriverOperation1066(UInt32 Code)			DriverOperation	Critical		
Microsoft-Windows-WPD-MTPClassDriver	1067	0	DeviceError1067(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	1068	0	DeviceError1068(UInt32 Offset)			DeviceError	Error		
Microsoft-Windows-WPD-MTPClassDriver	2000	0	task_0(UInt32 SessionID, UInt32 TransactionID, UInt16 MTP_Opcode, UInt32 MTP_Command_Param_count, UInt32 MTP_Command_Params)			task_0	Informational		
Microsoft-Windows-WPD-MTPClassDriver	2001	0	task_02001(UInt32 SessionID, UInt32 TransactionID, UInt16 MTP_Opcode, UInt32 MTP_Command_Param_count, UInt32 MTP_Command_Params, UInt32 MTP_Response_Retrieval_HR_From_Transport, UInt16 MTP_Response_Code, UInt32 MTP_Response_Param_count, UInt32 MTP_Response_Params, UInt32 MTP_Data_Length, Binary MTP_Data_Buffer)			task_0	Informational		
Microsoft-Windows-WPD-MTPClassDriver	2002	0	task_02002(UInt32 SessionID, UInt32 TransactionID, UInt16 MTP_Opcode, UInt32 MTP_Command_Param_count, UInt32 MTP_Command_Params, UInt16 MTP_Response_Code, UInt32 MTP_Response_Param_count, UInt32 MTP_Response_Params, UInt16 MTP_DatatypeOfPropValue, UInt32 MTP_Data_Length, Binary MTP_Data_Buffer)			task_0	Informational		
Microsoft-Windows-WPD-MTPClassDriver	2003	0	task_02003(UInt32 SessionID, UInt32 TransactionID, UInt32 MTP_Response_Retrieval_HR_From_Transport, UInt16 MTP_Response_Code, UInt32 MTP_Response_Param_count, UInt32 MTP_Response_Params)			task_0	Informational		
