provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WSC-SRV	101	0	StartServiceStart()	Start	Service	StartService	Informational		
Microsoft-Windows-WSC-SRV	102	0	StartService()		Service	StartService	Informational		
Microsoft-Windows-WSC-SRV	103	0	StartServiceStop()	Stop	Service	StartService	Informational		
Microsoft-Windows-WSC-SRV	104	0	StopServiceStart()	Start	Service	StopService	Informational		
Microsoft-Windows-WSC-SRV	105	0	StopServiceStop()	Stop	Service	StopService	Informational		
Microsoft-Windows-WSC-SRV	106	0	LaunchUIStart()	Start	UI	LaunchUI	Informational		
Microsoft-Windows-WSC-SRV	107	0	LaunchUIStop()	Stop	UI	LaunchUI	Informational		
Microsoft-Windows-WSC-SRV	108	0	EnableFirewallStart()	Start	UI	EnableFirewall	Informational		
Microsoft-Windows-WSC-SRV	109	0	EnableFirewallStop()	Stop	UI	EnableFirewall	Informational		
Microsoft-Windows-WSC-SRV	110	0	EnableAntiSpywareStart()	Start	UI	EnableAntiSpyware	Informational		
Microsoft-Windows-WSC-SRV	111	0	EnableAntiSpywareStop()	Stop	UI	EnableAntiSpyware	Informational		
Microsoft-Windows-WSC-SRV	112	0	LaunchDialogStart()	Start	UI	LaunchDialog	Informational		
Microsoft-Windows-WSC-SRV	113	0	LaunchDialogStop()	Stop	UI	LaunchDialog	Informational		
Microsoft-Windows-WSC-SRV	114	0	GenericMarkerStart()	Start	Service	GenericMarker	Informational		
Microsoft-Windows-WSC-SRV	115	0	GenericMarkerStart115()	Start	Service	GenericMarker	Informational		
Microsoft-Windows-WSC-SRV	116	0	GenericMarkerStart116()	Start	Service	GenericMarker	Informational		
Microsoft-Windows-WSC-SRV	117	0	GenericMarkerStop()	Stop	UI	GenericMarker	Informational		
Microsoft-Windows-WSC-SRV	118	0	GenericMarkerStop118()	Stop	UI	GenericMarker	Informational		
Microsoft-Windows-WSC-SRV	119	0	GenericMarkerStop119()	Stop	UI	GenericMarker	Informational		
