provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WUSA	1	0	task_0(UnicodeString DebugMessage)			task_0	Always		
Microsoft-Windows-WUSA	2	0	task_02(UnicodeString UpdateTitle, UnicodeString CommandLine)			task_0	Informational		
Microsoft-Windows-WUSA	3	0	task_03(UnicodeString UpdateTitle, UInt32 ErrorCode, UnicodeString ErrorString, UnicodeString CommandLine)			task_0	Error		
Microsoft-Windows-WUSA	4	0	task_04(UnicodeString UpdateTitle, UnicodeString CommandLine)			task_0	Warning		
Microsoft-Windows-WUSA	5	0	task_05(UnicodeString UpdateTitle, UnicodeString CommandLine)			task_0	Informational		
Microsoft-Windows-WUSA	6	0	task_06(UnicodeString CommandLine)			task_0	Error		
Microsoft-Windows-WUSA	7	0	task_07(UnicodeString UpdateTitle, UnicodeString CommandLine)			task_0	Informational		
Microsoft-Windows-WUSA	8	0	task_08(UnicodeString UpdateTitle, UInt32 ErrorCode, UnicodeString ErrorString, UnicodeString CommandLine)			task_0	Error		
Microsoft-Windows-WUSA	9	0	task_09(UnicodeString UpdateTitle, UnicodeString CommandLine)			task_0	Warning		
Microsoft-Windows-WUSA	10	0	task_010(UnicodeString UpdateTitle, UnicodeString CommandLine)			task_0	Informational		
