provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WWAN-SVC-EVENTS	1001	0	task_0(GUID InterfaceGuid, UInt32 ErrorCode, UInt32 Location, UInt32 Context)			task_0	Error		
Microsoft-Windows-WWAN-SVC-EVENTS	1002	0	task_01002(GUID InterfaceGuid, UInt32 WarningCode, UInt32 Location, UInt32 Context)			task_0	Warning		
Microsoft-Windows-WWAN-SVC-EVENTS	1003	0	task_01003(UnicodeString FunctionCall, UnicodeString Method, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-WWAN-SVC-EVENTS	2001	0	task_02001()			task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	2002	0	task_02002()			task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	2003	0	task_02003(GUID InterfaceGuid)		LwtDiagnostic ut:L2ConnectPath	task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	2004	0	task_02004(GUID InterfaceGuid)		ut:ClosePath	task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	2005	0	task_02005(GUID InterfaceGuid)		LwtDiagnostic ut:L2ConnectPath	task_0	Error		
Microsoft-Windows-WWAN-SVC-EVENTS	2006	0	task_02006(GUID InterfaceGuid, UInt32 dwMajorVersion, UInt32 dwMinorVersion, UInt32 dwDriverCaps, UInt32 WwanCellularClass, UInt32 WwanDataClass, UInt32 WwanGSMBandClass, UInt32 WwanCDMABandClass, UInt32 ReadyState, UInt32 HwRadioState, UInt32 SwRadioState, UInt8 InformationAvailability, UInt32 NoOfProviders, UInt32 RegisterState, UInt32 RegisterMode, UInt32 PacketAttachState, UInt32 CurrentNetworkCaps, UInt32 NwError, UInt32 ConnectionId, UInt32 ActivationState, UInt32 VoiceCallState)		ut:Configuration	task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	2007	0	task_02007(UInt32 APIName, GUID InterfaceGuid, UInt32 Location, UInt32 Context)		ut:L2ConnectPath ut:Configuration	task_0	Verbose		
Microsoft-Windows-WWAN-SVC-EVENTS	2008	0	task_02008(UInt32 WwanApiName, GUID InterfaceGuid)			task_0	Verbose		
Microsoft-Windows-WWAN-SVC-EVENTS	3001	0	task_03001(GUID InterfaceGuid, UInt32 EventCode, UInt32 RequestID)		LwtDiagnostic ut:L2ConnectPath	task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	3002	0	task_03002(GUID InterfaceGuid, UInt32 EventCode, UInt32 ErrorCode, UInt32 NetworkErrorCode, UInt32 RequestID)		LwtDiagnostic ut:L2ConnectPath	task_0	Error		
Microsoft-Windows-WWAN-SVC-EVENTS	3003	0	task_03003(GUID InterfaceGuid, UInt32 EventCode, UInt32 RequestID)		ut:ClosePath	task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	3004	0	task_03004(GUID InterfaceGuid, UInt32 EventCode, UInt32 RequestID)		ut:L2ConnectPath	task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	3006	0	task_03006(GUID InterfaceGuid, UInt32 EventCode, UInt32 RequestID)		ut:ClosePath	task_0	Informational		
Microsoft-Windows-WWAN-SVC-EVENTS	3008	0	task_03008(GUID InterfaceGuid, UInt32 EventCode, UInt32 RequestID)		ut:L2ConnectPath	task_0	Informational		
