provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WebAuthN	1000	0	WebAuthNCtapMakeCredentialStart(GUID TransactionId)	Start	WebAuthN Ctap	WebAuthNCtapMakeCredential	Informational		
Microsoft-Windows-WebAuthN	1001	0	WebAuthNCtapMakeCredentialStop(GUID TransactionId)	Stop	WebAuthN Ctap	WebAuthNCtapMakeCredential			
Microsoft-Windows-WebAuthN	1002	0	WebAuthNCtapMakeCredentialStop1002(GUID TransactionId, HexInt32 Error, Int32 HResult)	Stop	WebAuthN Ctap	WebAuthNCtapMakeCredential	Error		
Microsoft-Windows-WebAuthN	1003	0	WebAuthNCtapGetAssertionStart(GUID TransactionId)	Start	WebAuthN Ctap	WebAuthNCtapGetAssertion	Informational		
Microsoft-Windows-WebAuthN	1004	0	WebAuthNCtapGetAssertionStop(GUID TransactionId)	Stop	WebAuthN Ctap	WebAuthNCtapGetAssertion			
Microsoft-Windows-WebAuthN	1005	0	WebAuthNCtapGetAssertionStop1005(GUID TransactionId, HexInt32 Error, Int32 HResult)	Stop	WebAuthN Ctap	WebAuthNCtapGetAssertion	Error		
Microsoft-Windows-WebAuthN	1006	0	WebAuthNCtapSendCommandStart(GUID TransactionId, UInt32 TicketLength, Binary Ticket)	Start	WebAuthN Ctap	WebAuthNCtapSendCommand	Informational		
Microsoft-Windows-WebAuthN	1007	0	WebAuthNCtapSendCommandStop(GUID TransactionId)	Stop	WebAuthN Ctap	WebAuthNCtapSendCommand			
Microsoft-Windows-WebAuthN	1008	0	WebAuthNCtapSendCommandStop1008(GUID TransactionId, HexInt32 Error, Int32 HResult)	Stop	WebAuthN Ctap	WebAuthNCtapSendCommand	Error		
Microsoft-Windows-WebAuthN	1020	0	WebAuthNNgcMakeCredentialStart(GUID TransactionId)	Start	WebAuthN Ngc	WebAuthNNgcMakeCredential	Informational		
Microsoft-Windows-WebAuthN	1021	0	WebAuthNNgcMakeCredentialStop(GUID TransactionId)	Stop	WebAuthN Ngc	WebAuthNNgcMakeCredential			
Microsoft-Windows-WebAuthN	1022	0	WebAuthNNgcMakeCredentialStop1022(GUID TransactionId, HexInt32 Error, Int32 HResult)	Stop	WebAuthN Ngc	WebAuthNNgcMakeCredential	Error		
Microsoft-Windows-WebAuthN	1023	0	WebAuthNNgcGetAssertionStart(GUID TransactionId)	Start	WebAuthN Ngc	WebAuthNNgcGetAssertion	Informational		
Microsoft-Windows-WebAuthN	1024	0	WebAuthNNgcGetAssertionStop(GUID TransactionId)	Stop	WebAuthN Ngc	WebAuthNNgcGetAssertion			
Microsoft-Windows-WebAuthN	1025	0	WebAuthNNgcGetAssertionStop1025(GUID TransactionId, HexInt32 Error, Int32 HResult)	Stop	WebAuthN Ngc	WebAuthNNgcGetAssertion	Error		
Microsoft-Windows-WebAuthN	1040	0	NgcMakeCredentialRequestInformational(GUID TransactionId, UnicodeString RpId, UnicodeString AccountId, UnicodeString ClientDataHashAlgId, UInt32 ClientDataLength, UInt32 ClientDataHashLength, Binary ClientDataHash, UInt32 CredentialCount, UInt32 CredentialParameterCount)	Informational	WebAuthN Ngc	NgcMakeCredentialRequest	Informational		
Microsoft-Windows-WebAuthN	1041	0	NgcMakeCredentialResponseInformational(GUID TransactionId, UnicodeString AttestationFormatType, UInt32 RpIdHashLength, Binary RpIdHash, HexInt32 Flags, HexInt32 SignCount, GUID AAGuid, UInt32 CredentialIdLength, Binary CredentialId, Boolean U2fPublicKey, UInt32 PublicKeyLength, Binary PublicKey, UInt32 ResponseLength, Binary Response)	Informational	WebAuthN Ngc	NgcMakeCredentialResponse	Informational		
Microsoft-Windows-WebAuthN	1042	0	NgcGetAssertionRequestInformational(GUID TransactionId, UnicodeString RpId, UnicodeString ClientDataHashAlgId, UInt32 ClientDataLength, UInt32 ClientDataHashLength, Binary ClientDataHash, UInt32 CredentialCount)	Informational	WebAuthN Ngc	NgcGetAssertionRequest	Informational		
Microsoft-Windows-WebAuthN	1043	0	NgcGetAssertionResponseInformational(GUID TransactionId, UInt32 RpIdHashLength, Binary RpIdHash, HexInt32 Flags, HexInt32 SignCount, UInt32 CredentialIdLength, Binary CredentialId)	Informational	WebAuthN Ngc	NgcGetAssertionResponse	Informational		
Microsoft-Windows-WebAuthN	1060	0	WebAuthNErrorInformational(GUID TransactionId, AnsiString Action, HexInt32 Error, Int32 HResult)	Informational	WebAuthN	WebAuthNError	Error		
Microsoft-Windows-WebAuthN	1100	0	CborDecodeErrorInformational(GUID TransactionId, AnsiString Function, Int32 CborError, AnsiString CborErrorString, UInt32 ErrorOffset, UInt32 LineNumber, UInt32 EncodedLength, Binary Encoded)	Informational	Cbor	CborDecodeError	Error		
Microsoft-Windows-WebAuthN	1101	0	CborEncodeMakeCredentialRequestInformational(GUID TransactionId, UnicodeString RpId, UnicodeString AccountId, UnicodeString ClientDataHashAlgId, UInt32 ClientDataLength, UInt32 ClientDataHashLength, Binary ClientDataHash, Boolean RequireResidentKey, UInt32 CredentialCount, UInt32 CredentialParameterCount, UInt32 RequestLength, Binary Request)	Informational	WebAuthN Ctap Cbor	CborEncodeMakeCredentialRequest	Informational		
Microsoft-Windows-WebAuthN	1102	0	CborDecodeMakeCredentialResponseInformational(GUID TransactionId, UnicodeString AttestationFormatType, UInt32 RpIdHashLength, Binary RpIdHash, HexInt32 Flags, HexInt32 SignCount, GUID AAGuid, UInt32 CredentialIdLength, Binary CredentialId, Boolean U2fPublicKey, UInt32 PublicKeyLength, Binary PublicKey, UInt32 ResponseLength, Binary Response)	Informational	WebAuthN Ctap Cbor	CborDecodeMakeCredentialResponse	Informational		
Microsoft-Windows-WebAuthN	1103	0	CborEncodeGetAssertionRequestInformational(GUID TransactionId, UnicodeString RpId, UnicodeString ClientDataHashAlgId, UInt32 ClientDataLength, UInt32 ClientDataHashLength, Binary ClientDataHash, UInt32 CredentialCount, UInt32 RequestLength, Binary Request)	Informational	WebAuthN Ctap Cbor	CborEncodeGetAssertionRequest	Informational		
Microsoft-Windows-WebAuthN	1104	0	CborDecodeGetAssertionResponseInformational(GUID TransactionId, UInt32 RpIdHashLength, Binary RpIdHash, HexInt32 Flags, HexInt32 SignCount, UInt32 CredentialIdLength, Binary CredentialId, UInt32 ResponseLength, Binary Response)	Informational	WebAuthN Ctap Cbor	CborDecodeGetAssertionResponse	Informational		
Microsoft-Windows-WebAuthN	2000	0	CtapServiceStart()	Start	Ctap	CtapService			
Microsoft-Windows-WebAuthN	2001	0	CtapServiceStop()	Stop	Ctap	CtapService			
Microsoft-Windows-WebAuthN	2100	0	CtapCommandStart(UnicodeString Command, GUID TransactionId, HexInt32 Flags, UInt32 TimeoutMilliseconds, UInt32 TicketLength, Binary Ticket, UInt32 RequestLength, Binary Request)	Start	Ctap	CtapCommand	Informational		
Microsoft-Windows-WebAuthN	2101	0	CtapCommandStart2101(UInt32 RequestLength, Binary Request)	Start	Ctap	CtapCommand	Error		
Microsoft-Windows-WebAuthN	2102	0	CtapCommandStop(UnicodeString Command, GUID TransactionId, UInt32 ResponseLength, Binary Response)	Stop	Ctap	CtapCommand			
Microsoft-Windows-WebAuthN	2103	0	CtapCommandStop2103(UnicodeString Command, GUID TransactionId, HexInt32 Error, HexInt32 Win32Error)	Stop	Ctap	CtapCommand	Error		
Microsoft-Windows-WebAuthN	2104	0	CtapDeviceInfoInformational(GUID TransactionId, UnicodeString ProviderName, UnicodeString DevicePath, UnicodeString Manufacturer, UnicodeString Product, GUID AAGuid, Boolean U2fProtocol)	Informational	Ctap	CtapDeviceInfo	Informational		
Microsoft-Windows-WebAuthN	2200	0	CtapUsbProviderThreadStart(GUID TransactionId)	Start	Ctap Usb	CtapUsbProviderThread	Informational		
Microsoft-Windows-WebAuthN	2201	0	CtapUsbProviderThreadStop(GUID TransactionId)	Stop	Ctap Usb	CtapUsbProviderThread			
