provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WiFiDisplay	1	0	EnumerateCeremonies(UInt32 AssociationKey, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			EnumerateCeremonies	Informational		
Microsoft-Windows-WiFiDisplay	2	0	EnumerateCeremonies2(UInt32 AssociationKey, UInt32 ErrorCode, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			EnumerateCeremonies	Informational		
Microsoft-Windows-WiFiDisplay	3	0	Pair(UInt32 AssociationKey, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			Pair	Informational		
Microsoft-Windows-WiFiDisplay	4	0	Pair4(UInt32 AssociationKey, UInt32 ErrorCode, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			Pair	Informational		
Microsoft-Windows-WiFiDisplay	5	0	OpenSession(UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			OpenSession	Informational		
Microsoft-Windows-WiFiDisplay	6	0	OpenSession6(UInt32 ErrorCode, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			OpenSession	Informational		
Microsoft-Windows-WiFiDisplay	7	0	DHCP(UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			DHCP	Informational		
Microsoft-Windows-WiFiDisplay	8	0	DHCP8(UInt32 ErrorCode, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			DHCP	Informational		
Microsoft-Windows-WiFiDisplay	9	0	PairFail(UInt32 ErrorCode, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			PairFail	Informational		
Microsoft-Windows-WiFiDisplay	10	0	Discover(UInt32 DiscoveryTime, UnicodeString LocalDeviceInformation, UnicodeString RemoteDeviceInformation)			Discover	Informational		
