provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WiFiHotspotService	1000	0	HotspotServiceStart()	Start	Performance	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1001	0	HotspotServiceStop()	Stop	Performance	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1002	0	HotspotService()		Performance	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1003	0	HotspotService1003(UnicodeString uString, UInt32 Dword)		Error	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1004	0	HotspotService1004(UnicodeString uString, UInt32 Dword)		Error	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1005	0	HotspotService1005(Pointer Ptr1, Pointer Ptr2)		Performance	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1006	0	HotspotService1006(UnicodeString uString, UInt32 Dword)		Error	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1007	0	HotspotService1007(UnicodeString uString, UInt32 Dword)		Status	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1008	0	HotspotService1008(UnicodeString uString, UInt32 Dword)		Error	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1009	0	HotspotService1009(UnicodeString uString, UInt32 Dword)		Status	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1010	0	HotspotService1010(UnicodeString uString, UInt32 Dword)		Error	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1011	0	HotspotService1011(UnicodeString uString, UInt32 Dword)		Status	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	1012	0	HotspotService1012(UnicodeString uString, UInt32 Dword)		Error	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	2000	0	HotspotService2000(UnicodeString uString1, UnicodeString uString2, UInt32 Dword1, UInt32 Dword2, UInt32 Dword3)		Error	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	3000	0	HotspotUtils(UInt32 Dword1, UInt32 Dword2)		Error	HotspotUtils	Informational		
Microsoft-Windows-WiFiHotspotService	3001	0	HotspotUtils3001(Pointer Ptr, UInt32 Dword)		Memory	HotspotUtils	Informational		
Microsoft-Windows-WiFiHotspotService	3002	0	HotspotUtils3002(Pointer Ptr)		Memory	HotspotUtils	Informational		
Microsoft-Windows-WiFiHotspotService	3003	0	HotspotUtils3003(UnicodeString uString, UInt32 Dword)		Error	HotspotUtils	Informational		
Microsoft-Windows-WiFiHotspotService	3004	0	HotspotUtils3004(UnicodeString uString, UInt32 Dword)		Error	HotspotUtils	Informational		
Microsoft-Windows-WiFiHotspotService	4000	0	HotspotService4000(AnsiString aString)		Status	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	4001	0	HotspotService4001(UnicodeString uString, UInt32 Dword)		Status	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	4002	0	HotspotService4002(UnicodeString uString, UInt32 Dword)		Status	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	4003	0	HotspotService4003(UInt32 Dword1, UInt32 Dword2, AnsiString aString1, UInt32 Dword3, UInt32 Dword4, UInt32 Dword5, UnicodeString uString1)		Status	HotspotService	Informational		
Microsoft-Windows-WiFiHotspotService	4004	0	HotspotService4004(UnicodeString uString, UInt32 Dword)		Status	HotspotService	Informational		
