provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WiFiNetworkManager	0	0	task_0(Pointer Message)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	1	0	task_01(Pointer Message)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	2	0	task_02(Pointer Message)			task_0	Verbose		
Microsoft-Windows-WiFiNetworkManager	100	0	task_0100(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	102	0	task_0102()			task_0	Verbose		
Microsoft-Windows-WiFiNetworkManager	103	0	task_0103()			task_0	Verbose		
Microsoft-Windows-WiFiNetworkManager	104	0	task_0104()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	105	0	task_0105()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	106	0	task_0106(UInt32 type, UInt32 state, UInt32 error)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	107	0	task_0107(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	108	0	task_0108()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	109	0	task_0109()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	200	0	task_0200(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	201	0	task_0201(UInt32 dwValue1, UInt32 dwValue2)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	202	0	task_0202(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	203	0	task_0203(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	204	0	task_0204(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	205	0	task_0205()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	206	0	task_0206(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	207	0	task_0207()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	208	0	task_0208()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	209	0	task_0209()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	210	0	task_0210()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	211	0	task_0211(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	212	0	task_0212(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	213	0	task_0213()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	214	0	task_0214(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	215	0	task_0215(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	216	0	task_0216(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	217	0	task_0217(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	218	0	task_0218()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	219	0	task_0219(UInt32 dwValue1, UInt32 dwValue2, UInt32 dwValue3)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	220	0	task_0220()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	221	0	task_0221(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	222	0	task_0222(UInt32 dwValue)			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	223	0	task_0223()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	224	0	task_0224(UInt32 dwValue)			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	225	0	task_0225()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	226	0	task_0226()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	227	0	task_0227()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	228	0	task_0228()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	229	0	task_0229()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	230	0	task_0230()			task_0	Error		
Microsoft-Windows-WiFiNetworkManager	231	0	task_0231()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	232	0	task_0232()			task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	300	0	task_0300(UInt32 dwValue)		ScnEvt	task_0	Error		
Microsoft-Windows-WiFiNetworkManager	301	0	task_0301(UInt32 dwValue)		ScnEvt	task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	302	0	task_0302()		ScnEvt	task_0	Error		
Microsoft-Windows-WiFiNetworkManager	303	0	task_0303()		ScnEvt	task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	304	0	task_0304()		ScnEvt	task_0	Informational		
Microsoft-Windows-WiFiNetworkManager	305	0	task_0305(UInt32 dwValue)		ScnEvt	task_0	Error		
Microsoft-Windows-WiFiNetworkManager	306	0	task_0306(UInt32 dwValue)		ScnEvt	task_0	Error		
