provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WinHttp	1	0	task_0(UnicodeString param1)			task_0	Always		
Microsoft-Windows-WinHttp	2	0	task_02(UnicodeString param1)			task_0	Always		
Microsoft-Windows-WinHttp	4	0	task_04(UnicodeString loadunloadinfo)			task_0	Always		
Microsoft-Windows-WinHttp	9	0	APIStart(UInt64 ApiHandle, AnsiString Api)	Start	Keyword.API	API	Verbose		
Microsoft-Windows-WinHttp	10	0	APIStop(UInt64 ApiHandle, AnsiString Api, UInt32 Result)	Stop	Keyword.API	API	Verbose		
Microsoft-Windows-WinHttp	11	0	APIStop11(UInt64 ApiHandle, AnsiString Api, UInt32 Result)	Stop	Keyword.API	API	Verbose		
Microsoft-Windows-WinHttp	12	0	API(UInt64 ApiHandle, AnsiString Api)		Keyword.API	API	Verbose		
Microsoft-Windows-WinHttp	13	0	APIStop13(UInt64 ApiHandle, AnsiString Api, UInt32 Result)	Stop	Keyword.API	API	Verbose		
Microsoft-Windows-WinHttp	14	0	APIStop14(UInt64 ApiHandle, AnsiString Api, UInt32 Result)	Stop	Keyword.API	API	Verbose		
Microsoft-Windows-WinHttp	100	0	API100(Pointer hRequest, UInt32 AuthTargets, UInt32 AuthScheme, UnicodeString UserName, UnicodeString Password)		Keyword.API keyword_20000000000	API	Verbose		
Microsoft-Windows-WinHttp	801	0	WINHTTP_AUTOPROXY_SEARCHStart(UInt16 _ConnectionNameLength, AnsiString ConnectionName, UInt32 DetectFlags)	Start	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_SEARCH	Informational		
Microsoft-Windows-WinHttp	801	1	WINHTTP_AUTOPROXY_SEARCHStart_V1(UInt16 _ConnectionNameLength, UnicodeString ConnectionName, UInt32 DetectFlags)	Start	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_SEARCH	Informational		
Microsoft-Windows-WinHttp	802	0	WINHTTP_AUTOPROXY_DHCPStart(UInt16 _InterfaceLength, AnsiString Interface)	Start	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_DHCP	Verbose		
Microsoft-Windows-WinHttp	802	1	WINHTTP_AUTOPROXY_DHCPStart_V1(UInt16 _InterfaceLength, UnicodeString Interface)	Start	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_DHCP	Verbose		
Microsoft-Windows-WinHttp	803	0	WINHTTP_AUTOPROXY_DHCPStop(UInt16 _InterfaceLength, AnsiString Interface, UInt16 _ConfigurationURLLength, AnsiString ConfigurationURL)	Stop	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_DHCP	Verbose		
Microsoft-Windows-WinHttp	803	1	WINHTTP_AUTOPROXY_DHCPStop_V1(UInt16 _InterfaceLength, UnicodeString Interface, UInt16 _ConfigurationURLLength, UnicodeString ConfigurationURL)	Stop	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_DHCP	Verbose		
Microsoft-Windows-WinHttp	804	0	WINHTTP_AUTOPROXY_DHCPFail(UInt16 _InterfaceLength, AnsiString Interface, UInt16 _ConfigurationURLLength, AnsiString ConfigurationURL, UInt32 Error)	Fail	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_DHCP	Error		
Microsoft-Windows-WinHttp	804	1	WINHTTP_AUTOPROXY_DHCPFail_V1(UInt16 _InterfaceLength, UnicodeString Interface, UInt16 _ConfigurationURLLength, UnicodeString ConfigurationURL, UInt32 Error)	Fail	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_DHCP	Error		
Microsoft-Windows-WinHttp	805	0	WINHTTP_AUTOPROXY_DNSStart(UInt32 DetectFlags)	Start	WINHTTP_KEYWORD_AUTOPROXY	WINHTTP_AUTOPROXY_DNS	Verbose		
