provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WinINet	101	0	WININET_ROOT_HANDLE_CREATED(Pointer HINTERNET, UInt16 _UserAgentLength, AnsiString UserAgent, UInt16 _AccessTypeLength, AnsiString AccessType, UInt16 _ProxyListLength, AnsiString ProxyList, UInt16 _ProxyBypassListLength, AnsiString ProxyBypassList, UInt32 Flags)		WININET_KEYWORD_HANDLES	WININET_ROOT_HANDLE_CREATED	Informational		
Microsoft-Windows-WinINet	102	0	WININET_OPEN_URL_HANDLE_CREATED(Pointer ConnectionHandle, Pointer ParentHandle, UInt16 _URLLength, AnsiString URL, UInt16 _HeadersLength, AnsiString Headers, UInt32 Flags)		WININET_KEYWORD_HANDLES	WININET_OPEN_URL_HANDLE_CREATED	Informational		
Microsoft-Windows-WinINet	103	0	WININET_CONNECT_HANDLE_CREATED(Pointer ConnectionHandle, Pointer ParentHandle, UInt16 _ServerNameLength, AnsiString ServerName, UInt32 ServerPort, UInt16 _ServiceLength, AnsiString Service, UInt32 Flags)		WININET_KEYWORD_HANDLES	WININET_CONNECT_HANDLE_CREATED	Informational		
Microsoft-Windows-WinINet	104	0	WININET_HTTP_REQUEST_HANDLE_CREATED(Pointer ConnectionHandle, Pointer ParentHandle, UInt16 _VerbLength, AnsiString Verb, UInt16 _ObjectNameLength, AnsiString ObjectName, UInt16 _VersionLength, AnsiString Version, UInt32 _ReferrerLength, AnsiString Referrer, UInt16 _AcceptTypesLength, AnsiString AcceptTypes, UInt32 Flags)		WININET_KEYWORD_HANDLES	WININET_HTTP_REQUEST_HANDLE_CREATED	Informational		
Microsoft-Windows-WinINet	105	0	WININET_HANDLE_CLOSED(Pointer HINTERNET)		WININET_KEYWORD_HANDLES	WININET_HANDLE_CLOSED	Informational		
Microsoft-Windows-WinINet	106	0	WININET_HANDLE_CREATE_FAILED(Pointer HINTERNET, UInt32 Error)		WININET_KEYWORD_HANDLES	WININET_HANDLE_CREATE_FAILED	Error		
Microsoft-Windows-WinINet	107	0	WININET_HANDLE_CLOSE_FAILED(Pointer HINTERNET, UInt32 Error)		WININET_KEYWORD_HANDLES	WININET_HANDLE_CLOSE_FAILED	Error		
Microsoft-Windows-WinINet	108	0	WININET_HTTP_REQUEST_HANDLE_CREATED108(Pointer ConnectionHandle, UInt16 _ServerNameLength, AnsiString ServerName, UInt32 ServerPort, UInt16 _ServiceLength, AnsiString Service)		WININET_KEYWORD_HANDLES	WININET_HTTP_REQUEST_HANDLE_CREATED	Informational		
Microsoft-Windows-WinINet	200	0	WININET_HTTP_REQUESTStart(Pointer HINTERNET)	Start	WININET_KEYWORD_HTTP	WININET_HTTP_REQUEST	Informational		
Microsoft-Windows-WinINet	200	1	WININET_HTTP_REQUESTStart_V1(Pointer HINTERNET, Pointer Context)	Start	WININET_KEYWORD_HTTP	WININET_HTTP_REQUEST	Informational		
Microsoft-Windows-WinINet	201	0	WININET_HTTP_REQUESTStop(Pointer RequestHandle, Pointer SocketHandle, UInt16 _VerbLength, AnsiString Verb, Boolean Cookie)	Stop	WININET_KEYWORD_HTTP	WININET_HTTP_REQUEST	Informational		
Microsoft-Windows-WinINet	202	0	WININET_HTTP_REQUESTFail(Pointer Handle, UInt32 Error)	Fail	WININET_KEYWORD_HTTP WININET_KEYWORD_AOAC	WININET_HTTP_REQUEST	Error		
Microsoft-Windows-WinINet	203	0	WININET_HTTP_RESPONSEStop(Int32 ResponseCode, Pointer RequestHandle, Pointer SocketHandle, UInt16 _VerbLength, AnsiString Verb, UInt16 _ContentLengthStrLength, AnsiString ContentLength)	Stop	WININET_KEYWORD_HTTP	WININET_HTTP_RESPONSE	Informational		
Microsoft-Windows-WinINet	204	0	WININET_HTTP_RESPONSEFail(Pointer Handle, UInt32 Error)	Fail	WININET_KEYWORD_HTTP WININET_KEYWORD_AOAC	WININET_HTTP_RESPONSE	Informational		
Microsoft-Windows-WinINet	205	0	WININET_HTTP_CONNECTION_CLOSED(Pointer ConnectionHandle, Pointer SocketHandle, UInt16 _ReasonLength, AnsiString Reason)		WININET_KEYWORD_HTTP	WININET_HTTP_CONNECTION_CLOSED	Informational		
Microsoft-Windows-WinINet	206	0	WININET_KEEP_ALIVE_CONNECTION_REUSED(Pointer ConnectionHandle, Pointer SocketHandle)		WININET_KEYWORD_HTTP	WININET_KEEP_ALIVE_CONNECTION_REUSED	Informational		
Microsoft-Windows-WinINet	207	0	WININET_KEEP_ALIVE_CONNECTION_POOLED(Pointer ConnectionHandle, Pointer SocketHandle)		WININET_KEYWORD_HTTP	WININET_KEEP_ALIVE_CONNECTION_POOLED	Informational		
Microsoft-Windows-WinINet	208	0	WININET_KEEP_ALIVE_CONNECTION_CLOSED(Pointer ConnectionHandle, Pointer SocketHandle)		WININET_KEYWORD_HTTP	WININET_KEEP_ALIVE_CONNECTION_CLOSED	Informational		
Microsoft-Windows-WinINet	209	0	WININET_HTTP_RESPONSE_BODY_RECEIVED(Pointer RequestHandle)		WININET_KEYWORD_HTTP	WININET_HTTP_RESPONSE_BODY_RECEIVED	Informational		
