provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WinNat	1001	0	WinNatSessionCreate(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState)		ut:Session	WinNatSessionCreate	Informational		
Microsoft-Windows-WinNat	1001	1	WinNatSessionCreate_V1(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState, UInt32 InternalCompartmentId)		ut:Session	WinNatSessionCreate	Informational		
Microsoft-Windows-WinNat	1002	0	WinNatSessionTimerUpdate(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState)		ut:Session	WinNatSessionTimerUpdate	Verbose		
Microsoft-Windows-WinNat	1002	1	WinNatSessionTimerUpdate_V1(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState, UInt32 InternalCompartmentId)		ut:Session	WinNatSessionTimerUpdate	Verbose		
Microsoft-Windows-WinNat	1003	0	WinNatSessionTcpStateUpdate(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState)		ut:Session	WinNatSessionTcpStateUpdate	Informational		
Microsoft-Windows-WinNat	1003	1	WinNatSessionTcpStateUpdate_V1(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState, UInt32 InternalCompartmentId)		ut:Session	WinNatSessionTcpStateUpdate	Informational		
Microsoft-Windows-WinNat	1004	0	WinNatSessionTimeout(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState)		ut:Session	WinNatSessionTimeout	Informational		
Microsoft-Windows-WinNat	1004	1	WinNatSessionTimeout_V1(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState, UInt32 InternalCompartmentId)		ut:Session	WinNatSessionTimeout	Informational		
Microsoft-Windows-WinNat	1005	0	WinNatSessionDelete(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState)		ut:Session	WinNatSessionDelete	Informational		
Microsoft-Windows-WinNat	1005	1	WinNatSessionDelete_V1(UInt32 InternalAddrLen, Binary InternalSrcAddr, Binary InternalDstAddr, UInt32 ExternalAddrLen, Binary ExternalSrcAddr, Binary ExternalDstAddr, UInt32 TransportProtocol, UInt32 Lifetime, UInt32 TcpSessionState, UInt32 InternalCompartmentId)		ut:Session	WinNatSessionDelete	Informational		
Microsoft-Windows-WinNat	1006	0	WinNatBindingCreate(UInt32 InternalAddrLen, Binary InternalAddr, UInt32 ExternalAddrLen, Binary ExternalAddr, UInt32 TransportProtocol, UInt32 SessionCount, Boolean Configured)		ut:Binding	WinNatBindingCreate	Informational		
Microsoft-Windows-WinNat	1006	1	WinNatBindingCreate_V1(UInt32 InternalAddrLen, Binary InternalAddr, UInt32 ExternalAddrLen, Binary ExternalAddr, UInt32 TransportProtocol, UInt32 SessionCount, Boolean Configured, UInt32 InternalCompartmentId)		ut:Binding	WinNatBindingCreate	Informational		
Microsoft-Windows-WinNat	1007	0	WinNatBindingDelete(UInt32 InternalAddrLen, Binary InternalAddr, UInt32 ExternalAddrLen, Binary ExternalAddr, UInt32 TransportProtocol, UInt32 SessionCount, Boolean Configured)		ut:Binding	WinNatBindingDelete	Informational		
Microsoft-Windows-WinNat	1007	1	WinNatBindingDelete_V1(UInt32 InternalAddrLen, Binary InternalAddr, UInt32 ExternalAddrLen, Binary ExternalAddr, UInt32 TransportProtocol, UInt32 SessionCount, Boolean Configured, UInt32 InternalCompartmentId)		ut:Binding	WinNatBindingDelete	Informational		
Microsoft-Windows-WinNat	1008	0	WinNatBindingSessionCount(UInt32 InternalAddrLen, Binary InternalAddr, UInt32 ExternalAddrLen, Binary ExternalAddr, UInt32 TransportProtocol, UInt32 SessionCount, Boolean Configured)		ut:Binding	WinNatBindingSessionCount	Informational		
