provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Windows Defender	101	0	task_0(UInt32 hc_stateid)			task_0	Always		
Microsoft-Windows-Windows Defender	1000	0	task_01000(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString ScanID, UnicodeString ScanTypeIndex, UnicodeString ScanType, UnicodeString ScanParametersIndex, UnicodeString ScanParameters, UnicodeString Domain, UnicodeString User, UnicodeString SID, UnicodeString ScanResources)			task_0	Informational		
Microsoft-Windows-Windows Defender	1001	0	task_01001(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString ScanID, UnicodeString ScanTypeIndex, UnicodeString ScanType, UnicodeString ScanParametersIndex, UnicodeString ScanParameters, UnicodeString Domain, UnicodeString User, UnicodeString SID, UnicodeString ScanTimeHours, UnicodeString ScanTimeMinutes, UnicodeString ScanTimeSeconds)			task_0	Informational		
Microsoft-Windows-Windows Defender	1002	0	task_01002(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString ScanID, UnicodeString ScanTypeIndex, UnicodeString ScanType, UnicodeString ScanParametersIndex, UnicodeString ScanParameters, UnicodeString Domain, UnicodeString User, UnicodeString SID)			task_0	Warning		
Microsoft-Windows-Windows Defender	1003	0	task_01003(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString ScanID, UnicodeString ScanTypeIndex, UnicodeString ScanType, UnicodeString ScanParametersIndex, UnicodeString ScanParameters, UnicodeString Domain, UnicodeString User, UnicodeString SID)			task_0	Informational		
Microsoft-Windows-Windows Defender	1004	0	task_01004(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString ScanID, UnicodeString ScanTypeIndex, UnicodeString ScanType, UnicodeString ScanParametersIndex, UnicodeString ScanParameters, UnicodeString Domain, UnicodeString User, UnicodeString SID)			task_0	Informational		
Microsoft-Windows-Windows Defender	1005	0	task_01005(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString ScanID, UnicodeString ScanTypeIndex, UnicodeString ScanType, UnicodeString ScanParametersIndex, UnicodeString ScanParameters, UnicodeString Domain, UnicodeString User, UnicodeString SID, UnicodeString ErrorCode, UnicodeString ErrorDescription)			task_0	Error		
Microsoft-Windows-Windows Defender	1006	0	task_01006(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString DetectionID, UnicodeString DetectionSourceIndex, UnicodeString DetectionSource, UnicodeString Unused, UnicodeString ProcessName, UnicodeString Domain, UnicodeString User, UnicodeString SID, UnicodeString ThreatName, UnicodeString ThreatID, UnicodeString SeverityID, UnicodeString CategoryID, UnicodeString FWLink, UnicodeString PathFound, UnicodeString DetectionOriginIndex, UnicodeString DetectionOrigin, UnicodeString ExecutionStatusIndex, UnicodeString ExecutionStatus, UnicodeString DetectionTypeIndex, UnicodeString DetectionType, UnicodeString Unused2, UnicodeString Unused3, UnicodeString SeverityName, UnicodeString CategoryName, UnicodeString SecurityintelligenceVersion, UnicodeString EngineVersion)			task_0	Warning		
Microsoft-Windows-Windows Defender	1007	0	task_01007(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString DetectionID, UnicodeString Unused, UnicodeString Unused2, UnicodeString StatusCode, UnicodeString StatusDescription, UnicodeString Domain, UnicodeString User, UnicodeString SID, UnicodeString ThreatName, UnicodeString ThreatID, UnicodeString SeverityID, UnicodeString CategoryID, UnicodeString FWLink, UnicodeString Path, UnicodeString Unused3, UnicodeString Unused4, UnicodeString CleaningActionIndex, UnicodeString CleaningAction, UnicodeString Unused5, UnicodeString Unused6, UnicodeString Unused7, UnicodeString Unused8, UnicodeString SeverityName, UnicodeString CategoryName, UnicodeString SecurityintelligenceVersion, UnicodeString EngineVersion)			task_0	Informational		
Microsoft-Windows-Windows Defender	1008	0	task_01008(UnicodeString ProductName, UnicodeString ProductVersion, UnicodeString DetectionID, UnicodeString Unused, UnicodeString Unused2, UnicodeString StatusCode, UnicodeString StatusDescription, UnicodeString Domain, UnicodeString User, UnicodeString SID, UnicodeString ThreatName, UnicodeString ThreatID, UnicodeString SeverityID, UnicodeString CategoryID, UnicodeString FWLink, UnicodeString Path, UnicodeString Unused3, UnicodeString Unused4, UnicodeString CleaningActionIndex, UnicodeString CleaningAction, UnicodeString ErrorCode, UnicodeString ErrorDescription, UnicodeString Unused5, UnicodeString Unused6, UnicodeString SeverityName, UnicodeString CategoryName, UnicodeString SecurityintelligenceVersion, UnicodeString EngineVersion)			task_0	Error		
