provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Winlogon	1	0	AuthenticateUserStart()	Start	PerfInstrumentation keyword_200000000000	AuthenticateUser	Informational		
Microsoft-Windows-Winlogon	2	0	AuthenticateUserStop(UInt32 Win32Status)	Stop	PerfInstrumentation keyword_200000000000	AuthenticateUser	Informational		
Microsoft-Windows-Winlogon	3	0	UpdatePerUserSystemParametersStart(UInt32 Flags)	Start	PerfInstrumentation	UpdatePerUserSystemParameters	Informational		
Microsoft-Windows-Winlogon	4	0	UpdatePerUserSystemParametersStop(UInt32 Flags)	Stop	PerfInstrumentation	UpdatePerUserSystemParameters	Informational		
Microsoft-Windows-Winlogon	5	0	CheckWindowsLicenseStatusStart()	Start	PerfInstrumentation	CheckWindowsLicenseStatus	Informational		
Microsoft-Windows-Winlogon	6	0	CheckWindowsLicenseStatusStop()	Stop	PerfInstrumentation	CheckWindowsLicenseStatus	Informational		
Microsoft-Windows-Winlogon	7	0	RestoringNetConnectionsStart()	Start	PerfInstrumentation	RestoringNetConnections	Informational		
Microsoft-Windows-Winlogon	8	0	RestoringNetConnectionsStop()	Stop	PerfInstrumentation	RestoringNetConnections	Informational		
Microsoft-Windows-Winlogon	9	0	ExecuteShellCommandListStart(UnicodeString CommandList)	Start	PerfInstrumentation	ExecuteShellCommandList	Informational		
Microsoft-Windows-Winlogon	10	0	ExecuteShellCommandListStop()	Stop	PerfInstrumentation PerfDiagnostics	ExecuteShellCommandList	Informational		
Microsoft-Windows-Winlogon	11	0	ThemesOnLogonPreStart()	Start	PerfInstrumentation	ThemesOnLogonPre	Informational		
Microsoft-Windows-Winlogon	12	0	ThemesOnLogonPreStop()	Stop	PerfInstrumentation	ThemesOnLogonPre	Informational		
Microsoft-Windows-Winlogon	13	0	ThemesOnLogonPostStart()	Start	PerfInstrumentation	ThemesOnLogonPost	Informational		
Microsoft-Windows-Winlogon	14	0	ThemesOnLogonPostStop()	Stop	PerfInstrumentation	ThemesOnLogonPost	Informational		
Microsoft-Windows-Winlogon	51	0	ThemesOnLogoffStart()	Start	PerfInstrumentation	ThemesOnLogoff	Informational		
Microsoft-Windows-Winlogon	52	0	ThemesOnLogoffStop()	Stop	PerfInstrumentation	ThemesOnLogoff	Informational		
Microsoft-Windows-Winlogon	61	0	DwmpCreateSessionProcessStart()	Start	PerfInstrumentation	DwmpCreateSessionProcess	Informational		
Microsoft-Windows-Winlogon	62	0	DwmpCreateSessionProcessStop()	Stop	PerfInstrumentation	DwmpCreateSessionProcess	Informational		
Microsoft-Windows-Winlogon	64	0	DwmpTerminateSessionProcessStart()	Start	PerfInstrumentation	DwmpTerminateSessionProcess	Informational		
Microsoft-Windows-Winlogon	65	0	DwmpTerminateSessionProcessStop()	Stop	PerfInstrumentation	DwmpTerminateSessionProcess	Informational		
Microsoft-Windows-Winlogon	67	0	DwmpNotifyUserLogonStart()	Start	PerfInstrumentation	DwmpNotifyUserLogon	Informational		
Microsoft-Windows-Winlogon	68	0	DwmpNotifyUserLogonStop()	Stop	PerfInstrumentation	DwmpNotifyUserLogon	Informational		
Microsoft-Windows-Winlogon	70	0	ThemesOnEarlyCreateSessionStart()	Start	PerfInstrumentation	ThemesOnEarlyCreateSession	Informational		
Microsoft-Windows-Winlogon	71	0	ThemesOnEarlyCreateSessionStop()	Stop	PerfInstrumentation	ThemesOnEarlyCreateSession	Informational		
Microsoft-Windows-Winlogon	72	0	DwmpNotifyUserLogoffStart()	Start	PerfInstrumentation	DwmpNotifyUserLogoff	Informational		
Microsoft-Windows-Winlogon	73	0	DwmpNotifyUserLogoffStop()	Stop	PerfInstrumentation	DwmpNotifyUserLogoff	Informational		
Microsoft-Windows-Winlogon	101	0	CreatePrimaryTerminalStart()	Start	PerfInstrumentation	CreatePrimaryTerminal	Informational		
Microsoft-Windows-Winlogon	102	0	CreatePrimaryTerminalStop()	Stop	PerfInstrumentation	CreatePrimaryTerminal	Informational		
Microsoft-Windows-Winlogon	103	0	StartLogonUIStart()	Start	PerfInstrumentation	StartLogonUI	Informational		
Microsoft-Windows-Winlogon	104	0	StartLogonUIStop()	Stop	PerfInstrumentation	StartLogonUI	Informational		
Microsoft-Windows-Winlogon	105	0	RunStateMachineStart()	Start	PerfInstrumentation	RunStateMachine	Informational		
Microsoft-Windows-Winlogon	106	0	RunStateMachineStop()	Stop	PerfInstrumentation	RunStateMachine	Informational		
Microsoft-Windows-Winlogon	107	0	WaitForLSMStart()	Start	PerfInstrumentation	WaitForLSM	Informational		
Microsoft-Windows-Winlogon	108	0	WaitForLSMStop()	Stop	PerfInstrumentation	WaitForLSM	Informational		
Microsoft-Windows-Winlogon	201	0	DisplayWelcomeScreenStart()	Start	PerfInstrumentation	DisplayWelcomeScreen	Informational		
Microsoft-Windows-Winlogon	202	0	DisplayWelcomeScreenStop()	Stop	PerfInstrumentation	DisplayWelcomeScreen	Informational		
Microsoft-Windows-Winlogon	203	0	RequestCredentialsStart()	Start	PerfInstrumentation	RequestCredentials	Informational		
Microsoft-Windows-Winlogon	204	0	RequestCredentialsStop()	Stop	PerfInstrumentation	RequestCredentials	Informational		
Microsoft-Windows-Winlogon	205	0	ThemesOnCreateSessionStart()	Start	PerfInstrumentation	ThemesOnCreateSession	Informational		
Microsoft-Windows-Winlogon	206	0	ThemesOnCreateSessionStop()	Stop	PerfInstrumentation	ThemesOnCreateSession	Informational		
Microsoft-Windows-Winlogon	207	0	ThemesOnTerminateSessionStart()	Start	PerfInstrumentation	ThemesOnTerminateSession	Informational		
Microsoft-Windows-Winlogon	208	0	ThemesOnTerminateSessionStop()	Stop	PerfInstrumentation	ThemesOnTerminateSession	Informational		
Microsoft-Windows-Winlogon	301	0	ReceivedLogoffRequest(UInt32 Flags)		PerfInstrumentation	ReceivedLogoffRequest	Informational		
Microsoft-Windows-Winlogon	401	0	ShutdownWindowsStart(UInt32 Flags)	Start	PerfInstrumentation	ShutdownWindows	Informational		
Microsoft-Windows-Winlogon	402	0	ShutdownWindowsStop(UInt32 Win32Status)	Stop	PerfInstrumentation	ShutdownWindows	Informational		
Microsoft-Windows-Winlogon	403	0	InitiateShutdownStart(UInt32 Flags)	Start	PerfInstrumentation	InitiateShutdown	Informational		
Microsoft-Windows-Winlogon	404	0	InitiateShutdownStop(UInt32 Win32Status)	Stop	PerfInstrumentation	InitiateShutdown	Informational		
Microsoft-Windows-Winlogon	501	0	WluiServerStartupStart()	Start	PerfInstrumentation	WluiServerStartup	Informational		
Microsoft-Windows-Winlogon	502	0	WluiServerStartupStop()	Stop	PerfInstrumentation	WluiServerStartup	Informational		
Microsoft-Windows-Winlogon	503	0	WluiServerShutdownStart()	Start	PerfInstrumentation	WluiServerShutdown	Informational		
Microsoft-Windows-Winlogon	504	0	WluiServerShutdownStop()	Stop	PerfInstrumentation	WluiServerShutdown	Informational		
Microsoft-Windows-Winlogon	505	0	WluiServerStartup()			WluiServerStartup	Error		
Microsoft-Windows-Winlogon	801	0	NotifyExecuteStart(UInt32 Event)	Start	PerfInstrumentation PerfTrackContext keyword_200000000000	NotifyExecute	Informational		
Microsoft-Windows-Winlogon	802	0	NotifyExecuteStop(UInt32 Event)	Stop	PerfInstrumentation keyword_200000000000	NotifyExecute	Informational		
Microsoft-Windows-Winlogon	803	0	NotifyServicesStart(UInt32 EventCode, UInt32 SessionId)	Start	PerfInstrumentation	NotifyServices	Informational		
Microsoft-Windows-Winlogon	804	0	NotifyServicesStop(UInt32 EventCode, UInt32 SessionId)	Stop	PerfInstrumentation	NotifyServices	Informational		
Microsoft-Windows-Winlogon	805	0	NotifySubscriberStart(UInt32 Event, UnicodeString SubscriberName)	Start	PerfInstrumentation keyword_200000000000	NotifySubscriber	Informational		
