provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Wired-AutoConfig	13021	0	task_0(UInt32 Result, UInt32 Reason)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	13022	0	task_013022(UInt32 Result, GUID InterfaceGuid, UnicodeString RequestedFields)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	13031	0	task_013031(UInt32 Result, UInt32 Reason)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	13032	0	task_013032(UInt32 Result, GUID InterfaceGuid)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	13033	0	task_013033(UInt32 Result, UInt32 Reason, GUID InterfaceGuid)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15500	0	task_015500(GUID InterfaceGuid, UnicodeString InterfaceDescription)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15501	0	task_015501(GUID InterfaceGuid, UnicodeString InterfaceDescription)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15502	0	task_015502(GUID InterfaceGuid, UnicodeString InterfaceDescription, UInt32 ProfileType, UnicodeString ProfileContent)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15503	0	task_015503(GUID InterfaceGuid, UnicodeString InterfaceDescription, Pointer ConnectionID)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15504	0	task_015504(GUID InterfaceGuid, UnicodeString InterfaceDescription, Pointer ConnectionID, UnicodeString RestartReason)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15505	0	task_015505(GUID InterfaceGuid, UnicodeString InterfaceDescription, UnicodeString SwitchMAC, UnicodeString LocalMAC, Pointer ConnectionID, UnicodeString Identity, UnicodeString User, UnicodeString Domain, HexInt32 ReasonCode, UnicodeString ReasonText, HexInt32 ErrorCode, Boolean ExplicitCredentials)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15506	0	task_015506(GUID InterfaceGuid, UnicodeString InterfaceDescription, UnicodeString ReasonCode, UInt32 BlockingTime)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15507	0	task_015507(GUID InterfaceGuid, UnicodeString InterfaceDescription)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15508	0	task_015508(GUID InterfaceGuid, UnicodeString InterfaceDescription, UInt32 NdisPortControlState, UInt32 NdisPortAuthState)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15509	0	task_015509(GUID InterfaceGuid, UnicodeString InterfaceDescription, UInt32 AdapterState)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15510	0	task_015510(UnicodeString InterfaceGuid, UnicodeString InterfaceDescription)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15511	0	task_015511()			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15512	0	task_015512()			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15513	0	task_015513(UnicodeString InterfaceGuid, UnicodeString InterfaceDescription)			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15514	0	task_015514(GUID InterfaceGuid, UnicodeString InterfaceDescription, UnicodeString SwitchMAC, UnicodeString LocalMAC, Pointer ConnectionID, UnicodeString Identity, UnicodeString User, UnicodeString Domain, HexInt32 ReasonCode, UnicodeString ReasonText, HexInt32 ErrorCode, Boolean ExplicitCredentials)			task_0	Error		
Microsoft-Windows-Wired-AutoConfig	15515	0	task_015515()			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	15516	0	task_015516()			task_0	Informational		
Microsoft-Windows-Wired-AutoConfig	20001	0	AutoConf(UInt32 ErrorCode, UInt32 Location, UInt32 Context, GUID InterfaceGuid, UnicodeString InterfaceDescription)		AutoConf ut:Authentication	AutoConf	Error		
Microsoft-Windows-Wired-AutoConfig	20002	0	AutoConf20002(UInt32 ErrorCode, UInt32 Location, UInt32 Context, GUID InterfaceGuid, UnicodeString InterfaceDescription)		AutoConf ut:Authentication	AutoConf	Informational		
Microsoft-Windows-Wired-AutoConfig	20003	0	AutoConf20003(UInt32 ErrorCode, UInt32 Location, UInt32 Context)		AutoConf ut:Authentication	AutoConf	Error		
Microsoft-Windows-Wired-AutoConfig	20004	0	AutoConf20004(UInt32 ErrorCode, UInt32 Location, UInt32 Context, GUID InterfaceGuid, UnicodeString InterfaceDescription)		AutoConf ut:Authentication	AutoConf	Error		
Microsoft-Windows-Wired-AutoConfig	20005	0	AutoConf20005(UInt32 ErrorCode, UInt32 Location, UInt32 Context, GUID InterfaceGuid, UnicodeString InterfaceDescription)		AutoConf ut:Authentication	AutoConf	Error		
Microsoft-Windows-Wired-AutoConfig	20006	0	AutoConf20006(UInt32 ErrorCode, UInt32 Location, UInt32 Context, GUID InterfaceGuid, UnicodeString InterfaceDescription)		AutoConf ut:Authentication	AutoConf	Warning		
Microsoft-Windows-Wired-AutoConfig	20007	0	AutoConf20007(UInt32 ErrorCode, UInt32 Location, UInt32 Context, GUID InterfaceGuid, UnicodeString InterfaceDescription)		AutoConf ut:Authentication	AutoConf	Error		
