provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WorkFolders	0	0	task_0()			task_0	Informational		
Microsoft-Windows-WorkFolders	1	0	task_01()			task_0	Informational		
Microsoft-Windows-WorkFolders	2	0	task_02(UnicodeString LocalFolder, UnicodeString ServerURI, UnicodeString ServerPartnershipId)			task_0	Informational		
Microsoft-Windows-WorkFolders	3	0	task_03(UnicodeString LocalFolder, UnicodeString ServerURI, UnicodeString ServerPartnershipId)			task_0	Informational		
Microsoft-Windows-WorkFolders	4	0	task_04(UnicodeString LocalFolder, UnicodeString ServerURI, UnicodeString ServerPartnershipId)			task_0	Informational		
Microsoft-Windows-WorkFolders	5	0	task_05(UnicodeString SyncUrl, Boolean AutoProvision, Int32 GhostingPolicy)			task_0	Informational		
Microsoft-Windows-WorkFolders	6	0	task_06(UnicodeString DiscoveryUrl, UnicodeString ServerUrl, Int32 GhostingPolicy)			task_0	Informational		
Microsoft-Windows-WorkFolders	7	0	task_07(UnicodeString PartnershipId, UnicodeString PartnershipType, UnicodeString DiscoveryUrl, UnicodeString ServerUrl, Int32 GhostingPolicy)			task_0	Informational		
Microsoft-Windows-WorkFolders	8	0	task_08()			task_0	Informational		
Microsoft-Windows-WorkFolders	9	0	task_09(UnicodeString DiscoveryUrl, UnicodeString ServerUrl, Boolean ConfiguredByPolicy, Int32 GhostingPolicy)			task_0	Informational		
Microsoft-Windows-WorkFolders	10	0	task_010(UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	11	0	task_011(UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	12	0	task_012(UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	13	0	task_013(UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	14	0	task_014(UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	15	0	task_015(UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	16	0	task_016(UnicodeString DiscoveryURL, UnicodeString ServerURL)			task_0	Informational		
Microsoft-Windows-WorkFolders	17	0	task_017(UnicodeString ServerURL, UnicodeString SyncTargetType, UnicodeString ServerPartnershipId)			task_0	Informational		
Microsoft-Windows-WorkFolders	18	0	task_018(UnicodeString UserEmail, UnicodeString DiscoveryURL)			task_0	Informational		
Microsoft-Windows-WorkFolders	19	0	task_019(UnicodeString ServerURL, UnicodeString SyncTargetType, UnicodeString ServerPartnershipId)			task_0	Error		
Microsoft-Windows-WorkFolders	502	0	task_0502(UnicodeString LocalFolder, UnicodeString ServerURI, UnicodeString ServerPartnershipId, UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	503	0	task_0503(UnicodeString LocalFolder, UnicodeString ServerURI, UnicodeString ServerPartnershipId, UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	516	0	task_0516(UnicodeString DiscoveryURL, UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	517	0	task_0517(UnicodeString ServerURL, UnicodeString SyncTargetType, UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	518	0	task_0518(UnicodeString UserEmail, UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	1000	0	task_01000(UnicodeString Path, Int64 SizeMB)			task_0	Warning		
Microsoft-Windows-WorkFolders	1001	0	task_01001(UnicodeString User, UnicodeString StsUri, UnicodeString HResultStr, Int32 HResult)			task_0	Error		
Microsoft-Windows-WorkFolders	1002	0	task_01002(UnicodeString User, UnicodeString StsUri, UnicodeString HResultStr, Int32 HResult)			task_0	Warning		
Microsoft-Windows-WorkFolders	1100	0	task_01100(UnicodeString FileName, GUID SyncId, UnicodeString HResultStr, Int32 HResult)			task_0	Informational		
Microsoft-Windows-WorkFolders	1101	0	task_01101(UnicodeString FileName, GUID SyncId, UnicodeString HResultStr, Int32 HResult)			task_0	Warning		
Microsoft-Windows-WorkFolders	1102	0	task_01102(UnicodeString FileName, GUID SyncId, UnicodeString HResultStr, Int32 HResult)			task_0	Informational		
Microsoft-Windows-WorkFolders	1103	0	task_01103(UnicodeString FileName, GUID SyncId, UnicodeString HResultStr, Int32 HResult)			task_0	Warning		
Microsoft-Windows-WorkFolders	1104	0	task_01104(UnicodeString SyncPartnershipId, UnicodeString HResultStr, Int32 HResult)			task_0	Informational		
Microsoft-Windows-WorkFolders	1105	0	task_01105(UnicodeString SyncPartnershipId, UnicodeString HResultStr, Int32 HResult)			task_0	Warning		
Microsoft-Windows-WorkFolders	1106	0	task_01106(UnicodeString SyncPartnershipId, UnicodeString HResultStr, Int32 HResult)			task_0	Informational		
Microsoft-Windows-WorkFolders	1107	0	task_01107(UnicodeString SyncPartnershipId, UnicodeString HResultStr, Int32 HResult)			task_0	Warning		
