provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	10	0	task_0(HexInt32 A10_errCode)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	11	0	task_011()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	12	0	task_012(HexInt32 A10_Status)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	13	0	task_013(GUID A10__pDimContextselfGuid, GUID A11__pDimContextparentGuid)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	14	0	task_014(GUID A10__pDimContextselfGuid)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	15	0	task_015(GUID A10__pDimContextselfGuid, UInt32 A11_result)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	16	0	task_016(Int32 A10_result)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	17	0	task_017(HexInt32 A10_version, HexInt32 A11_WWAN_CURRENT_VERSION)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	18	0	task_018(HexInt32 A10_version)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	19	0	task_019(HexInt32 A10_result)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	20	0	task_020(HexInt32 A10_pDimContextndisVersion)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	21	0	task_021(UnicodeString A10_pDimContextname)		WWAN_TRACE_FLAG_DIM	task_0	Warning		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	22	0	task_022(HexInt32 A10_result)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	23	0	task_023(Int32 A10_result)		WWAN_TRACE_FLAG_DIM	task_0	Warning		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	24	0	task_024(UnicodeString A10_pDimContextname, Int32 A11_result)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	25	0	task_025(GUID A10__pDimContextselfGuid, UInt32 A11_result)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	26	0	task_026(GUID A10__pDimContextselfGuid, UInt32 A11_result)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	27	0	task_027(GUID A10__pDimContextselfGuid, UInt32 A11_result)		WWAN_TRACE_FLAG_DIM	task_0	Warning		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	28	0	task_028(UInt32 A10_result)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	29	0	task_029(HexInt32 A10_dimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	30	0	task_030(HexInt32 A10_dimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	31	0	task_031(Pointer A10_pContext)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	32	0	task_032()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	33	0	task_033()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	34	0	task_034(Int32 A10_TotalLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	35	0	task_035(HexInt32 A10_Oid)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	36	0	task_036(HexInt32 A10_Oid, HexInt32 A11_Status)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	37	0	task_037(HexInt32 A10_Oid, HexInt32 A11_Error)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	38	0	task_038()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	39	0	task_039()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	40	0	task_040(Int32 A10_TotalLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	41	0	task_041(UnicodeString A10_OidToStringOid, HexInt32 A11_Oid, HexInt32 A12_Status)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	42	0	task_042(UnicodeString A10_OidToStringOid, HexInt32 A11_Oid, HexInt32 A12_Error)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	43	0	task_043(UnicodeString A10_OidToStringOid, HexInt32 A11_Oid)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	44	0	task_044(HexInt32 A10_Status)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	45	0	task_045(HexInt32 A10_Status)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	46	0	task_046(Int32 A10_DimTraceQueryOperationWwanAsyncGetSetToOidGetSetTypepDimContextnamepDataInDataInSizePVOIDAsyncHandledimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	47	0	task_047(Int32 A10_DimTraceSetOperationWwanAsyncGetSetToOidGetSetTypepDimContextnamepDataInDataInSizePVOIDAsyncHandledimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	48	0	task_048()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	49	0	task_049(Int32 A10_GetSetType, HexInt32 A11_dimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	50	0	task_050(Int32 A10_DimTraceQueryOperationWwanAsyncGetSetToOidGetSetTypepDimContextnamepHeaderBufferSizePVOIDAsyncHandledimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	51	0	task_051(Int32 A10_DimTraceSetOperationWwanAsyncGetSetToOidGetSetTypepDimContextnamepHeaderBufferSizePVOIDAsyncHandledimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Informational		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	52	0	task_052()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	53	0	task_053()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	54	0	task_054(Int32 A10_TotalLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	55	0	task_055(HexInt32 A10_Error)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	56	0	task_056(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	57	0	task_057(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	58	0	task_058(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	59	0	task_059(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	60	0	task_060(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	61	0	task_061(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	62	0	task_062()		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	63	0	task_063(HexInt32 A10_dimStatus)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	64	0	task_064(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	65	0	task_065(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	66	0	task_066(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	67	0	task_067(HexInt32 A10_Statuscode, HexInt32 A11_DataLen)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	68	0	task_068(GUID A10_DevName, HexInt32 A11_Statuscode)		WWAN_TRACE_FLAG_DIM	task_0	Error		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	69	0	task_069()		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
Microsoft-Windows-WwanProtDim_a4883e4812543bef236935bfe6c0b03c	70	0	task_070(GUID A10__pContextselfGuid, GUID A11__pContextparentGuid)		WWAN_TRACE_FLAG_DIM	task_0	Verbose		
