provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ZTraceMaps	1050	0	task_0(Int32 Error, AnsiString Function, Int32 Line)		Debug	task_0	Error		
Microsoft-Windows-ZTraceMaps	1051	0	task_01051(Int32 Error, AnsiString Function, Pointer This, Int32 Line)		Debug	task_0	Error		
Microsoft-Windows-ZTraceMaps	1052	0	task_01052(Int32 Error, AnsiString Function, Int32 Line)		Debug	task_0	Error		
Microsoft-Windows-ZTraceMaps	1053	0	task_01053(Int32 Error, AnsiString Function, Pointer This, Int32 Line)		Debug	task_0	Error		
Microsoft-Windows-ZTraceMaps	1054	0	task_01054(Int32 Error, AnsiString Function, Int32 Line)		Debug	task_0	Warning		
Microsoft-Windows-ZTraceMaps	1055	0	task_01055(Int32 Error, AnsiString Function, Pointer This, Int32 Line)		Debug	task_0	Warning		
Microsoft-Windows-ZTraceMaps	1061	0	task_01061(AnsiString MyMessage)		Debug	task_0	Error		
Microsoft-Windows-ZTraceMaps	1062	0	task_01062(AnsiString Function, AnsiString Message, Int32 Line)		Debug	task_0	Error		
Microsoft-Windows-ZTraceMaps	1063	0	task_01063(AnsiString Function, AnsiString Message, Pointer This, Int32 Line)		Debug	task_0	Error		
Microsoft-Windows-ZTraceMaps	1071	0	task_01071(AnsiString MyMessage)		Debug	task_0	Warning		
Microsoft-Windows-ZTraceMaps	1072	0	task_01072(AnsiString Function, AnsiString Message, Int32 Line)		Debug	task_0	Warning		
Microsoft-Windows-ZTraceMaps	1073	0	task_01073(AnsiString Function, AnsiString Message, Pointer This, Int32 Line)		Debug	task_0	Warning		
Microsoft-Windows-ZTraceMaps	1081	0	task_01081(AnsiString MyMessage)		Debug	task_0	Informational		
Microsoft-Windows-ZTraceMaps	1082	0	task_01082(AnsiString Function, AnsiString Message, Int32 Line)		Debug	task_0	Informational		
Microsoft-Windows-ZTraceMaps	1083	0	task_01083(AnsiString Function, AnsiString Message, Pointer This, Int32 Line)		Debug	task_0	Informational		
Microsoft-Windows-ZTraceMaps	1091	0	task_01091(AnsiString MyMessage)		Debug	task_0	Verbose		
Microsoft-Windows-ZTraceMaps	1092	0	task_01092(AnsiString Function, AnsiString Message, Int32 Line)		Debug	task_0	Verbose		
Microsoft-Windows-ZTraceMaps	1093	0	task_01093(AnsiString Function, AnsiString Message, Pointer This, Int32 Line)		Debug	task_0	Verbose		
Microsoft-Windows-ZTraceMaps	1100	0	task_01100(AnsiString MyMessage)		Debug	task_0	Informational		
