provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-osk	1	0	LaunchAppStart()	Start	PerfInstrumentation	LaunchApp	Informational		
Microsoft-Windows-osk	2	0	LaunchAppStop()	Stop	PerfInstrumentation	LaunchApp	Informational		
Microsoft-Windows-osk	3	0	LaunchOptionsDlgStart()	Start	PerfInstrumentation	LaunchOptionsDlg	Informational		
Microsoft-Windows-osk	4	0	LaunchOptionsDlgStop()	Stop	PerfInstrumentation	LaunchOptionsDlg	Informational		
Microsoft-Windows-osk	5	0	SwitchModeStart()	Start	PerfInstrumentation	SwitchMode	Informational		
Microsoft-Windows-osk	6	0	SwitchModeStop()	Stop	PerfInstrumentation	SwitchMode	Informational		
Microsoft-Windows-osk	7	0	ShowPredictionsStart()	Start	PerfInstrumentation	ShowPredictions	Informational		
Microsoft-Windows-osk	8	0	ShowPredictionsStop()	Stop	PerfInstrumentation	ShowPredictions	Informational		
Microsoft-Windows-osk	9	0	ScanStateTransitionStart(Int32 tcid)	Start	PerfInstrumentation	ScanStateTransition	Informational		
Microsoft-Windows-osk	10	0	ScanStateTransitionStop()	Stop	PerfInstrumentation	ScanStateTransition	Informational		
Microsoft-Windows-osk	11	0	ScanTargetTransition()		PerfInstrumentation	ScanTargetTransition	Informational		
Microsoft-Windows-osk	13	0	KeyActivation(Int32 tcid)		PerfInstrumentation	KeyActivation	Informational		
Microsoft-Windows-osk	15	0	SetNumpadVisibility(Int32 tcid)		PerfInstrumentation	SetNumpadVisibility	Informational		
Microsoft-Windows-osk	17	0	SetDockedState(Int32 tcid)		PerfInstrumentation	SetDockedState	Informational		
Microsoft-Windows-osk	19	0	SetOSKFadeState(Int32 tcid)		PerfInstrumentation	SetOSKFadeState	Informational		
