provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-stobject	101	0	BatteryMeter_DisplayRichTooltipStart()	Start	BatteryMeter	BatteryMeter_DisplayRichTooltip	Informational		
Microsoft-Windows-stobject	102	0	BatteryMeter_DisplayRichTooltipStop()	Stop	BatteryMeter	BatteryMeter_DisplayRichTooltip	Informational		
Microsoft-Windows-stobject	103	0	BatteryMeter_DismissRichTooltipStart()	Start	BatteryMeter	BatteryMeter_DismissRichTooltip	Informational		
Microsoft-Windows-stobject	104	0	BatteryMeter_DismissRichTooltipStop()	Stop	BatteryMeter	BatteryMeter_DismissRichTooltip	Informational		
Microsoft-Windows-stobject	105	0	BatteryMeter_DisplayContextMenuStart()	Start	BatteryMeter	BatteryMeter_DisplayContextMenu	Informational		
Microsoft-Windows-stobject	106	0	BatteryMeter_DisplayContextMenuStop()	Stop	BatteryMeter	BatteryMeter_DisplayContextMenu	Informational		
Microsoft-Windows-stobject	107	0	BatteryMeter_DisplayPowerOptionsStart()	Start	BatteryMeter	BatteryMeter_DisplayPowerOptions	Informational		
Microsoft-Windows-stobject	108	0	BatteryMeter_DisplayPowerOptionsStop()	Stop	BatteryMeter	BatteryMeter_DisplayPowerOptions	Informational		
Microsoft-Windows-stobject	109	0	BatteryMeter_DisplayMobilityCenterStart()	Start	BatteryMeter	BatteryMeter_DisplayMobilityCenter	Informational		
Microsoft-Windows-stobject	110	0	BatteryMeter_DisplayMobilityCenterStop()	Stop	BatteryMeter	BatteryMeter_DisplayMobilityCenter	Informational		
Microsoft-Windows-stobject	111	0	BatteryMeter_DisplayTaskbarPropertiesStart()	Start	BatteryMeter	BatteryMeter_DisplayTaskbarProperties	Informational		
Microsoft-Windows-stobject	112	0	BatteryMeter_DisplayTaskbarPropertiesStop()	Stop	BatteryMeter	BatteryMeter_DisplayTaskbarProperties	Informational		
Microsoft-Windows-stobject	113	0	BatteryMeter_ChangeIconStateStart()	Start	BatteryMeter	BatteryMeter_ChangeIconState	Informational		
Microsoft-Windows-stobject	114	0	BatteryMeter_ChangeIconStateStop()	Stop	BatteryMeter	BatteryMeter_ChangeIconState	Informational		
Microsoft-Windows-stobject	115	0	BatteryMeter_ChangeIconAnimationStateStart()	Start	BatteryMeter	BatteryMeter_ChangeIconAnimationState	Informational		
Microsoft-Windows-stobject	116	0	BatteryMeter_ChangeIconAnimationStateStop()	Stop	BatteryMeter	BatteryMeter_ChangeIconAnimationState	Informational		
Microsoft-Windows-stobject	117	0	BatteryMeter_IconAnimationTimeDelayStart()	Start	BatteryMeter	BatteryMeter_IconAnimationTimeDelay	Informational		
Microsoft-Windows-stobject	118	0	BatteryMeter_IconAnimationTimeDelayStop()	Stop	BatteryMeter	BatteryMeter_IconAnimationTimeDelay	Informational		
Microsoft-Windows-stobject	119	0	BatteryMeter_DisplayFlyoutStart()	Start	BatteryMeter	BatteryMeter_DisplayFlyout	Informational		
