provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-WindowsPhone-Net-Cellcore-CellManager	1	0	task_0(UnicodeString wszString1, UnicodeString wszString2)		Error	task_0	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	101	0	ServiceMain(UInt32 hexCode1)		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	102	0	ServiceMain102()		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	103	0	ServiceMain103()		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	104	0	ServiceMain104()		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	105	0	ServiceMain105(UInt32 dwCode1)		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	106	0	ServiceMain106()		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	107	0	ServiceMain107(AnsiString AnsiStringName1, Int32 HResultName)		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	108	0	ServiceMain108(Int32 HResultName)		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	109	0	ServiceMain109()		Trace	ServiceMain	Informational		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	110	0	ServiceMain110()		Trace	ServiceMain	Informational		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	111	0	ServiceMain111()		Trace	ServiceMain	Informational		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	112	0	ServiceMain112(UInt32 dwCode1)		Error	ServiceMain	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	113	0	ServiceMain113()		Trace	ServiceMain	Informational		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	200	0	CellService()		Error	CellService	Critical		
Microsoft-WindowsPhone-Net-Cellcore-CellManager	201	0	CellService201(UInt32 hexCode1)		Error	CellService	Critical		
