provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Service Control Manager	7000	0	task_0PCODE_192pcode_192(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7001	0	task_0PCODE_192pcode_1927001(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7002	0	task_0PCODE_192pcode_1927002(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7003	0	task_0PCODE_192pcode_1927003(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7005	0	task_0PCODE_192pcode_1927005(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Service Control Manager	7006	0	task_0PCODE_192pcode_1927006(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Service Control Manager	7007	0	task_0PCODE_192pcode_1927007()	opcode_192		task_0	Always		
Service Control Manager	7008	0	task_0PCODE_192pcode_1927008()	opcode_192		task_0	Always		
Service Control Manager	7009	0	task_0PCODE_192pcode_1927009(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7010	0	task_0PCODE_192pcode_1927010(UnicodeString param1)	opcode_192		task_0	Always		
Service Control Manager	7011	0	task_0PCODE_192pcode_1927011(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Service Control Manager	7012	0	task_0PCODE_192pcode_1927012()	opcode_192		task_0	Always		
Service Control Manager	7013	0	task_0PCODE_192pcode_1927013(UnicodeString param1)	opcode_192		task_0	Always		
Service Control Manager	7014	0	task_0PCODE_192pcode_1927014(UnicodeString param1)	opcode_192		task_0	Always		
Service Control Manager	7016	0	task_0PCODE_192pcode_1927016(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Service Control Manager	7017	0	task_0PCODE_192pcode_1927017(UnicodeString param1, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7018	0	task_0PCODE_192pcode_1927018()	opcode_192		task_0	Always		
Service Control Manager	7019	0	task_0PCODE_192pcode_1927019(UnicodeString param1, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7020	0	task_0PCODE_192pcode_1927020(UnicodeString param1, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
Service Control Manager	7021	0	task_0PCODE_192pcode_1927021(UnicodeString param1)	opcode_192		task_0	Always		
Service Control Manager	7022	0	task_0PCODE_192pcode_1927022(UnicodeString param1, UInt32 __binLength, Binary BinaryData)	opcode_192		task_0	Always		
